Episode;SurvivalTime;TotalReward 
25;13.8;0.84
50;19.6;1.12
75;29.2;24.32
100;18.4;13.92
125;21.7;4.18
150;28.2;7.48
175;19.4;13.96
200;20.7;4.16
225;16.4;-1.34
250;30.2;7.18
275;30.2;17.24
300;29.9;16.52
325;29.3;13.56
350;30.2;22.58
375;30.1;9.70
400;30.3;18.66
425;30.5;31.60
450;30.0;21.14
475;28.7;17.22
500;30.1;17.98
525;30.2;27.86
550;30.4;19.38
575;28.7;17.02
600;25.6;7.40
625;17.6;10.92
650;22.0;8.80
675;30.1;28.50
700;26.4;25.60
725;30.0;17.92
750;30.1;28.56
775;29.2;17.26
800;30.2;18.48
