Episode;SurvivalTime;TotalReward 
25;30.3;22.54
50;24.0;13.54
75;30.1;6.14
100;30.1;14.34
125;30.0;15.38
150;30.3;25.44
175;30.3;20.98
200;30.3;16.08
225;27.8;8.20
250;30.1;25.62
275;30.1;18.76
300;30.0;19.46
325;30.1;19.26
350;30.5;19.34
375;30.4;16.50
400;30.4;6.08
425;30.2;25.38
450;30.2;19.34
475;30.0;18.42
500;30.0;28.58
525;30.2;19.42
550;30.4;19.40
575;30.1;25.64
600;30.0;28.60
625;30.2;25.60
650;30.4;25.60
675;30.2;19.42
700;30.2;19.36
725;30.3;18.74
750;30.2;19.44
775;30.1;28.58
800;30.0;19.44
