Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups;TimeToFirstHit;MaxAlerted;DashesUsed
1;36.2;-4.45;1;5;100;6;6;0;0;19.2;2;2
2;52.6;2.35;1;7;130;10;9;2;4;33.0;4;5
3;44.9;0.25;1;7;130;6;6;3;1;31.3;5;2
4;39.4;0.05;1;5;100;7;7;0;3;18.6;3;4
5;21.2;-5.85;1;5;100;3;2;1;0;12.0;3;1
6;30.8;-3.55;1;5;100;3;3;0;2;20.3;4;2
7;22.0;-5.45;1;5;100;3;2;0;2;12.3;3;2
8;33.3;-3.05;1;5;100;4;4;0;2;20.8;2;3
9;34.5;-3.16;1;6;120;4;3;2;1;14.9;3;3
10;22.7;-6.35;1;5;100;2;1;0;0;9.3;2;2
11;18.9;-6.65;1;5;100;1;1;1;0;10.1;4;2
12;42.9;-0.65;1;5;100;6;5;1;2;32.6;4;4
13;26.0;-5.25;1;5;100;2;2;0;2;17.5;4;1
14;28.9;-4.95;1;5;100;3;2;0;1;20.4;4;1
15;42.0;-2.75;1;5;100;3;3;1;1;16.0;4;4
16;32.2;-4.35;1;5;100;2;2;2;2;23.4;4;1
17;36.1;-2.35;1;5;100;5;5;1;0;23.4;3;3
18;44.8;-1.47;1;7;130;6;3;1;1;12.1;6;3
19;31.6;-3.55;1;5;100;5;4;1;0;20.9;5;2
20;35.1;-1.75;1;5;100;5;5;0;2;27.6;3;2
21;40.0;0.24;1;7;130;7;7;2;2;18.3;3;4
22;34.9;-3.57;1;7;130;2;2;2;1;18.3;5;2
23;51.4;2.04;1;6;120;11;8;2;2;17.3;3;4
24;43.2;0.54;1;7;130;8;8;1;2;10.1;5;4
25;28.2;-5.25;1;5;100;2;1;2;0;19.0;3;1
26;29.0;-3.85;1;5;100;5;4;1;0;20.7;4;1
27;34.3;-3.07;1;7;130;3;3;2;0;20.7;4;4
28;22.7;-5.05;1;5;100;4;3;0;1;10.9;2;2
29;25.5;-5.25;1;5;100;2;2;2;0;14.3;3;3
30;27.9;-4.15;1;5;100;4;4;0;2;20.7;4;2
31;23.9;-5.55;1;5;100;2;1;1;1;16.7;4;1
32;26.8;-4.25;1;5;100;4;4;1;0;19.0;3;2
33;55.8;1.84;1;7;130;7;7;1;4;15.8;2;5
34;56.4;3.85;1;5;100;9;9;2;3;30.2;3;4
35;42.4;0.63;1;7;140;8;7;3;1;13.6;4;4
36;18.4;-6.85;1;5;100;1;0;0;1;7.0;2;1
37;34.4;-2.45;1;5;100;6;5;1;2;17.3;3;3
38;40.3;-1.16;1;6;120;4;4;1;2;15.4;4;3
39;48.6;1.93;1;8;150;7;7;2;2;5.7;5;4
40;40.7;-0.55;1;5;100;6;6;0;1;28.6;4;4
41;25.9;-4.75;1;5;100;4;3;0;1;17.0;3;2
42;36.0;-3.48;1;9;160;2;1;2;2;12.8;3;5
43;25.5;-5.15;1;5;100;3;2;1;0;10.0;3;3
44;31.3;-3.25;1;5;100;4;4;1;0;24.8;5;1
45;34.4;-2.65;1;5;100;5;4;1;2;16.7;3;3
46;26.7;-4.85;1;5;100;2;2;1;2;18.9;3;2
47;38.8;-1.55;1;5;100;6;5;3;0;31.3;4;1
48;38.0;-2.07;1;7;130;3;3;2;2;16.4;4;3
49;44.7;1.05;1;5;100;8;8;0;2;25.4;3;3
50;25.5;-5.15;1;5;100;2;2;0;1;18.9;5;1
51;29.2;-4.05;1;5;100;3;3;1;1;22.0;4;3
52;41.4;0.95;1;5;100;8;7;0;4;8.4;4;3
53;25.9;-5.15;1;5;100;3;2;2;0;17.7;5;1
54;68.2;6.43;1;8;160;11;11;4;1;46.0;4;6
55;24.6;-4.85;1;5;100;3;3;0;1;16.7;4;1
56;24.7;-5.25;1;5;100;2;2;0;0;10.9;3;1
57;35.9;-0.95;1;5;100;6;6;1;2;21.7;3;2
58;33.2;-3.75;1;5;100;2;2;0;2;27.2;4;3
59;35.3;-3.07;1;7;130;4;3;1;1;18.0;2;3
60;42.0;-0.25;1;5;100;6;6;0;2;29.7;4;3
61;39.3;-2.65;1;5;100;3;3;1;1;24.2;2;2
62;30.6;-4.15;1;5;100;4;2;0;1;11.5;4;2
63;40.4;-1.16;1;6;120;7;5;1;1;19.0;4;4
64;37.1;-2.07;1;7;140;4;4;2;1;18.1;3;3
65;43.5;-0.27;1;8;160;5;5;5;1;9.2;6;4
66;50.1;1.05;1;5;100;8;7;0;3;14.6;3;3
67;42.3;0.05;1;5;100;7;7;0;2;28.6;3;3
68;42.7;-0.56;1;6;120;5;4;1;2;9.2;3;4
69;61.4;3.81;1;10;190;8;8;4;1;23.7;5;5
70;41.5;0.04;1;7;130;8;7;1;2;15.0;4;5
71;29.2;-4.16;1;6;120;3;2;2;2;10.4;4;4
72;33.9;-3.85;1;5;100;2;1;1;2;17.8;3;3
73;21.8;-6.25;1;5;100;2;1;0;1;11.4;3;1
74;47.5;0.84;1;7;130;7;7;1;0;32.2;4;5
75;35.7;-2.87;1;7;130;5;3;2;1;15.2;2;3
76;38.5;-0.95;1;5;100;6;6;1;2;25.4;3;2
77;51.9;2.75;1;5;100;10;9;1;2;30.3;4;4
78;32.0;-3.65;1;5;100;3;3;2;0;23.3;3;2
79;22.3;-4.85;1;5;100;4;4;0;0;8.8;4;2
80;54.2;2.74;1;7;130;8;8;3;1;17.6;4;5
81;24.7;-6.05;1;5;100;0;0;1;0;17.6;3;2
82;28.1;-4.55;1;5;100;3;2;1;0;14.7;3;3
83;33.7;-2.75;1;5;100;5;4;1;0;8.3;3;4
84;32.2;-3.85;1;5;100;3;3;1;1;20.7;2;2
