Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups;TimeToFirstHit;MaxAlerted;DashesUsed
1;46.0;-4.05;1;5;100;4;3;1;3;36.0;6;1
2;26.0;-5.65;1;5;100;2;2;0;1;11.8;2;2
3;35.3;-2.47;1;7;130;6;4;2;0;13.3;4;3
4;42.2;-0.16;1;6;120;6;6;1;3;18.4;4;3
5;40.6;-0.96;1;6;120;5;5;1;2;24.1;2;3
6;37.9;-0.76;1;6;120;6;6;2;1;17.3;3;5
7;55.6;4.23;1;8;150;13;10;3;4;28.2;3;6
8;48.8;0.94;1;6;120;8;7;3;1;30.3;3;3
9;49.9;-0.15;1;5;100;7;5;3;1;33.3;6;5
10;38.0;-2.16;1;6;120;5;4;1;1;10.3;2;3
11;26.2;-5.45;1;5;100;3;3;0;0;16.1;3;3
12;30.6;-4.55;1;5;100;4;3;2;0;16.0;3;3
13;32.8;-2.85;1;5;100;5;5;2;1;24.7;4;1
14;40.5;-1.75;1;5;100;5;5;0;0;11.7;4;3
15;44.8;0.34;1;7;130;8;8;1;1;28.1;4;4
16;40.7;-1.05;1;5;100;6;6;0;3;23.8;4;3
17;25.7;-4.25;1;5;100;5;4;0;1;13.9;2;2
18;37.0;0.15;1;5;100;8;8;0;2;26.2;3;4
19;36.8;-2.55;1;5;100;5;4;2;2;29.2;4;2
20;41.3;-0.15;1;5;100;7;7;2;1;27.2;5;2
21;36.2;-1.66;1;6;120;7;6;2;0;9.3;3;4
22;37.9;-0.77;1;7;130;8;6;2;2;10.0;3;3
23;33.8;-2.56;1;6;120;8;5;3;0;9.6;5;3
24;45.6;0.92;1;8;160;7;7;2;0;18.9;3;4
25;70.7;7.84;1;8;150;15;12;3;5;48.4;5;7
26;49.5;2.44;1;7;130;9;9;2;2;16.2;2;3
27;29.2;-4.55;1;5;100;2;2;2;0;22.0;5;2
28;32.4;-3.45;1;5;100;5;5;1;0;12.9;3;3
29;56.2;1.75;1;5;100;8;7;1;2;39.5;3;5
30;60.0;4.32;1;10;190;10;9;3;1;26.6;6;3
31;41.1;-1.45;1;5;100;6;5;1;1;26.7;4;3
32;32.7;-2.45;1;5;100;8;6;0;0;20.0;4;2
33;36.8;-1.05;1;5;100;8;7;1;0;18.5;2;1
34;30.2;-3.16;1;7;130;5;4;2;1;18.6;5;2
35;46.9;0.55;1;5;100;8;7;1;0;39.8;4;3
36;28.5;-3.15;1;5;100;5;4;1;2;20.5;3;3
37;25.4;-3.85;1;5;100;5;5;2;1;15.5;4;1
38;36.1;-1.75;1;5;100;5;5;2;3;19.5;4;2
39;37.0;-1.35;1;5;100;6;6;0;0;28.6;4;1
40;58.5;5.04;1;7;130;11;10;1;4;26.2;4;3
41;24.0;-4.45;1;5;100;5;4;0;0;12.0;4;3
42;42.3;-0.45;1;5;100;8;7;1;0;26.7;2;3
43;39.6;0.24;1;7;130;11;8;1;1;7.9;5;1
44;48.9;2.74;1;6;120;10;10;4;1;6.7;3;2
45;55.2;2.64;1;7;130;8;8;4;0;27.4;4;3
46;30.6;-3.16;1;7;130;4;4;2;0;18.8;5;2
47;70.5;6.44;1;7;130;11;11;2;2;40.4;5;4
48;48.0;1.05;1;5;100;8;8;2;0;27.6;3;3
49;72.5;8.74;1;7;130;15;13;1;4;39.3;4;4
50;54.0;2.51;1;11;210;9;8;4;1;17.1;5;4
51;46.1;-0.26;1;7;130;7;6;3;0;24.8;4;2
52;27.8;-3.55;1;5;100;6;5;0;1;18.0;4;2
53;49.3;3.15;1;5;100;11;11;0;3;26.4;4;1
54;58.4;3.64;1;7;130;10;10;1;3;23.6;4;4
55;73.3;6.52;1;8;160;11;10;4;2;27.2;3;7
56;50.7;3.63;1;7;140;11;11;2;1;14.2;3;3
57;39.3;0.95;1;5;100;11;10;1;2;23.6;4;3
58;54.4;2.95;1;5;100;11;9;1;2;48.2;3;3
59;51.2;2.35;1;5;100;10;9;1;2;39.6;5;3
60;43.0;1.65;1;5;100;10;10;0;2;19.4;4;1
61;66.6;7.05;1;5;100;14;12;1;4;42.0;4;5
62;56.3;2.54;1;6;120;8;8;3;1;21.0;3;4
63;59.7;2.84;1;7;130;8;7;2;1;30.9;6;5
64;70.6;8.74;1;7;130;15;14;4;3;39.1;4;5
65;49.9;2.85;1;5;100;10;10;2;3;41.9;5;4
66;33.5;-2.15;1;5;100;8;6;1;0;23.8;4;4
67;50.5;1.14;1;7;130;8;7;1;1;20.1;4;2
68;52.3;3.72;1;8;160;11;11;2;1;21.2;4;4
69;32.2;-3.55;1;5;100;6;4;2;1;24.0;3;1
70;34.9;-1.05;1;5;100;9;7;0;1;20.4;4;2
71;65.4;7.85;1;5;100;17;15;0;4;29.7;4;2
72;83.3;11.63;1;8;150;16;16;2;4;25.5;4;5
73;39.9;0.15;1;5;100;9;8;0;1;20.9;3;3
74;44.3;0.65;1;5;100;8;8;1;0;16.2;3;4
75;50.2;1.34;1;7;130;8;7;1;0;13.1;6;2
76;52.9;3.21;1;10;190;9;8;3;2;14.1;6;4
77;28.2;-5.35;1;5;100;7;3;0;0;15.7;3;1
78;54.1;2.02;1;8;160;8;7;2;1;33.6;5;5
79;54.4;4.15;1;5;100;14;11;0;2;21.6;2;5
80;64.6;6.95;1;5;100;14;13;0;2;42.8;3;5
81;34.5;-1.65;1;5;100;7;7;0;0;24.5;6;0
82;56.5;2.04;1;7;130;8;7;1;0;36.4;7;3
83;41.4;1.55;1;5;100;12;10;0;2;8.0;2;3
84;43.8;0.44;1;6;120;8;8;2;0;15.4;3;2
85;59.8;6.65;1;7;130;14;14;2;3;26.3;2;5
86;31.5;-2.45;1;5;100;8;6;0;0;12.5;4;3
87;64.2;5.64;1;7;130;11;11;1;1;15.4;4;4
88;45.7;0.74;1;6;120;8;7;2;0;29.5;4;3
89;58.0;4.74;1;7;130;11;11;1;1;22.5;4;4
90;35.3;-0.75;1;5;100;8;8;0;0;24.4;3;1
91;55.8;5.15;1;5;100;12;12;0;3;25.1;4;4
92;84.3;14.09;1;13;250;20;19;5;4;16.4;6;7
93;31.3;-2.05;1;5;100;7;7;0;1;20.6;3;1
94;31.3;-2.65;1;5;100;7;6;0;1;10.7;4;0
95;58.9;5.52;1;8;160;12;12;2;2;16.8;2;3
96;61.4;6.24;1;7;130;14;13;2;2;14.7;4;3
97;71.0;8.02;1;8;160;13;13;5;2;27.2;5;2
98;56.1;2.44;1;7;130;8;8;4;1;35.1;4;2
99;37.7;-2.15;1;5;100;7;5;1;1;15.2;7;2
100;67.3;7.92;1;8;160;15;14;2;3;21.9;4;3
101;31.5;-3.45;1;5;100;7;6;0;0;19.5;4;1
102;44.8;1.15;1;5;100;10;9;0;1;27.0;3;2
103;61.0;6.84;1;7;130;14;14;3;3;15.9;6;3
104;36.7;-0.65;1;5;100;8;8;0;0;27.6;4;1
105;61.3;4.81;1;10;190;11;10;4;1;19.4;6;3
106;45.8;0.85;1;5;100;8;7;0;1;35.7;3;1
107;34.4;-1.95;1;5;100;8;6;0;0;27.0;3;3
108;41.7;-0.55;1;5;100;8;6;0;0;24.8;5;2
109;35.4;-1.15;1;5;100;8;7;0;1;26.5;4;2
110;55.9;2.34;1;7;130;9;7;1;1;25.2;7;4
111;36.4;-1.35;1;5;100;8;7;0;0;23.2;3;1
112;32.7;-1.05;1;5;100;8;8;1;0;20.3;4;2
113;46.9;2.55;1;5;100;11;11;0;2;28.3;3;4
114;58.5;6.72;1;8;160;14;14;2;2;18.6;3;3
115;46.4;0.84;1;7;130;8;8;2;0;21.3;3;4
116;80.3;9.84;1;7;140;14;14;2;2;19.8;6;4
117;64.3;5.05;1;5;100;11;11;1;1;25.7;3;1
118;55.2;3.74;1;6;120;11;10;1;1;42.4;4;1
119;54.6;5.65;1;5;100;14;14;0;2;39.0;3;4
120;35.1;-1.45;1;5;100;8;7;0;0;24.6;3;2
121;50.4;2.24;1;7;130;11;9;1;1;21.0;4;2
122;60.1;5.53;1;7;140;11;11;2;1;13.5;3;3
123;64.4;5.95;1;5;100;13;12;0;2;17.1;3;5
124;77.0;9.41;1;9;180;14;13;3;3;18.2;5;5
125;49.3;2.25;1;5;100;10;10;0;1;16.1;3;3
126;36.0;-2.65;1;5;100;8;6;0;0;30.0;4;2
127;60.1;6.53;1;8;150;16;13;2;3;12.7;4;5
128;64.2;6.14;1;7;130;14;12;1;2;26.6;4;4
129;40.8;-0.35;1;5;100;8;7;1;1;16.4;3;1
130;41.4;0.65;1;5;100;8;8;2;3;34.6;4;2
