Episode;SurvivalTime;TotalReward 
25;25.3;16.32
50;16.2;3.94
75;19.5;4.04
100;19.0;1.76
125;23.1;4.76
150;30.2;7.36
175;23.4;4.06
200;23.2;16.42
225;18.2;4.72
250;24.5;8.02
275;23.6;4.96
300;30.3;18.84
325;30.0;21.14
350;27.3;13.42
375;30.3;26.96
400;25.9;16.34
425;29.5;17.70
450;29.6;26.38
475;30.1;18.58
500;22.6;17.60
525;30.4;19.38
550;30.2;19.34
575;25.9;5.80
600;30.5;16.54
625;24.2;16.96
650;30.2;26.44
675;30.1;17.92
700;30.1;19.36
725;23.6;16.22
750;30.4;19.34
775;30.1;23.42
800;30.3;22.34
