Episode;SurvivalTime;TotalReward 
25;21.7;10.18
50;26.8;16.56
75;30.3;9.00
100;17.0;3.98
125;23.4;4.26
150;30.4;6.66
175;30.1;20.44
200;30.0;17.94
225;30.3;10.40
250;24.2;5.02
275;30.1;19.38
300;25.7;4.38
325;30.1;16.30
350;18.7;3.88
375;30.3;13.58
400;30.4;25.58
425;30.3;19.36
450;30.4;25.58
475;30.2;16.18
500;30.2;22.58
525;30.2;28.60
550;30.1;19.38
575;30.2;28.40
600;30.3;19.38
625;30.6;16.78
650;30.2;6.40
675;30.4;14.96
700;24.0;4.30
725;30.0;25.56
750;30.3;18.86
775;30.4;19.36
800;30.5;19.34
