Episode;SurvivalTime;TotalReward 
25;30.4;13.72
50;30.5;6.40
75;30.1;16.30
100;30.1;7.40
125;30.0;6.72
150;30.3;12.60
175;30.4;12.88
200;30.1;13.42
225;30.1;16.42
250;30.3;16.54
275;29.6;5.24
300;30.1;16.42
325;30.4;13.62
350;30.3;13.62
375;30.1;10.64
400;30.0;13.84
425;30.3;16.62
450;30.4;14.04
475;30.3;16.70
500;30.0;16.66
525;30.2;14.00
550;30.3;13.64
575;30.1;13.62
600;30.3;13.40
625;30.0;12.72
650;30.2;16.64
675;30.2;16.84
700;30.0;6.70
725;30.1;6.02
750;30.2;10.64
775;30.2;17.02
800;30.0;14.00
