Episode;SurvivalTime;TotalReward 
25;30.3;17.28
50;30.1;17.24
75;13.5;4.48
100;29.6;16.70
125;27.8;17.14
150;17.3;10.66
175;24.1;16.94
200;28.6;19.46
225;30.1;17.24
250;22.1;16.88
275;21.0;7.86
300;20.1;16.10
325;26.9;17.82
350;29.7;20.42
375;30.2;16.56
400;30.3;17.26
425;29.1;13.70
450;30.3;17.26
475;27.8;4.26
500;23.0;16.92
525;21.7;16.86
550;22.9;16.22
575;30.6;19.38
600;30.3;18.68
625;26.1;14.04
650;28.5;17.18
675;28.3;26.36
700;29.3;25.70
725;27.3;16.40
750;30.4;18.68
775;20.9;16.12
800;30.2;18.62
