Episode;SurvivalTime;TotalReward 
1;17.7;17.22
2;30.0;17.26
3;18.6;18.00
4;16.4;16.44
5;18.3;16.58
6;17.1;17.18
7;25.9;17.58
8;21.0;17.22
9;23.0;16.62
10;16.5;16.40
11;25.8;17.78
12;17.7;17.20
13;19.2;25.82
14;18.3;16.56
15;16.4;17.14
16;18.7;18.00
17;17.4;17.40
18;18.3;17.28
19;17.3;17.18
20;14.9;17.00
21;26.2;17.08
22;21.4;16.58
23;19.5;19.86
24;20.5;16.74
25;17.2;17.92
26;20.9;16.76
27;16.5;16.46
28;23.2;20.82
29;21.5;16.80
30;15.9;17.08
31;30.1;19.52
32;22.9;16.68
33;16.9;16.46
34;20.7;26.66
35;18.7;16.62
36;23.0;26.82
37;20.8;16.54
38;16.4;17.14
39;30.1;18.06
40;23.0;16.90
41;22.2;16.84
42;30.0;19.48
43;30.1;20.20
44;25.3;17.08
45;24.2;17.66
46;20.8;16.74
47;19.7;29.58
48;21.8;17.54
49;18.6;16.58
50;18.0;17.26
51;20.0;16.68
52;19.5;17.36
53;19.0;17.34
54;17.1;17.18
55;19.9;17.34
56;19.3;25.82
57;20.4;16.72
58;19.7;25.66
59;21.7;26.00
60;21.7;16.78
61;20.4;17.12
62;27.3;17.18
63;22.9;16.86
64;20.5;16.68
65;26.6;26.34
66;23.0;16.88
67;22.0;16.82
68;20.2;22.90
69;19.6;16.68
70;21.3;25.96
71;22.6;16.66
72;21.1;25.98
73;21.6;17.48
74;30.1;18.78
75;20.2;17.38
76;30.1;29.36
77;16.9;16.44
78;17.4;17.20
79;19.5;25.86
80;17.5;17.20
81;17.5;17.22
82;19.4;16.66
83;21.5;17.50
84;20.2;16.68
85;20.7;16.92
86;22.9;16.86
87;21.0;16.76
88;18.3;16.56
89;18.6;17.28
90;17.1;17.20
91;30.1;19.52
92;21.5;17.50
93;24.9;17.02
94;30.0;20.18
95;30.1;18.84
96;18.2;16.56
97;18.4;16.58
98;20.9;25.94
99;30.1;37.26
100;22.2;29.96
101;20.7;25.92
102;20.4;16.70
103;24.7;26.02
104;21.5;32.22
105;22.5;17.36
106;19.9;26.60
107;19.2;23.56
108;20.5;25.90
109;25.0;21.64
110;23.6;33.02
111;22.6;17.56
112;21.9;18.24
113;19.4;17.36
114;18.6;17.98
115;19.7;25.86
116;24.4;17.48
117;17.5;17.22
118;19.6;16.66
119;30.1;19.50
120;21.0;18.16
121;30.0;20.16
122;21.3;17.48
123;20.3;18.08
124;25.7;26.28
125;23.6;16.92
126;24.7;17.00
127;19.4;25.84
128;30.1;27.30
129;23.4;26.12
130;30.0;27.06
131;20.2;17.40
132;30.1;28.18
133;20.5;17.42
134;18.0;17.24
135;21.2;26.68
136;24.0;26.90
137;18.4;17.28
138;22.8;16.88
139;21.8;17.34
140;21.2;18.20
141;16.6;16.46
142;21.7;26.72
143;19.9;27.32
144;22.3;17.56
145;29.6;17.16
146;22.4;16.86
147;19.9;17.38
148;19.5;16.66
149;24.7;17.00
150;30.1;18.62
151;24.3;17.70
152;19.7;16.70
153;21.9;16.82
154;24.0;26.18
155;20.5;16.72
156;19.8;17.38
157;27.4;17.20
158;26.9;17.16
159;29.5;26.58
160;22.8;16.88
161;30.1;18.80
162;30.1;18.06
163;18.4;16.58
164;23.8;17.64
165;27.6;17.24
166;22.3;17.56
167;28.5;17.28
168;17.5;16.52
