Episode;SurvivalTime;TotalReward 
1;21.6;16.78
2;22.5;17.54
3;24.6;17.74
4;23.2;16.54
5;24.3;15.48
6;30.1;17.86
7;27.7;16.32
8;21.7;16.78
9;27.1;17.64
10;25.4;16.12
11;24.5;16.98
12;30.0;17.88
13;25.1;17.10
14;30.0;18.68
15;29.2;18.00
16;22.2;16.62
17;26.4;17.82
18;30.0;27.08
19;30.0;18.02
20;24.7;17.00
21;26.5;16.90
22;28.6;26.46
23;22.5;16.86
24;30.0;29.60
25;22.2;17.54
26;29.7;20.58
27;29.2;20.52
28;27.1;17.18
29;30.0;27.08
30;30.1;31.52
31;30.3;19.04
32;30.2;27.78
33;29.1;17.30
34;30.0;38.62
35;21.1;16.76
36;27.7;17.70
37;30.1;29.44
38;30.1;29.42
39;30.1;29.42
40;28.0;17.26
41;30.1;22.02
42;20.6;16.76
43;20.1;16.68
44;20.8;17.42
45;27.8;20.42
46;27.0;16.96
47;24.0;16.98
48;30.0;18.10
49;22.5;17.56
50;30.1;20.20
51;24.9;18.42
52;25.7;17.60
53;30.1;20.14
54;24.8;17.02
55;30.1;29.38
56;27.2;17.20
57;29.1;26.56
58;26.3;27.04
59;30.1;18.76
60;23.5;18.32
61;30.0;27.26
62;25.3;18.44
63;30.1;26.44
64;27.6;20.22
65;29.5;23.56
66;30.1;23.62
67;30.1;19.52
68;30.0;29.40
69;24.9;17.68
70;30.0;18.78
71;30.1;28.00
72;30.1;29.38
73;30.1;28.72
74;29.3;17.10
75;29.7;17.34
76;23.6;16.90
77;30.0;29.42
78;30.1;29.42
79;30.1;19.52
80;25.6;17.08
81;23.3;16.90
82;30.2;18.08
83;30.1;28.74
84;20.8;16.74
85;19.8;16.66
86;28.1;17.94
87;21.8;16.82
88;30.1;18.80
89;30.1;18.06
90;30.0;18.10
91;30.0;18.76
92;30.1;29.44
93;25.4;27.66
94;22.7;16.84
95;30.1;18.78
96;30.1;29.40
97;26.6;17.16
98;30.1;38.60
99;30.1;28.48
100;27.3;17.20
101;30.0;18.80
102;24.3;16.98
103;25.7;26.30
104;25.9;18.54
105;30.0;29.36
106;30.0;19.46
107;26.0;17.00
108;30.0;29.40
109;26.4;17.82
110;30.1;19.50
111;30.1;28.74
112;30.0;19.48
113;30.1;38.54
114;27.8;17.68
115;29.2;18.06
116;27.6;23.40
117;28.9;27.22
118;21.7;16.78
119;28.2;18.46
120;21.6;16.78
121;30.0;38.64
122;30.1;25.72
123;27.2;17.16
124;30.0;28.02
125;30.1;27.32
126;30.1;19.50
127;30.0;29.46
128;30.1;29.48
129;28.2;17.94
130;25.7;17.08
131;21.8;16.84
132;30.1;28.02
133;21.0;16.74
134;28.8;17.28
135;27.5;17.16
136;23.8;16.94
137;27.2;17.18
138;26.1;26.32
139;30.1;29.42
140;30.1;20.20
141;30.0;18.78
142;26.4;18.56
143;26.7;17.14
144;29.4;26.56
145;30.0;28.06
146;30.1;28.44
147;30.1;38.60
148;21.8;16.82
149;30.1;29.22
150;30.1;20.18
151;28.2;26.50
