Episode;SurvivalTime;TotalReward 
1;18.9;12.98
2;24.2;1.36
3;13.0;0.58
4;17.7;1.66
5;18.0;1.10
6;19.2;6.86
7;23.0;4.48
8;20.1;3.98
9;14.7;5.30
10;16.0;7.50
11;16.6;4.66
12;18.4;4.70
13;19.2;3.74
14;16.8;5.02
15;14.0;4.40
16;14.2;4.44
17;14.4;3.78
18;13.5;2.24
19;14.6;5.22
20;18.0;4.68
21;15.6;1.60
22;23.0;4.98
23;17.8;4.68
24;21.8;1.80
25;24.5;2.70
26;15.9;4.30
27;11.6;-1.28
28;25.8;4.94
29;14.8;0.76
30;19.1;0.96
31;20.3;10.88
32;21.4;13.94
33;15.2;4.48
34;18.4;5.40
35;18.3;4.64
36;19.9;1.02
37;18.2;5.42
38;22.0;1.10
39;16.9;7.00
40;12.0;1.36
41;18.2;0.96
42;20.0;7.76
43;14.6;3.78
44;17.6;10.70
45;14.0;1.90
46;25.4;13.28
47;11.8;4.96
48;18.7;4.10
49;15.4;13.60
50;13.3;4.38
51;19.0;1.04
52;15.7;4.56
53;15.8;5.26
54;16.0;4.58
55;30.2;4.56
56;17.8;1.68
57;22.5;5.64
58;16.8;0.90
59;21.4;4.12
60;19.0;10.10
61;28.4;4.44
62;15.2;0.78
63;21.6;4.90
64;15.3;0.66
65;14.7;4.44
66;14.9;1.42
67;20.6;13.82
68;22.1;10.86
69;14.7;1.52
70;15.2;3.78
71;17.9;11.58
72;17.8;3.94
73;19.1;14.12
74;13.0;0.74
75;19.8;10.64
76;18.9;10.82
77;30.1;1.48
78;30.2;1.52
79;21.6;17.10
80;16.7;8.16
81;21.2;25.84
82;23.1;14.50
83;16.3;10.60
84;18.4;17.36
85;18.1;7.52
86;19.9;7.58
87;15.1;3.80
88;21.2;4.90
89;22.8;7.24
90;30.0;7.48
91;21.2;8.62
92;19.9;13.98
93;23.4;17.32
94;19.6;4.04
95;19.7;4.90
96;21.2;7.90
97;30.1;5.40
98;22.7;4.86
99;30.4;17.70
100;23.1;16.70
101;28.0;11.24
102;23.2;15.62
103;16.9;11.42
104;16.4;10.56
105;19.9;14.56
106;17.7;5.44
107;24.4;5.46
108;19.6;7.60
109;20.1;3.76
110;30.1;8.40
111;16.9;13.80
112;21.5;2.30
113;18.3;0.66
114;14.7;3.82
115;18.5;0.98
116;19.2;4.72
117;14.5;0.68
118;17.5;3.84
119;17.3;10.74
120;24.1;4.82
121;16.8;4.56
122;21.3;13.26
123;13.0;4.44
124;26.2;20.30
125;17.7;10.82
126;15.3;4.52
127;22.1;13.10
128;19.0;16.04
129;19.4;5.58
130;17.0;13.10
131;26.0;5.82
132;20.7;7.56
133;14.0;4.44
134;17.5;7.66
135;20.6;7.82
136;16.4;11.20
137;20.3;7.08
138;14.4;3.78
139;23.0;4.24
140;20.8;7.84
141;20.1;7.88
142;22.2;7.14
143;24.0;7.30
144;18.8;7.74
145;25.7;10.40
146;17.5;4.62
147;17.6;3.72
148;30.1;8.12
149;23.5;7.48
150;25.4;10.50
151;18.2;13.94
152;26.8;4.44
153;22.1;4.18
154;18.6;7.72
155;18.0;7.74
156;30.0;5.38
157;23.3;8.06
158;23.4;8.02
159;24.0;8.10
160;30.1;15.98
161;26.9;10.76
162;24.8;4.46
163;27.4;16.70
164;16.7;4.60
165;19.8;4.86
166;20.2;4.86
167;19.0;4.72
168;30.6;16.78
169;23.7;26.06
170;27.5;26.44
171;23.5;26.08
172;20.1;16.80
173;22.4;25.38
174;22.7;23.14
175;22.8;25.96
176;22.5;17.80
177;24.1;16.36
178;21.9;23.06
179;22.0;16.24
180;22.7;26.20
181;23.2;16.72
182;24.2;25.54
183;19.0;16.08
184;30.2;26.98
185;20.0;16.54
186;30.6;17.44
187;30.9;16.82
188;24.6;17.84
189;22.4;17.02
190;30.1;16.56
191;20.3;13.16
192;30.1;28.00
193;22.0;19.42
194;30.0;27.84
195;25.7;16.54
196;30.1;18.10
197;20.2;7.18
198;20.1;4.80
199;24.7;8.02
200;30.6;15.22
201;17.0;4.70
202;18.9;7.36
203;29.0;8.32
204;26.7;4.48
205;19.8;4.12
206;19.3;17.70
207;20.9;6.88
208;18.2;7.66
209;22.8;7.22
210;20.4;4.84
211;20.6;13.22
212;17.4;4.64
213;13.4;6.72
214;17.4;3.82
215;17.0;16.74
216;12.4;5.10
217;17.1;4.64
218;20.7;14.76
219;14.6;5.30
220;28.5;7.52
221;18.3;5.50
222;19.3;4.74
223;30.0;8.46
224;24.4;8.04
225;30.1;6.86
226;20.7;7.92
227;23.6;10.24
228;18.7;7.64
229;21.8;4.18
230;22.5;7.82
231;24.5;4.30
232;19.7;5.48
233;20.9;4.88
234;18.3;4.02
235;21.2;7.62
236;17.4;8.50
237;28.1;13.46
238;25.4;5.80
239;20.4;7.10
240;17.4;5.30
241;20.7;7.78
242;23.1;7.24
243;18.1;5.46
244;19.7;7.04
245;21.4;4.12
246;14.3;5.12
247;24.5;8.08
248;17.8;7.00
249;20.7;7.82
250;24.4;4.04
251;27.5;17.02
252;18.3;13.12
253;18.1;13.14
254;21.9;5.40
255;19.6;4.78
256;19.0;6.94
257;18.3;13.92
258;19.2;4.00
259;20.2;19.84
260;19.9;16.78
261;20.6;16.26
262;16.6;7.64
263;24.4;23.26
264;23.0;7.96
265;18.4;4.04
266;19.0;4.66
267;21.1;14.70
268;19.1;7.64
269;19.5;17.56
270;16.8;7.50
271;19.1;4.06
272;18.4;8.20
273;17.7;16.04
274;18.6;16.86
275;18.7;7.76
276;23.9;14.74
277;17.2;16.64
278;19.1;13.80
279;15.0;6.78
280;19.4;17.62
281;20.5;7.82
282;22.0;7.92
283;23.3;17.86
284;20.4;7.78
285;22.3;4.64
286;19.3;8.20
287;17.4;4.66
288;15.5;8.20
289;30.8;6.12
290;17.5;4.64
291;30.1;10.40
292;18.9;13.76
293;13.3;4.40
294;22.0;4.90
295;25.7;13.50
296;21.6;14.66
297;18.3;6.92
298;20.6;4.06
299;17.4;16.78
300;20.9;20.08
301;30.0;5.56
302;24.9;8.62
303;21.5;16.26
304;30.2;17.34
305;18.8;16.86
306;27.1;4.48
307;22.2;7.92
308;17.0;4.64
309;18.4;12.94
310;27.0;8.42
311;26.3;4.16
312;30.2;9.68
313;23.7;8.84
314;22.7;4.20
315;24.1;10.20
316;30.2;27.26
317;18.8;7.76
318;17.8;13.84
319;30.1;8.82
320;19.6;16.92
321;18.4;17.62
322;26.5;24.14
323;23.0;7.92
324;17.1;6.88
325;26.8;7.50
326;19.6;16.92
327;23.8;23.34
328;19.0;10.62
329;24.7;1.28
330;15.6;11.42
331;30.6;8.14
332;12.6;4.84
333;30.1;14.48
334;20.9;20.02
335;18.4;10.04
336;23.5;16.98
337;20.3;17.08
338;29.0;17.32
339;17.3;17.34
340;30.0;19.58
341;28.2;17.32
342;30.2;24.26
343;21.5;16.94
344;22.9;16.70
345;28.1;17.30
346;23.3;17.06
347;18.8;16.80
348;23.0;17.02
349;19.3;16.10
350;23.7;26.88
351;24.4;25.48
352;24.0;17.56
353;30.1;27.04
354;23.3;17.08
355;22.5;17.04
356;30.1;18.22
357;21.1;17.36
358;26.3;18.00
359;30.3;17.92
360;21.0;17.64
361;20.2;16.88
362;18.8;16.78
363;24.3;17.04
364;27.6;26.40
365;30.1;18.08
366;20.0;17.54
367;22.5;16.28
368;27.4;17.02
369;22.2;25.34
370;22.9;16.20
371;30.0;25.72
372;26.6;17.30
373;21.0;16.22
374;26.3;16.46
375;30.0;17.28
376;30.3;15.60
377;26.5;21.10
378;30.1;9.96
379;20.2;17.66
380;13.6;4.42
381;21.3;14.00
382;21.3;10.88
383;24.6;11.92
384;22.4;13.32
385;20.4;18.30
386;20.3;7.88
387;22.0;17.72
388;19.3;16.88
389;22.5;16.08
390;18.4;16.70
391;22.7;17.04
392;22.6;26.04
393;24.7;25.50
394;20.7;16.92
395;23.6;17.04
396;21.6;26.06
397;24.9;25.56
398;24.0;17.12
399;20.2;13.20
400;19.8;10.20
401;20.3;7.58
402;20.5;7.08
403;22.5;8.02
404;19.8;16.92
405;29.1;8.28
406;17.9;4.72
407;18.6;4.00
408;22.0;4.26
409;17.2;6.94
410;18.9;4.80
411;21.6;5.60
412;17.7;7.76
413;30.0;19.60
414;28.8;16.82
415;26.4;17.24
416;24.8;4.34
417;16.5;3.92
418;24.0;4.32
419;24.1;8.00
420;20.5;5.56
421;20.1;7.82
422;30.5;6.94
423;25.7;7.44
424;17.8;7.76
425;30.1;7.52
426;22.8;5.04
427;21.0;14.66
428;17.6;4.74
429;19.9;4.10
430;18.0;3.90
431;14.7;7.56
432;19.6;17.62
433;22.7;17.66
434;22.0;17.02
435;24.2;34.58
436;22.4;17.00
437;22.1;16.24
438;21.2;16.92
439;25.8;16.44
440;30.1;18.88
441;21.2;16.10
442;26.8;17.20
443;22.9;16.36
444;23.5;16.42
445;24.5;16.36
446;16.9;16.72
447;24.9;16.44
448;23.8;16.44
449;24.4;16.34
450;20.0;16.86
451;25.3;17.12
452;23.0;17.12
453;21.2;16.88
454;28.1;18.06
455;30.1;18.02
456;22.4;17.14
457;23.8;17.12
458;23.9;16.98
459;26.1;17.10
460;28.3;16.64
461;25.3;16.38
462;24.6;16.32
463;20.2;16.76
464;23.6;17.82
465;24.7;16.40
466;25.6;17.24
467;27.8;16.60
468;23.3;16.32
469;23.3;17.02
470;30.0;17.40
471;21.5;16.90
472;22.6;17.06
473;20.9;16.92
474;26.6;17.24
475;19.8;16.08
476;23.4;16.26
477;16.8;14.38
478;26.6;16.52
479;21.7;11.02
480;30.1;19.60
481;21.7;16.94
482;22.0;17.66
483;21.0;16.90
484;23.6;17.82
485;22.1;16.98
486;27.9;26.48
487;24.2;16.36
488;26.3;17.18
489;25.5;16.48
490;19.6;17.52
491;28.9;16.72
492;27.8;26.44
493;22.3;16.96
494;24.9;17.14
495;21.9;16.20
496;25.0;16.46
497;28.2;17.34
498;25.2;16.40
499;28.0;17.32
500;28.3;26.44
