Episode;SurvivalTime;TotalReward 
1;20.7;10.84
2;18.0;7.08
3;16.1;4.54
4;17.8;7.06
5;16.5;0.96
6;12.8;1.40
7;12.7;5.06
8;14.1;-1.46
9;15.9;6.82
10;19.0;3.94
11;13.1;0.68
12;13.1;0.68
13;15.7;4.50
14;22.0;13.16
15;18.2;1.74
16;13.2;2.08
17;24.3;1.34
18;13.7;1.66
19;13.4;2.04
20;17.7;1.74
21;17.0;0.72
22;13.5;0.82
23;16.2;3.84
24;19.7;2.56
25;17.9;1.08
26;18.1;4.70
27;14.8;0.74
28;21.9;4.30
29;18.1;4.68
30;16.9;4.50
31;24.5;4.74
32;26.9;4.24
33;19.3;1.14
34;19.5;10.80
35;23.8;16.22
36;15.1;3.78
37;18.4;2.28
38;21.7;13.22
39;20.7;3.96
40;24.7;4.20
41;21.8;1.06
42;16.1;3.76
43;16.6;4.52
44;13.0;0.62
45;26.9;7.78
46;21.2;1.18
47;19.5;4.84
48;21.4;0.12
49;25.6;1.44
50;30.7;3.76
51;20.3;2.54
52;30.1;4.42
53;30.2;6.60
54;19.9;1.82
55;30.3;-0.60
56;27.0;1.50
57;21.6;1.28
58;16.0;1.56
59;27.7;4.54
60;16.1;1.70
61;16.6;1.60
62;19.9;5.48
63;24.4;8.74
64;20.5;2.60
65;22.1;5.64
66;20.4;1.20
67;18.4;1.02
68;23.0;1.96
69;27.0;2.20
70;19.1;1.68
71;18.0;4.92
72;19.2;4.56
73;25.4;2.14
74;21.1;1.14
75;30.1;3.18
76;19.0;4.88
77;30.2;8.40
78;24.5;17.20
79;23.9;16.38
80;27.7;14.22
81;27.4;19.58
82;24.6;22.44
83;30.3;19.76
84;28.6;17.36
85;22.8;16.32
86;30.1;28.74
87;20.9;13.64
88;27.2;18.00
89;30.6;37.20
90;30.0;28.68
91;30.1;31.88
92;21.9;16.24
93;30.1;25.68
94;25.4;17.16
95;27.5;17.92
96;30.0;27.28
97;28.7;18.12
98;30.4;31.92
99;30.5;17.44
100;21.4;13.30
101;30.1;28.18
102;24.4;17.12
103;27.8;16.20
104;30.1;28.72
105;30.3;17.98
106;30.3;18.18
107;26.3;17.30
108;23.1;10.02
109;23.1;8.60
110;22.1;7.16
111;30.2;18.12
112;21.1;13.82
113;30.2;21.90
114;19.7;16.78
115;14.4;4.98
116;16.7;6.94
117;23.2;5.08
118;15.4;3.88
119;19.6;8.48
120;14.7;6.82
121;30.0;10.50
122;23.4;7.44
123;25.2;5.18
124;19.0;4.04
125;17.1;6.84
126;14.9;4.56
127;19.0;7.86
128;23.2;8.08
129;21.2;13.82
130;21.8;4.40
131;23.5;8.50
132;30.6;5.22
133;25.4;4.36
134;20.8;7.02
