Episode;SurvivalTime;TotalReward 
1;24.1;7.94
2;23.5;4.04
3;18.7;0.88
4;18.5;4.00
5;30.2;16.76
6;15.3;0.76
7;19.1;4.02
8;26.6;4.52
9;19.8;0.96
10;27.9;7.60
11;26.0;3.48
12;26.6;7.52
13;21.7;1.34
14;30.0;13.72
15;27.7;14.52
16;21.7;1.72
17;22.5;4.40
18;13.7;1.52
19;15.3;0.74
20;29.0;0.60
21;16.7;0.96
22;24.6;1.14
23;20.3;1.86
24;30.6;19.22
25;30.2;16.12
26;30.0;13.52
27;30.1;16.16
28;30.0;10.78
29;30.2;14.42
30;30.3;11.62
31;30.1;5.22
32;27.9;5.06
33;28.8;4.72
34;30.6;22.24
35;30.0;10.60
36;29.9;14.76
37;24.7;2.56
38;30.1;19.18
39;30.0;10.50
40;25.9;8.42
41;30.2;11.62
42;15.3;1.60
43;30.0;22.96
44;30.1;19.76
45;30.2;16.44
46;22.9;4.34
47;30.0;19.86
48;30.1;26.00
49;27.2;5.84
50;30.6;12.04
51;23.6;5.04
52;28.6;13.82
53;30.1;9.40
54;30.0;6.98
55;23.5;7.40
56;30.1;16.72
57;30.3;18.38
58;30.1;19.74
59;19.6;4.26
60;30.2;19.72
61;30.2;13.86
62;30.7;19.90
63;30.1;22.76
64;30.4;18.24
65;30.3;8.44
66;30.4;22.92
67;30.0;16.70
68;30.0;18.54
69;30.1;16.74
70;30.0;10.12
71;30.4;15.44
72;30.0;6.94
73;24.8;4.38
74;30.1;9.70
75;28.8;10.86
76;16.7;0.88
77;25.9;2.32
78;30.1;9.34
79;19.1;4.12
80;30.5;13.94
81;30.1;12.32
82;14.1;1.54
83;23.9;1.76
84;30.6;14.40
85;20.3;1.20
86;26.4;10.56
87;16.1;1.66
88;25.4;5.18
89;29.5;4.80
90;19.3;7.08
91;30.1;13.78
92;27.2;4.60
93;30.0;13.64
94;30.2;12.94
95;30.2;9.96
96;29.1;8.44
97;29.2;5.40
98;30.2;10.60
99;30.1;7.18
100;27.7;8.36
101;30.1;18.72
102;27.5;8.42
103;26.2;5.22
104;24.4;4.48
105;30.6;15.36
106;30.1;9.24
107;24.4;4.50
108;30.1;12.98
109;30.3;7.88
110;30.3;14.60
111;30.0;10.30
112;30.1;16.48
113;30.1;19.86
114;26.7;4.64
115;30.8;15.54
116;30.0;16.04
117;30.3;18.96
118;30.1;22.78
119;30.0;25.72
120;30.1;19.70
121;30.7;22.86
122;30.0;19.68
123;30.0;22.80
124;30.0;16.54
125;30.0;19.64
126;30.0;9.00
127;30.1;12.38
128;25.8;10.38
129;15.1;1.58
130;30.4;4.14
131;30.1;19.10
132;30.4;8.94
133;30.1;18.42
134;29.9;5.06
135;21.8;1.00
136;17.9;3.94
137;30.2;8.48
138;26.8;4.80
139;22.8;5.12
140;20.8;0.96
141;21.3;1.12
142;22.8;4.40
143;30.0;19.84
144;14.2;-2.22
145;25.3;10.54
146;30.2;13.44
147;30.1;19.24
148;30.1;16.50
149;22.1;7.26
150;30.2;19.70
151;30.1;19.56
152;30.3;22.82
153;30.3;18.48
154;30.1;19.26
155;30.1;19.82
156;30.4;22.96
157;30.2;18.94
158;30.1;19.76
159;30.0;25.24
160;30.0;16.44
161;22.9;7.36
162;30.1;22.94
163;30.1;16.38
164;30.1;19.70
165;28.5;10.84
166;30.1;13.88
167;30.4;15.26
168;30.1;16.86
169;30.0;11.60
170;30.6;9.20
171;30.7;16.02
172;30.6;11.62
173;20.7;4.82
174;30.1;12.96
175;28.5;8.40
176;28.3;9.22
177;30.1;9.34
178;30.5;8.58
179;21.2;4.26
180;24.9;4.52
181;30.2;3.54
182;28.4;2.30
183;17.6;5.40
184;30.6;13.66
185;30.8;10.50
186;30.1;1.10
187;30.5;1.98
188;30.1;16.02
189;20.1;1.12
190;20.6;1.88
191;30.3;14.36
192;30.7;11.54
193;30.4;6.14
194;30.0;16.86
195;23.0;2.00
196;30.1;12.94
197;30.0;19.80
198;30.0;19.88
199;30.1;16.80
200;30.1;9.20
201;30.1;19.76
202;30.0;19.82
203;30.1;16.76
204;30.1;7.36
205;30.1;13.70
206;30.3;19.74
207;30.1;22.80
208;28.4;4.52
209;30.1;16.42
210;30.1;10.14
211;30.1;19.80
212;30.0;19.84
213;30.1;16.80
214;30.0;19.74
215;30.1;16.70
216;30.2;19.82
217;30.1;19.80
218;30.2;19.70
219;30.3;16.58
220;30.3;6.44
221;30.3;16.70
222;30.3;22.88
223;30.6;11.62
224;30.0;13.64
225;30.1;12.18
226;30.6;22.82
227;30.1;19.12
228;30.4;17.52
229;30.1;19.62
230;30.0;22.78
231;30.1;19.64
232;30.2;19.80
233;30.1;19.66
234;30.2;19.64
235;30.0;19.68
236;30.1;16.60
237;30.2;19.58
238;30.3;22.82
239;30.2;22.70
240;30.5;16.62
241;30.3;19.70
242;30.5;22.78
243;30.5;22.78
244;30.2;19.74
245;30.0;22.72
246;30.1;22.80
247;30.1;19.66
248;30.1;19.70
249;30.1;19.66
250;30.3;22.82
251;30.0;9.92
252;30.7;22.92
253;30.0;19.82
254;30.2;25.92
255;30.1;19.82
256;30.1;25.92
257;30.1;16.04
258;30.5;15.36
259;30.1;19.76
260;27.7;11.48
261;30.1;13.70
262;30.1;16.04
263;30.1;10.12
264;28.4;7.72
265;30.2;10.66
266;29.8;7.80
267;30.1;16.68
268;30.0;16.00
269;30.1;9.90
270;30.2;14.20
271;30.6;22.68
272;23.4;4.32
273;30.2;16.80
274;30.1;19.02
275;30.0;19.72
276;30.1;10.66
277;30.4;15.88
278;30.0;19.80
279;30.0;16.04
280;30.1;19.82
281;29.9;9.30
282;17.2;4.00
283;30.1;19.80
284;21.6;4.98
285;30.1;9.16
