Episode;SurvivalTime;TotalReward 
1;14.2;6.76
2;18.2;5.48
3;15.8;6.86
4;20.1;3.92
5;14.3;4.20
6;13.0;4.28
7;17.3;13.70
8;12.4;1.44
9;14.4;4.54
10;12.7;0.72
11;22.2;1.98
12;14.1;0.78
13;15.9;10.74
14;13.1;0.64
15;14.5;3.74
16;13.4;4.42
17;12.7;5.16
18;16.9;4.70
19;13.4;4.36
20;18.4;4.74
21;21.5;4.18
22;15.4;3.62
23;19.7;5.54
24;11.1;4.32
25;13.2;3.76
26;16.7;12.94
27;16.4;9.94
28;15.2;4.64
29;12.7;1.38
30;11.6;4.98
31;15.7;4.34
32;21.7;16.86
33;20.4;11.24
34;12.9;3.56
35;15.0;3.68
36;13.9;4.26
37;13.4;4.36
38;16.9;7.62
39;18.1;4.68
40;13.5;3.54
41;11.9;4.18
42;15.4;1.92
43;19.1;13.84
44;18.8;4.64
45;17.8;10.58
46;21.1;1.20
47;15.8;4.54
48;21.2;1.86
49;22.4;5.62
50;19.7;7.84
51;15.6;0.82
52;13.3;1.36
53;13.4;1.42
54;15.5;4.52
55;15.6;0.82
56;12.4;4.40
57;14.7;8.38
58;11.4;1.30
59;16.6;10.70
60;16.9;0.92
61;20.9;7.82
62;17.4;10.06
63;14.3;4.46
64;18.2;16.72
65;16.4;12.96
66;14.9;9.84
67;15.0;3.78
68;16.0;5.08
69;12.3;0.64
70;15.6;3.86
71;20.8;1.10
72;15.6;12.96
73;24.2;11.24
74;17.1;5.36
75;22.1;1.98
76;18.6;8.44
77;18.4;3.98
78;16.1;3.84
79;16.1;4.40
80;17.2;3.94
81;11.8;1.28
82;17.2;1.62
83;13.2;4.40
84;17.0;4.54
85;20.6;4.18
86;26.1;6.74
87;14.4;8.04
88;12.4;1.34
89;18.8;4.00
90;14.9;14.34
91;18.5;4.52
92;15.3;8.30
93;13.4;3.68
94;12.1;3.64
95;19.9;4.78
96;19.0;3.84
97;15.2;1.44
98;14.7;1.46
99;17.0;13.72
100;15.0;7.38
101;14.4;2.18
102;18.5;14.60
103;10.6;1.30
104;17.5;6.96
105;18.4;14.40
106;17.6;16.10
107;15.6;2.20
108;16.3;11.50
109;17.8;16.68
110;15.4;12.94
111;19.3;4.00
112;14.2;2.00
113;21.5;4.84
114;14.7;14.32
115;14.8;0.76
116;15.6;12.96
117;14.2;3.72
118;17.9;4.60
119;19.6;16.12
120;15.3;4.48
121;13.4;5.12
122;14.9;2.22
123;18.6;4.00
124;11.7;3.64
125;13.0;3.62
126;16.1;0.80
127;18.5;16.86
128;18.4;16.72
129;11.3;1.32
130;13.3;4.42
131;17.1;4.82
132;13.5;7.42
133;15.1;7.50
134;11.8;3.64
135;18.6;10.04
136;14.7;0.74
137;12.9;4.34
138;19.4;13.78
139;18.6;13.72
140;19.3;16.80
141;23.3;22.36
142;21.9;13.92
143;18.2;19.12
144;21.5;16.18
145;18.8;16.76
146;30.1;19.58
147;23.1;14.06
148;26.3;26.40
149;24.9;16.28
150;28.1;17.26
151;23.6;16.28
152;26.0;17.24
153;30.7;18.48
154;25.4;17.02
155;24.3;16.32
156;23.5;16.28
157;29.1;28.80
158;31.2;21.48
159;22.9;16.82
160;23.1;16.94
161;24.6;17.14
162;23.3;20.16
163;25.5;23.34
164;19.3;16.08
165;30.1;27.14
166;24.4;26.28
167;17.4;15.90
168;20.1;16.78
169;25.1;26.28
170;22.7;16.20
171;26.4;22.64
172;18.8;14.50
173;16.9;4.66
174;15.8;6.74
175;16.5;6.92
176;17.3;3.88
177;23.2;10.16
178;16.8;3.78
179;18.4;6.94
180;20.1;7.04
181;22.0;4.18
182;21.2;10.22
183;21.6;7.86
184;25.0;7.36
185;13.3;7.44
186;17.1;7.64
187;16.9;7.56
188;11.5;7.44
189;18.6;7.74
190;16.3;3.90
191;17.8;10.72
192;13.4;7.50
193;20.0;4.06
