Episode;SurvivalTime;TotalReward 
1;30.1;20.40
2;30.0;23.22
3;30.1;23.48
4;30.1;19.54
5;30.0;19.52
6;30.1;19.52
7;30.1;23.50
8;30.1;20.28
9;30.0;20.24
10;30.1;20.10
11;30.0;20.32
12;30.0;23.70
13;30.2;23.44
14;30.1;18.08
15;30.2;19.56
16;30.0;20.30
17;30.1;19.54
18;30.0;20.30
19;30.1;19.60
20;30.0;20.46
21;30.0;19.60
22;30.0;20.30
23;30.1;23.48
24;30.1;20.28
25;30.1;20.68
26;30.1;20.26
27;30.1;23.52
28;30.1;26.90
29;30.0;20.28
30;30.1;20.26
31;30.1;20.46
32;30.0;20.28
33;30.1;17.48
34;30.0;20.30
35;30.1;20.24
36;30.1;20.30
37;30.1;23.50
38;29.8;17.42
39;30.1;23.66
40;30.0;19.52
41;30.1;20.24
42;30.1;20.08
43;30.0;20.24
44;30.0;20.50
45;30.1;23.48
46;30.1;23.18
47;30.1;20.26
48;30.1;19.58
49;30.1;20.26
50;30.0;23.42
51;30.1;23.50
52;30.1;20.46
53;30.1;20.30
54;30.2;20.26
55;30.3;20.26
56;30.2;23.48
57;30.2;20.24
58;30.2;20.26
59;30.2;20.32
60;30.2;20.26
61;30.1;19.56
62;30.2;20.28
63;30.0;20.20
64;30.0;20.22
65;30.1;20.26
66;30.0;18.86
67;30.1;20.28
68;30.0;20.20
69;30.1;20.20
70;30.1;20.24
71;30.1;20.22
72;30.1;20.28
73;30.0;20.26
74;30.1;20.20
75;30.0;20.24
76;30.1;23.52
77;30.1;20.48
78;30.1;20.28
79;30.0;19.52
80;30.1;18.86
81;30.1;20.22
82;30.0;20.26
83;30.1;20.86
84;30.1;20.26
85;30.1;18.86
86;30.1;20.48
87;30.1;20.34
88;30.0;20.30
89;30.1;20.30
90;30.0;20.30
91;30.1;23.18
92;30.1;20.24
93;30.1;20.24
94;30.1;20.20
95;30.1;20.22
96;30.0;19.52
97;30.1;20.24
98;30.1;20.26
99;30.1;23.46
100;30.0;23.46
101;30.0;20.18
102;30.1;20.20
103;30.1;20.26
104;30.1;20.22
105;30.0;26.48
106;30.1;23.52
107;30.1;19.60
108;30.0;20.24
109;30.0;20.26
110;30.1;20.18
111;30.1;20.30
112;30.0;20.28
113;30.1;20.20
114;30.1;23.50
115;30.1;23.48
116;30.1;20.24
117;30.1;17.30
118;30.0;23.50
119;30.1;19.56
120;30.1;17.24
121;30.1;20.26
122;30.1;20.28
123;30.1;20.24
124;30.1;20.34
125;30.1;23.50
126;30.0;20.44
127;30.1;23.46
128;30.1;20.26
129;30.1;23.52
130;30.0;20.22
131;30.0;20.26
132;30.1;20.30
133;30.0;20.26
134;30.1;20.30
135;30.0;20.28
136;30.1;19.94
137;30.1;20.28
138;30.1;20.30
139;30.0;19.60
140;30.1;20.06
141;30.1;17.28
142;30.1;19.60
143;30.1;20.34
144;30.1;20.32
145;30.1;20.30
146;30.1;20.24
147;30.1;19.04
148;30.1;23.46
149;30.1;20.28
150;30.1;20.22
151;30.1;20.24
152;30.1;23.52
153;30.0;26.48
154;30.1;20.28
155;30.0;20.20
156;30.0;20.26
157;30.1;23.46
158;30.1;23.50
159;30.1;20.28
160;30.1;23.44
161;30.0;23.50
162;30.1;20.28
163;30.0;19.56
164;30.1;20.26
165;30.1;19.36
166;30.0;20.32
167;30.1;19.58
168;30.1;23.46
169;30.0;26.46
170;30.1;20.24
171;30.2;20.90
172;30.1;26.46
173;30.2;26.52
174;30.2;23.74
175;30.2;27.14
176;30.0;23.46
177;30.1;20.30
178;30.3;20.28
179;30.1;20.26
180;30.0;20.30
181;30.1;26.20
182;30.1;23.40
183;30.1;20.24
184;30.1;20.24
185;30.0;23.42
186;30.0;23.50
187;30.0;20.28
188;30.1;20.24
189;30.1;20.26
190;30.0;20.28
191;30.0;20.52
192;30.1;23.68
193;30.0;23.52
194;30.1;23.46
195;30.1;20.24
196;30.0;20.26
197;30.1;20.70
198;30.0;23.46
199;30.1;23.48
200;30.0;20.28
201;30.1;20.20
202;30.1;20.44
203;30.1;23.50
204;30.1;23.46
205;30.1;20.28
206;30.0;23.46
207;30.1;23.50
208;30.1;23.88
209;30.1;23.50
210;30.0;20.24
211;30.1;20.24
212;30.0;20.24
213;30.1;20.16
214;30.2;20.06
215;30.0;20.20
216;30.1;20.04
217;30.1;20.34
218;30.1;20.52
219;30.1;23.48
220;30.1;23.90
221;30.1;20.48
222;30.0;20.40
223;30.1;20.26
224;30.1;20.30
225;30.0;20.30
226;30.1;20.26
227;30.8;20.08
228;30.0;20.26
229;30.1;20.26
230;30.1;20.24
231;30.1;20.14
232;30.1;20.20
233;30.1;20.26
234;30.1;20.24
235;30.1;20.02
236;30.0;20.18
237;30.1;20.22
238;30.1;20.14
239;30.1;20.26
240;30.1;26.48
241;30.1;20.28
242;30.0;20.28
243;30.1;20.24
244;30.0;20.26
245;30.1;23.48
246;30.1;20.26
247;30.0;20.34
248;30.0;20.26
249;30.0;23.68
250;30.1;20.26
251;30.1;26.66
252;30.0;26.52
253;30.1;26.70
254;30.0;20.40
255;30.0;26.68
256;30.1;23.68
257;30.1;23.50
258;30.1;26.46
259;30.1;26.68
260;30.0;23.84
261;30.1;20.24
262;30.1;23.52
263;30.1;23.50
264;30.1;23.52
265;30.1;23.50
266;30.1;20.30
267;30.0;23.48
268;30.2;26.42
269;30.1;20.62
270;30.0;20.42
271;30.2;20.24
272;30.1;20.04
273;30.1;20.30
274;30.0;20.30
275;30.0;19.90
276;30.0;20.24
277;30.2;20.18
278;30.0;20.22
279;30.1;20.28
280;30.1;20.26
281;30.1;26.42
282;30.1;23.42
283;30.0;20.24
284;30.0;20.26
285;30.1;20.28
286;30.1;20.26
287;30.1;20.26
288;30.1;20.26
289;30.2;20.28
290;30.0;20.26
291;30.0;20.26
292;30.1;20.26
293;30.0;20.30
294;30.0;20.00
295;30.0;20.28
296;30.1;20.30
297;30.1;20.22
298;30.1;20.32
299;30.1;20.32
300;30.1;20.30
301;30.0;20.28
302;30.1;20.28
303;30.1;20.30
304;30.1;20.30
305;30.0;26.42
306;30.0;23.56
307;30.0;23.48
308;30.0;20.26
309;30.1;20.32
310;30.1;23.50
311;30.1;20.28
312;30.0;23.54
313;30.1;26.44
314;30.1;26.04
315;30.0;23.42
316;30.1;23.50
317;30.0;23.88
318;30.0;20.06
319;30.0;20.26
320;30.3;20.46
321;30.0;20.10
322;30.1;19.94
323;30.1;20.24
324;30.0;23.52
325;30.1;23.48
326;30.0;20.46
327;30.0;20.26
328;30.1;20.24
329;30.1;20.24
330;30.0;23.48
331;30.0;20.32
332;30.0;20.24
333;30.1;20.34
334;30.1;20.30
335;30.0;23.50
336;30.0;23.66
337;30.1;20.32
338;30.1;20.24
339;30.1;23.40
340;30.1;20.22
341;30.0;20.28
342;30.1;26.56
343;30.1;20.28
344;30.1;20.24
345;30.0;20.22
346;30.0;23.54
347;30.1;23.50
348;30.0;23.48
349;30.0;26.70
350;30.1;20.24
351;30.0;20.26
352;30.1;20.24
353;30.0;20.30
354;30.1;23.50
355;30.1;20.30
356;30.0;20.16
357;30.0;23.48
358;30.1;20.28
359;30.1;23.50
360;30.0;23.48
361;30.1;23.48
362;30.0;20.26
363;30.0;20.32
364;30.1;23.48
365;30.0;23.48
366;30.0;20.32
367;30.1;20.24
368;30.1;20.20
369;30.0;20.00
370;30.0;19.86
371;30.1;20.30
372;30.0;19.84
373;30.1;20.20
374;30.1;20.16
375;30.1;20.20
376;30.1;20.22
377;30.0;20.32
378;30.0;23.50
379;30.1;23.48
380;30.0;26.68
381;30.1;23.68
382;30.1;20.26
383;30.0;20.32
384;30.1;20.24
385;30.0;20.26
386;30.0;20.28
387;30.1;20.28
388;30.1;20.26
389;30.0;20.24
390;30.0;20.24
391;30.2;23.50
392;30.1;20.26
393;30.1;20.32
394;30.1;20.28
395;30.1;20.30
396;30.1;20.30
397;30.1;20.32
398;30.1;23.48
399;30.1;20.24
400;30.0;20.28
401;30.1;20.28
402;30.1;20.26
403;30.1;20.28
404;30.1;19.44
405;30.0;20.22
406;30.1;19.56
407;30.1;20.24
408;30.0;20.18
409;30.1;20.18
410;30.2;23.50
411;30.0;23.56
412;30.1;19.52
413;30.1;20.26
414;30.1;20.24
415;30.1;20.24
416;30.1;18.82
417;30.0;20.30
418;30.0;19.92
419;30.0;20.22
420;30.0;20.30
421;30.0;20.22
422;30.1;20.26
423;30.1;20.22
424;30.1;18.90
425;30.1;23.46
426;30.1;20.32
427;30.2;20.28
428;30.1;20.26
429;30.1;20.26
430;30.0;20.28
431;30.1;20.30
432;30.0;20.32
433;30.1;20.28
434;30.0;26.50
435;30.1;20.56
436;30.0;20.50
437;30.1;20.28
438;30.1;20.28
439;30.1;26.50
440;30.0;20.30
441;30.0;20.28
442;30.1;20.30
443;30.1;20.30
444;30.0;20.28
445;30.1;23.50
446;30.1;20.26
447;30.1;20.30
448;30.1;20.26
449;30.1;20.30
450;30.0;23.50
451;30.0;20.30
452;30.1;20.30
453;30.1;23.48
