Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups;TimeToFirstHit;MaxAlerted;DashesUsed
1;39.3;-0.57;1;7;130;5;4;3;1;21.3;6;3
2;27.0;-3.45;1;5;100;3;3;1;1;14.1;4;2
3;33.3;-2.45;1;5;100;3;3;1;1;26.5;5;1
4;63.2;4.29;1;11;220;8;5;5;0;12.8;5;6
5;33.3;-1.65;1;5;100;6;5;1;1;21.1;5;1
6;26.1;-3.55;1;5;100;4;4;2;1;16.8;5;2
7;23.3;-4.25;1;5;100;3;3;1;1;13.2;3;2
8;44.6;1.65;1;5;100;8;7;2;3;22.4;3;4
9;28.8;-3.45;1;5;100;4;3;1;0;21.6;5;2
10;29.6;-2.35;1;5;100;5;5;0;1;15.4;3;2
11;73.1;9.13;1;8;160;12;10;5;3;27.3;4;6
12;21.7;-5.25;1;5;100;2;2;0;0;11.1;3;2
13;52.9;5.65;1;5;100;15;11;0;4;38.5;3;6
14;26.3;-3.36;1;6;120;4;3;1;2;13.2;4;2
15;38.5;0.65;1;5;100;6;6;1;3;21.2;3;4
16;40.0;-1.25;1;5;100;6;6;0;3;30.7;5;0
17;36.8;-1.55;1;5;100;5;4;0;3;25.6;2;3
18;50.1;3.85;1;7;130;9;9;1;2;18.4;5;6
19;36.5;-0.25;1;5;100;6;5;1;4;17.4;5;3
20;66.9;7.50;1;11;220;11;9;4;4;23.5;5;5
21;54.4;2.74;1;7;130;8;6;1;2;25.6;4;5
22;46.9;2.41;1;9;180;7;6;3;2;13.8;4;5
23;35.5;-1.05;1;5;100;6;5;1;2;17.5;4;2
24;25.9;-3.95;1;5;100;4;3;2;0;17.0;4;2
25;35.8;-1.45;1;5;100;5;4;1;2;24.4;6;3
26;26.0;-4.35;1;5;100;2;2;0;2;13.6;5;2
27;34.0;-1.05;1;5;100;6;6;1;1;19.5;4;3
28;27.0;-2.95;1;5;100;4;4;0;2;15.5;3;1
29;25.2;-4.05;1;5;100;4;3;0;1;13.0;4;2
30;22.7;-3.75;1;5;100;4;4;0;2;13.5;5;1
31;43.0;1.95;1;5;100;7;7;2;3;15.8;5;3
32;30.4;-2.35;1;5;100;5;4;1;2;19.5;4;2
33;44.5;2.14;1;7;130;7;7;2;2;15.3;7;5
34;46.7;1.55;1;5;100;7;6;0;4;28.1;3;3
35;43.0;1.63;1;7;140;8;6;2;3;16.3;2;3
36;35.4;-0.45;1;5;100;6;6;0;4;20.8;2;3
37;28.9;-3.17;1;7;130;4;3;2;0;11.0;6;4
38;86.4;13.67;1;14;280;16;11;7;6;19.6;4;8
39;56.0;5.45;1;7;130;11;10;3;1;35.1;5;5
40;39.8;1.25;1;5;100;8;8;1;3;29.9;4;2
41;45.6;1.75;1;5;100;7;7;1;3;39.2;4;4
42;26.5;-3.55;1;5;100;4;4;1;0;19.6;6;1
43;28.8;-2.85;1;5;100;5;4;1;1;17.7;6;2
44;40.3;0.75;1;5;100;6;6;1;5;24.1;3;3
45;52.3;5.73;1;8;160;10;10;4;3;23.1;3;4
46;44.8;1.14;1;7;130;6;5;3;2;19.2;3;4
47;57.5;6.71;1;9;180;11;10;4;4;13.4;5;6
48;66.3;8.31;1;9;180;11;10;4;5;29.4;4;5
49;55.2;2.04;1;7;130;6;4;1;3;16.6;6;3
50;35.4;-0.78;1;8;160;5;5;3;0;14.1;4;3
51;43.1;1.95;1;5;100;8;8;0;4;28.8;4;4
52;38.9;-1.25;1;5;100;4;4;0;3;21.2;4;2
53;36.3;-1.16;1;6;120;5;4;1;3;18.0;4;4
54;50.6;2.24;1;6;120;7;6;2;2;33.9;5;4
55;66.6;7.62;1;8;160;12;10;2;3;17.0;3;5
56;40.3;0.75;1;5;100;8;7;1;2;20.8;7;3
57;65.6;6.82;1;8;160;9;9;3;1;19.2;4;4
58;72.2;8.19;1;13;250;8;8;6;1;12.8;4;7
59;35.2;-1.16;1;7;130;7;5;3;0;19.2;5;3
60;29.2;-2.85;1;5;100;5;4;1;0;20.2;4;2
61;35.4;-0.55;1;5;100;7;6;1;2;27.2;3;3
62;25.1;-4.55;1;5;100;2;2;0;2;15.3;6;2
63;63.3;7.03;1;7;140;13;9;2;3;11.9;5;6
64;34.4;-1.16;1;7;130;5;5;3;1;19.2;5;3
65;33.2;-1.95;1;5;100;5;4;1;1;19.7;3;3
66;56.4;3.94;1;7;130;10;7;1;2;15.9;3;6
67;32.1;-1.55;1;5;100;6;5;1;2;23.2;3;2
68;25.7;-3.55;1;5;100;4;4;0;1;16.5;4;2
69;43.2;-0.45;1;5;100;5;4;3;0;26.7;4;4
70;22.3;-5.25;1;5;100;3;1;0;2;15.7;5;2
71;25.6;-2.75;1;5;100;6;5;1;1;12.4;3;2
72;36.1;0.55;1;5;100;9;8;1;1;18.2;3;3
73;33.5;-1.05;1;5;100;6;6;2;0;23.7;3;4
74;35.8;-1.95;1;6;120;4;3;2;2;21.6;3;3
75;37.0;-0.76;1;7;130;6;5;2;0;16.1;5;4
76;35.0;-1.46;1;7;130;4;4;3;1;24.3;5;2
77;62.7;7.02;1;10;190;11;10;3;1;14.3;5;8
78;61.7;4.54;1;7;130;8;7;3;0;21.3;5;5
79;29.7;-3.75;1;5;100;4;2;1;1;20.1;6;1
80;35.2;-0.75;1;5;100;6;5;1;4;24.7;3;4
81;44.2;1.54;1;7;130;8;7;1;1;17.3;5;5
82;61.8;5.55;1;5;100;10;9;1;2;28.1;3;4
83;67.9;8.21;1;9;180;14;10;3;4;14.7;3;8
84;24.3;-4.25;1;5;100;4;3;2;1;16.8;4;2
85;50.2;2.92;1;8;160;7;6;2;3;14.2;4;1
86;62.6;6.91;1;10;190;11;9;4;3;16.0;5;5
87;44.4;1.55;1;6;120;6;5;2;5;16.9;3;5
88;41.0;0.24;1;6;120;6;5;2;2;22.4;3;4
89;26.0;-4.45;1;5;100;2;2;1;0;15.8;4;2
90;29.0;-2.85;1;5;100;4;4;2;0;19.2;3;2
91;36.3;-0.95;1;5;100;5;5;1;1;14.0;6;3
92;37.4;0.05;1;5;100;7;7;0;1;27.8;4;3
93;58.7;4.94;1;7;130;10;7;1;5;21.4;4;6
94;64.0;6.50;1;11;220;8;8;5;1;13.5;3;5
95;29.4;-3.45;1;5;100;4;3;1;1;14.3;5;2
96;50.4;1.72;1;8;160;6;4;3;1;18.2;6;5
97;34.3;-1.45;1;5;100;6;5;1;0;16.2;3;3
98;32.6;-1.55;1;5;100;6;5;0;3;12.3;2;3
99;26.6;-3.35;1;5;100;5;4;1;0;15.5;4;2
100;38.0;-0.45;1;5;100;5;5;1;4;23.0;4;3
