Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups;TimeToFirstHit;MaxAlerted;DashesUsed
1;29.6;-3.85;1;5;100;2;2;2;1;21.8;4;2
2;36.9;-1.06;1;7;130;5;4;2;1;21.0;3;3
3;35.4;-0.95;1;5;100;5;5;0;4;22.8;3;3
4;31.5;-2.65;1;5;100;4;3;1;1;22.2;3;2
5;33.1;-0.95;1;5;100;7;6;1;2;23.5;5;4
6;50.0;3.34;1;6;120;9;8;2;2;25.0;4;4
7;43.0;2.84;1;6;120;12;9;2;2;20.1;3;5
8;21.4;-5.15;1;5;100;3;2;1;1;16.0;6;1
9;32.2;-1.25;1;5;100;6;5;2;2;21.5;4;3
10;44.0;0.95;1;5;100;7;6;1;2;32.2;6;3
11;34.3;-2.65;1;5;100;4;4;3;0;26.8;3;2
12;68.7;8.14;1;7;130;14;11;2;3;16.9;4;6
13;32.6;-1.65;1;5;100;6;5;0;2;12.6;4;4
14;29.6;-2.56;1;7;130;4;4;1;0;15.1;5;3
15;72.4;11.11;1;10;190;18;14;5;5;19.5;5;7
16;36.4;0.75;1;5;100;10;8;0;3;21.7;3;4
17;77.3;11.30;1;11;210;14;12;6;2;25.8;4;6
18;30.8;-1.95;1;5;100;4;4;1;3;23.2;5;2
19;82.4;13.14;1;7;130;17;15;3;4;26.7;4;9
20;50.7;5.05;1;5;100;12;11;0;3;13.7;2;3
21;28.7;-2.15;1;5;100;6;5;1;1;16.3;4;2
22;52.5;4.84;1;7;130;11;10;2;1;18.9;4;3
23;42.3;2.45;1;5;100;9;9;0;2;34.3;4;3
24;24.0;-2.75;1;5;100;6;6;0;0;14.9;5;1
25;69.1;10.12;1;8;160;16;13;2;4;24.2;4;5
26;70.7;9.52;1;8;160;14;12;3;4;31.0;3;9
27;52.1;4.35;1;5;100;10;9;1;2;28.3;4;4
28;40.5;0.94;1;7;130;8;6;1;4;23.1;3;2
29;61.0;6.34;1;7;130;13;9;3;4;30.4;5;3
30;55.6;5.34;1;7;130;11;10;1;2;23.8;4;5
31;29.3;-2.85;1;5;100;5;4;2;0;22.5;5;2
32;40.9;1.75;1;5;100;9;8;2;2;31.5;4;1
33;87.4;15.81;1;10;190;19;16;4;8;36.7;5;7
34;52.7;6.05;1;5;100;13;12;0;3;15.6;3;4
35;53.4;4.54;1;7;130;11;9;1;1;14.9;3;4
36;73.5;9.13;1;8;160;14;10;4;2;19.5;5;5
37;72.1;10.92;1;8;160;15;13;3;5;18.7;4;4
38;101.2;20.42;1;8;160;22;21;2;7;24.4;4;6
39;39.5;-0.65;1;5;100;6;5;1;2;30.3;4;2
40;60.2;5.62;1;8;160;11;9;2;2;22.2;4;2
41;55.9;4.55;1;5;100;10;8;0;4;19.7;3;4
42;52.2;6.05;1;5;100;14;13;0;2;41.3;3;4
43;90.9;17.50;1;11;210;19;18;4;6;25.4;5;5
44;78.0;12.34;1;7;130;17;15;2;5;39.4;3;4
45;57.7;7.22;1;8;160;16;11;3;4;14.5;3;4
46;93.1;17.12;1;9;170;20;18;4;6;26.4;6;6
