Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups;TimeToFirstHit;MaxAlerted;DashesUsed
1;44.6;2.75;1;5;100;10;9;1;1;25.6;4;3
2;32.8;-2.75;1;5;100;2;2;0;3;22.3;3;1
3;50.0;3.24;1;7;130;10;8;2;2;25.3;3;5
4;36.4;-1.85;1;5;100;4;4;2;2;29.6;6;2
5;39.9;-0.95;1;5;100;6;4;0;3;20.8;4;2
6;26.8;-3.85;1;5;100;3;3;1;0;12.8;4;2
7;48.1;2.65;1;7;130;7;7;3;2;31.1;4;5
8;35.1;-1.45;1;5;100;5;4;1;2;20.8;5;4
9;47.1;1.34;1;7;140;7;5;2;3;14.9;6;3
10;43.5;-2.65;1;5;100;3;3;1;2;35.1;4;2
11;44.2;1.95;1;5;100;9;7;1;4;33.1;4;4
12;37.6;-1.75;1;5;100;4;3;0;3;31.1;5;2
13;49.7;2.52;1;8;160;7;6;3;0;9.6;4;4
14;45.2;2.35;1;5;100;9;8;1;1;30.6;2;4
15;75.5;13.41;1;11;200;16;16;6;3;15.8;6;7
16;61.6;7.31;1;9;180;11;10;4;2;16.0;4;7
17;61.5;7.35;1;5;100;14;11;1;6;52.1;5;5
18;58.1;6.11;1;10;190;11;9;5;1;26.2;4;6
19;30.9;-3.45;1;5;100;3;2;1;1;15.8;4;2
20;18.3;-5.65;1;5;100;2;2;0;0;11.6;3;1
21;39.5;1.05;1;5;100;6;6;0;5;20.4;3;3
22;33.6;-0.86;1;6;120;5;5;2;2;17.0;4;4
23;61.2;8.21;1;10;200;13;11;4;4;12.3;3;6
24;38.1;0.24;1;7;130;5;5;1;4;21.5;3;3
25;37.4;0.05;1;5;100;7;6;1;2;21.6;3;3
26;41.0;0.14;1;7;140;5;5;3;1;22.3;3;4
27;40.4;0.55;1;5;100;6;6;1;2;30.1;4;4
28;46.6;1.65;1;5;100;7;6;1;2;24.0;6;4
29;42.6;1.25;1;5;100;7;6;1;3;33.0;4;6
30;24.3;-4.55;1;5;100;2;2;0;1;15.2;5;2
31;33.0;-0.85;1;5;100;6;5;0;3;22.1;3;2
32;47.3;2.35;1;7;130;8;7;1;2;19.6;3;5
33;51.0;3.54;1;6;120;10;7;2;2;14.0;4;4
34;24.7;-3.75;1;5;100;4;3;1;1;15.2;3;2
35;38.6;0.04;1;7;130;5;5;1;2;12.1;2;5
36;30.8;-1.75;1;5;100;4;4;2;2;16.0;3;2
37;62.2;7.04;1;6;120;12;10;2;2;42.7;6;7
38;32.1;-3.05;1;6;120;2;1;2;3;20.8;4;3
39;36.8;-0.85;1;5;100;6;5;2;0;18.9;2;3
40;32.6;-1.55;1;5;100;6;5;0;1;16.7;3;3
41;19.6;-5.15;1;5;100;2;2;1;1;9.8;3;2
42;33.8;-2.05;1;5;100;4;4;2;1;20.6;5;4
43;37.5;0.55;1;5;100;7;7;1;2;27.9;3;3
44;50.2;4.14;1;6;120;10;9;1;2;18.8;5;5
45;42.6;0.05;1;5;100;4;4;1;3;34.3;3;2
46;57.7;6.82;1;8;160;11;10;3;4;23.9;4;5
47;44.8;2.44;1;7;130;7;7;1;4;15.9;4;3
48;43.8;1.85;1;7;130;6;6;3;3;31.6;5;4
49;29.8;-2.35;1;5;100;4;4;1;1;18.8;5;3
50;51.7;5.25;1;5;100;10;10;0;3;20.1;4;5
51;35.9;-0.65;1;5;100;6;5;0;2;25.9;3;3
52;40.1;-0.45;1;5;100;4;4;2;2;30.7;5;3
53;32.6;-1.65;1;5;100;6;5;1;1;16.2;3;3
54;38.4;-0.36;1;7;130;5;5;4;0;21.1;4;4
55;32.0;-2.97;1;7;130;2;2;3;1;17.9;5;2
56;34.4;-0.28;1;8;160;6;6;2;3;17.4;4;3
57;36.6;0.95;1;5;100;8;8;2;1;18.7;4;4
58;33.9;-2.15;1;5;100;3;3;0;2;15.4;3;3
59;66.4;6.93;1;9;170;7;7;3;4;25.4;7;4
60;43.6;1.95;1;5;100;7;7;1;3;32.4;6;4
61;45.3;1.55;1;5;100;6;6;2;3;35.4;3;2
62;47.4;2.32;1;10;190;8;6;5;0;18.1;4;4
63;53.1;4.25;1;7;130;9;8;1;2;18.2;6;4
64;62.4;7.54;1;6;120;11;11;3;2;21.9;3;8
65;32.7;-2.37;1;7;130;4;3;1;0;17.1;3;3
66;31.2;-2.85;1;5;100;4;3;1;2;19.9;5;2
67;33.6;-1.16;1;7;130;6;5;2;0;14.7;3;3
68;36.3;-1.35;1;5;100;6;4;1;0;14.5;3;3
69;46.4;3.34;1;7;130;11;8;2;4;19.7;3;4
