Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups;TimeToFirstHit;MaxAlerted;DashesUsed
1;59.7;6.75;1;7;130;11;11;3;1;23.3;3;5
2;36.8;-3.45;1;5;100;2;1;1;1;25.0;4;3
3;52.8;3.24;1;6;120;8;7;2;1;26.8;4;3
4;30.7;-1.65;1;5;100;5;5;1;1;15.3;4;3
5;36.4;-1.45;1;5;100;4;4;0;2;26.2;3;2
6;35.2;-1.85;1;5;100;4;4;1;2;25.3;5;2
7;41.7;0.55;1;5;100;8;6;0;2;22.3;4;3
8;46.5;3.24;1;6;120;9;9;3;3;20.9;4;4
9;58.0;6.45;1;5;100;12;11;2;3;31.9;3;5
10;58.2;7.92;1;8;160;14;12;4;3;32.8;5;7
11;57.0;5.92;1;8;160;11;9;3;4;36.4;5;4
12;35.9;-2.05;1;5;100;5;3;2;1;26.8;6;3
13;55.9;5.74;1;6;120;10;10;2;2;20.5;4;5
14;40.7;1.85;1;5;100;9;8;1;2;21.4;3;3
15;36.7;-0.05;1;5;100;6;6;2;3;24.8;4;3
16;45.3;0.85;1;5;100;7;6;1;3;35.5;3;3
17;36.2;-0.55;1;5;100;8;6;1;2;21.2;3;3
18;41.3;0.64;1;7;130;8;6;3;0;19.0;3;3
19;40.0;0.75;1;5;100;8;7;1;1;28.3;4;2
20;57.7;7.33;1;7;140;12;12;4;2;43.3;3;4
21;52.8;3.44;1;6;120;8;7;4;1;24.9;3;3
22;43.8;1.15;1;5;100;8;7;4;0;35.2;3;2
23;52.6;4.34;1;6;120;11;9;1;2;24.9;3;4
24;60.6;6.45;1;7;130;10;10;2;3;19.1;4;4
25;66.6;9.74;1;6;120;14;14;3;2;25.8;4;7
26;38.9;0.84;1;8;160;8;6;2;1;16.9;5;4
27;61.3;7.82;1;8;160;11;11;4;3;22.5;4;6
28;67.7;8.91;1;10;190;12;11;4;2;23.3;5;7
29;40.3;1.12;1;8;160;8;6;3;2;19.3;3;3
30;60.8;5.42;1;9;180;8;8;5;0;30.3;4;5
31;52.7;6.02;1;8;160;12;10;3;4;17.3;4;4
32;51.5;2.45;1;5;100;8;8;1;0;25.1;5;4
33;49.3;2.45;1;7;130;8;7;2;0;18.5;3;5
34;35.4;-0.65;1;5;100;7;6;1;0;15.3;4;0
35;40.7;0.75;1;5;100;7;7;2;0;31.1;4;2
36;85.2;16.24;1;7;130;20;19;1;4;34.8;3;5
37;41.6;1.34;1;6;120;8;7;1;0;15.0;3;4
38;79.7;10.34;1;7;130;11;11;2;2;34.9;6;7
39;70.6;11.42;1;8;160;17;14;2;4;14.7;3;5
40;48.7;4.84;1;6;120;11;11;2;3;12.3;4;3
41;49.3;2.74;1;7;130;8;7;1;1;23.3;5;3
42;59.3;4.84;1;7;130;8;8;2;0;45.9;6;3
43;61.8;6.02;1;8;160;10;8;3;3;31.1;6;5
44;68.0;10.64;1;7;130;18;14;3;4;20.5;4;8
45;41.1;0.45;1;5;100;8;6;1;0;31.5;5;2
46;83.0;13.75;1;5;100;17;16;4;4;68.0;3;4
47;47.6;2.55;1;5;100;9;8;3;1;35.0;3;3
48;51.8;4.55;1;5;100;11;10;2;1;29.3;3;4
49;85.0;16.10;1;11;220;20;17;4;4;20.0;5;5
50;55.4;5.32;1;8;160;9;9;4;2;33.4;3;3
51;53.4;5.85;1;5;100;12;11;2;3;36.3;4;3
52;46.2;3.55;1;5;100;11;10;1;1;17.4;4;4
53;62.8;7.34;1;6;120;11;11;2;1;22.1;7;5
54;69.1;10.02;1;8;160;13;13;6;2;40.7;4;4
55;103.1;18.62;1;8;160;18;18;3;6;35.7;4;6
56;81.7;18.24;1;6;120;24;23;2;6;19.3;4;8
57;68.0;9.83;1;8;160;13;13;4;4;34.8;4;6
58;67.0;10.85;1;5;100;16;16;1;4;27.2;3;4
59;55.0;3.95;1;5;100;8;8;1;0;45.9;3;4
60;36.0;-0.55;1;5;100;8;6;1;0;18.1;4;2
61;55.3;6.64;1;7;130;11;11;1;4;40.2;4;4
62;68.6;11.79;1;11;220;15;15;5;3;24.3;6;7
63;43.8;2.34;1;7;130;8;8;1;1;13.9;4;3
64;70.9;12.04;1;7;130;16;15;1;5;20.8;3;6
65;104.7;21.03;1;10;190;20;20;4;4;26.9;5;6
66;57.7;4.35;1;5;100;8;8;2;1;43.1;6;7
67;55.8;5.92;1;8;160;11;10;3;1;19.8;6;3
68;37.7;0.15;1;5;100;7;6;2;1;25.4;4;1
69;47.7;2.15;1;5;100;8;7;0;1;32.9;4;2
70;83.1;14.35;1;7;130;16;16;3;5;61.9;4;5
71;106.3;20.17;1;13;260;18;16;8;6;24.2;6;9
72;97.6;19.23;1;8;160;20;20;6;4;55.0;5;7
73;54.1;4.22;1;8;160;8;8;3;1;27.3;4;4
74;54.6;4.85;1;5;100;11;9;1;4;41.7;3;4
75;48.2;4.74;1;6;120;11;11;1;1;19.4;3;2
76;63.3;8.05;1;5;100;12;11;1;4;30.4;4;1
77;62.0;9.43;1;9;170;16;15;3;3;13.3;6;4
78;58.7;7.62;1;8;160;13;12;4;2;20.9;6;6
79;78.4;11.94;1;7;130;14;14;4;4;34.5;4;6
80;45.5;2.53;1;8;150;8;7;3;1;13.9;5;4
81;63.4;7.74;1;7;130;14;11;4;3;38.2;5;4
