Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups;TimeToFirstHit;MaxAlerted;DashesUsed
1;43.9;-4.35;1;5;100;3;3;0;2;36.0;3;1
2;58.4;-1.65;1;5;100;4;4;1;2;50.0;5;3
3;99.3;15.22;1;9;170;16;15;5;6;17.6;4;9
4;58.4;5.02;1;8;160;9;8;4;2;15.5;2;5
5;57.9;2.12;1;9;180;4;3;3;5;23.0;5;2
6;57.4;3.93;1;8;150;7;7;2;6;13.1;5;5
7;55.8;1.44;1;7;130;4;3;3;4;21.6;5;3
8;40.7;-2.45;1;5;100;4;2;2;4;29.7;3;4
9;28.1;-4.65;1;5;100;2;1;0;5;17.4;3;2
10;57.2;5.43;1;7;140;7;7;4;4;23.9;3;4
11;120.1;35.51;0;10;190;21;19;9;11;20.1;2;12
12;54.2;2.54;1;6;120;6;5;3;2;19.4;3;3
13;120.1;34.02;0;10;200;22;20;7;8;17.0;3;12
14;95.9;15.09;1;11;220;14;13;8;3;31.8;4;6
15;84.2;12.75;1;5;100;15;13;1;8;43.4;3;7
16;64.3;6.95;1;5;100;10;10;2;6;54.0;4;5
17;33.1;-3.05;1;5;100;3;2;2;2;17.1;2;2
18;42.1;0.05;1;5;100;5;4;1;5;29.6;3;3
19;69.3;8.34;1;7;130;10;9;1;6;20.1;2;7
20;52.0;2.32;1;9;180;5;4;4;2;13.9;2;3
21;46.6;0.74;1;7;130;5;4;1;1;25.1;2;3
22;41.4;-0.36;1;7;130;5;4;1;3;24.5;4;3
23;39.4;-1.75;1;5;100;4;3;2;0;20.8;3;3
24;120.1;33.32;0;8;160;21;20;7;10;27.5;2;13
25;86.8;12.14;1;6;120;13;12;4;6;65.8;5;6
26;89.9;14.04;1;6;120;14;13;3;7;41.4;2;5
27;92.6;12.73;1;7;140;13;12;6;5;25.0;2;7
28;107.5;19.33;1;8;150;17;15;9;8;32.9;6;9
29;35.3;-2.25;1;5;100;4;3;2;2;23.8;4;2
30;68.0;7.51;1;11;220;10;8;5;3;34.7;4;7
31;64.8;7.03;1;7;140;10;9;3;4;31.2;3;4
32;50.1;2.84;1;7;140;9;7;5;2;32.7;3;3
33;54.0;3.73;1;8;150;8;7;4;0;18.5;2;5
34;95.3;15.23;1;7;140;16;13;5;5;24.8;3;7
35;91.0;13.32;1;9;170;14;12;8;3;17.7;3;9
36;97.2;16.01;1;9;180;15;15;4;6;20.3;3;10
37;43.0;-0.07;1;7;140;6;4;2;2;21.9;3;4
38;29.5;-4.16;1;6;120;1;1;2;2;12.5;2;2
39;53.2;0.15;1;5;100;4;3;2;4;43.9;5;3
40;64.4;5.01;1;11;220;9;8;7;2;20.3;5;4
41;96.0;14.09;1;11;220;13;12;7;6;23.8;4;8
42;66.9;7.24;1;7;130;10;10;3;2;33.2;2;4
43;40.2;-0.35;1;5;100;7;5;0;4;18.1;4;3
44;73.0;8.34;1;7;130;10;10;2;5;24.1;2;7
45;77.0;10.52;1;8;160;13;11;5;4;27.3;4;5
46;111.1;20.53;1;9;160;18;17;7;9;52.9;4;8
47;50.7;1.64;1;7;130;5;5;2;6;30.2;4;4
48;82.2;10.95;1;5;100;14;11;6;5;69.0;3;5
49;32.7;-2.65;1;5;100;3;3;1;2;22.0;3;2
50;36.1;-2.56;1;6;120;2;2;2;2;24.3;5;2
51;44.3;-0.25;1;5;100;5;4;1;4;31.9;4;2
52;66.0;5.53;1;8;150;8;8;5;2;18.6;2;6
53;105.5;19.61;1;9;180;20;17;4;9;23.9;4;9
54;44.5;0.25;1;5;100;6;4;2;4;33.3;2;5
55;50.7;1.75;1;7;130;5;5;2;5;36.9;4;3
56;42.6;-1.45;1;5;100;5;3;2;0;30.7;5;3
57;120.1;32.73;0;7;140;18;18;6;9;26.6;3;10
58;54.0;4.25;1;5;100;9;7;2;5;41.9;4;4
59;43.4;0.25;1;5;100;5;4;0;4;27.7;3;3
60;61.6;6.81;1;9;180;10;9;3;4;9.0;3;6
61;46.3;-0.75;1;5;100;3;2;3;2;35.9;7;2
62;69.8;8.44;1;6;120;10;9;1;8;26.1;3;4
63;120.1;35.40;0;11;220;20;19;7;10;31.4;3;11
64;59.9;5.53;1;7;140;8;7;4;6;32.6;2;5
65;54.1;3.45;1;5;100;6;6;3;2;43.9;3;4
66;45.1;-0.65;1;5;100;6;3;3;1;28.5;3;3
67;97.2;16.79;1;12;230;16;14;5;4;25.8;3;8
68;120.1;35.13;0;7;140;24;22;3;8;46.3;2;9
69;101.2;18.30;1;11;210;16;15;5;8;32.8;3;8
70;120.1;35.17;0;13;260;22;19;10;9;29.3;4;11
71;45.5;1.75;1;7;130;7;5;1;4;11.0;3;4
72;58.9;4.95;1;5;100;8;8;1;3;46.2;3;5
73;120.0;35.43;0;7;140;22;21;7;8;50.0;2;7
74;103.2;19.98;1;12;240;18;16;6;7;15.3;2;10
75;116.4;22.75;1;15;300;19;16;10;5;26.9;4;13
76;64.0;7.64;1;6;120;11;9;3;6;14.0;4;5
