Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups;TimeToFirstHit;MaxAlerted;DashesUsed
1;49.5;1.75;1;5;100;10;7;2;1;31.5;3;4
2;90.2;14.18;1;13;250;14;13;5;6;15.4;3;8
3;112.4;21.11;1;11;210;19;19;6;8;16.7;4;6
4;76.7;9.83;1;8;150;12;11;5;3;28.7;4;6
5;62.0;4.45;1;5;100;10;7;4;3;53.0;3;4
6;120.1;33.48;0;2;40;20;20;7;6;72.2;2;8
7;116.1;20.90;1;10;200;18;16;6;10;42.1;3;7
8;81.3;11.64;1;6;120;15;12;3;6;27.8;3;5
9;103.2;18.58;1;13;260;16;15;10;9;37.5;4;11
10;37.4;-1.85;1;5;100;5;2;2;5;29.0;5;2
11;120.1;35.44;0;6;120;22;21;8;13;35.2;2;9
12;27.0;-4.45;1;5;100;1;1;1;2;18.9;3;2
13;87.6;13.33;1;8;150;16;12;6;7;33.6;5;7
14;77.3;10.25;1;5;100;13;10;2;7;39.2;3;6
15;80.4;10.92;1;8;160;13;11;4;6;34.0;2;5
16;79.3;12.12;1;8;160;13;12;5;6;24.3;4;6
17;63.9;6.95;1;5;100;11;10;2;4;45.2;4;5
18;120.1;33.35;0;6;120;21;19;5;9;64.5;2;8
19;51.9;2.05;1;5;100;8;6;4;0;41.9;3;4
20;104.9;18.35;1;5;100;20;17;4;6;70.1;3;5
21;99.3;16.90;1;11;220;17;15;6;4;41.4;4;7
22;120.1;33.56;0;4;80;25;20;6;8;55.8;3;8
23;120.0;34.73;0;7;140;22;20;9;10;20.9;3;10
24;120.1;34.08;0;2;40;23;21;11;12;25.1;2;7
25;102.5;16.55;1;5;100;17;15;9;8;82.9;3;6
26;65.8;5.34;1;7;130;8;8;2;1;26.9;2;6
27;108.2;19.39;1;11;220;18;17;7;7;29.8;3;8
28;112.7;20.82;1;8;160;20;18;8;9;38.2;3;4
29;120.1;32.46;0;4;80;21;19;5;9;34.8;2;5
30;34.7;-2.65;1;5;100;3;3;2;1;27.1;3;1
31;120.1;33.28;0;2;40;23;20;7;9;42.1;3;6
32;120.1;33.35;0;5;100;22;20;10;10;57.6;3;4
33;120.1;35.34;0;6;120;23;22;10;11;55.0;3;7
34;120.0;33.68;0;2;40;24;20;9;9;36.4;3;5
35;88.8;12.54;1;7;130;15;12;4;3;52.1;4;5
36;120.1;35.63;0;7;140;25;21;11;10;19.9;3;7
37;120.1;33.04;0;6;120;24;19;10;10;46.6;2;5
38;61.8;6.24;1;6;120;9;8;6;5;33.8;4;3
39;57.7;3.74;1;6;120;8;7;4;1;23.7;4;4
40;120.0;35.11;0;9;180;24;21;7;9;45.6;3;7
41;120.1;33.84;0;6;120;23;22;7;9;65.4;4;5
42;120.1;33.38;0;13;260;21;19;9;8;37.3;3;7
43;120.1;34.05;0;5;100;21;20;7;8;20.1;3;4
44;110.3;19.95;1;5;100;22;18;5;12;87.8;4;8
45;101.2;19.37;1;15;290;20;17;10;4;11.0;4;6
46;120.1;34.93;0;7;140;25;21;7;9;33.1;3;8
47;97.9;15.85;1;5;100;15;15;5;5;75.1;2;6
48;120.0;33.75;0;5;100;19;18;4;17;60.4;5;5
49;120.0;35.73;0;7;140;22;21;8;13;45.6;4;6
50;120.1;32.96;0;4;80;21;19;7;13;88.0;2;4
51;120.1;34.64;0;6;120;22;22;5;9;33.0;4;7
52;120.2;34.15;0;5;100;23;20;9;9;47.1;2;8
53;120.0;34.17;0;3;60;21;20;8;14;53.1;3;4
54;41.0;-0.35;1;5;100;6;5;1;2;20.9;3;1
55;120.0;34.34;0;6;120;24;21;5;10;16.6;3;3
56;77.7;10.45;1;5;100;14;12;1;5;68.3;3;3
57;120.1;33.48;0;2;40;20;20;13;9;41.6;2;4
58;80.1;10.52;1;8;160;14;11;4;3;37.7;2;5
59;81.6;9.43;1;8;150;11;9;8;1;46.5;4;7
60;103.4;17.95;1;5;100;17;17;7;6;90.3;2;7
61;120.1;34.85;0;5;100;22;21;8;11;22.9;2;3
62;120.1;34.63;0;7;140;22;21;8;10;24.6;3;6
63;120.1;35.85;0;5;100;23;22;11;12;14.6;3;7
64;120.0;33.58;0;2;40;19;19;11;10;78.5;4;5
65;91.3;15.71;1;9;180;18;14;7;11;24.4;3;3
66;62.2;6.45;1;5;100;12;10;3;5;52.0;3;3
67;120.1;35.04;0;7;140;21;20;8;10;21.1;3;4
68;120.1;35.06;0;4;80;29;22;9;14;44.9;3;4
69;92.8;15.42;1;9;170;17;14;6;7;29.3;3;5
70;120.1;34.33;0;7;140;25;21;8;12;47.3;3;5
71;120.1;33.57;0;3;60;21;20;8;12;72.1;3;4
72;120.1;34.90;0;0;0;23;22;10;11;-1.0;2;4
73;120.0;35.36;0;4;80;22;20;12;16;48.5;3;3
74;120.1;36.15;0;5;100;23;22;7;12;42.3;3;3
75;105.6;19.42;1;9;170;18;18;6;5;38.4;4;6
76;120.0;35.31;0;9;180;26;21;6;8;25.7;3;6
77;120.1;34.86;0;4;80;25;21;12;14;76.4;3;9
78;120.0;35.17;0;3;60;27;21;10;10;15.7;2;6
79;120.0;34.48;0;2;40;23;20;7;16;38.0;2;4
80;120.1;35.56;0;4;80;23;21;7;17;15.1;3;5
81;120.1;35.14;0;6;120;26;21;8;12;13.9;2;4
82;120.1;33.79;0;1;20;20;20;9;15;64.5;4;4
83;120.0;33.29;0;1;20;23;21;4;9;51.7;2;5
84;120.1;33.77;0;3;60;22;21;12;8;50.2;3;4
85;120.1;33.87;0;3;60;20;20;10;11;31.2;3;4
86;120.1;35.48;0;2;40;22;21;6;13;61.7;2;9
87;120.0;35.36;0;4;80;24;21;6;12;61.4;2;2
88;120.1;34.97;0;3;60;24;21;8;14;25.9;2;4
89;120.0;35.38;0;2;40;25;22;10;14;40.0;2;5
90;120.1;35.54;0;6;120;25;21;6;15;45.3;4;3
91;120.1;34.45;0;5;100;22;21;8;10;52.2;5;1
92;120.0;34.80;0;0;0;25;22;7;13;-1.0;2;3
93;120.1;33.54;0;6;120;22;20;12;11;47.3;3;5
94;119.9;22.41;1;9;180;22;19;8;7;36.6;6;6
95;120.1;34.24;0;6;120;22;19;13;11;18.0;3;5
96;120.0;31.97;0;3;60;19;19;8;8;24.6;3;2
97;120.2;34.77;0;3;60;22;21;5;12;40.0;3;5
98;120.2;32.48;0;2;40;21;19;14;8;50.3;3;3
99;120.0;34.59;0;1;20;21;21;14;12;89.5;2;0
100;120.0;29.84;0;6;120;18;15;6;9;91.0;7;5
101;120.1;35.46;0;4;80;23;21;8;17;20.4;2;3
102;120.2;34.35;0;5;100;21;19;6;19;71.1;3;3
103;120.1;34.08;0;2;40;20;20;13;14;17.0;3;3
104;120.1;34.47;0;3;60;23;21;16;9;31.3;2;6
105;120.1;33.17;0;3;60;19;18;10;13;52.2;3;4
106;120.0;33.68;0;2;40;21;19;10;16;40.1;2;2
107;120.1;34.86;0;4;80;24;22;8;13;39.9;2;2
108;120.1;33.00;0;0;0;22;19;12;16;-1.0;3;1
109;120.1;35.67;0;3;60;28;22;11;15;20.0;2;4
110;120.1;35.04;0;6;120;29;22;13;10;16.3;3;4
111;120.1;33.58;0;2;40;23;21;9;10;28.0;2;1
112;120.1;36.05;0;5;100;23;22;11;16;46.1;3;2
113;120.0;36.07;0;3;60;29;23;11;13;18.9;2;1
114;120.1;35.38;0;2;40;24;23;7;12;27.5;2;2
115;120.1;33.68;0;2;40;21;19;9;13;77.8;3;0
116;120.1;33.66;0;4;80;24;21;8;7;68.2;2;3
117;120.1;34.67;0;3;60;27;20;13;12;30.6;3;1
118;120.1;34.37;0;3;60;23;21;10;12;51.8;4;3
119;120.1;34.99;0;1;20;23;22;11;12;41.4;3;4
120;120.1;34.98;0;2;40;24;22;11;13;51.5;2;5
121;120.2;35.18;0;2;40;23;22;13;12;66.0;3;2
122;120.1;34.57;0;15;300;21;20;11;7;65.8;5;7
123;120.1;35.00;0;10;200;23;22;10;12;33.6;3;3
124;70.9;8.85;1;5;100;12;11;4;5;61.4;3;6
125;120.1;35.42;0;8;160;23;21;8;10;40.6;3;5
126;120.1;32.97;0;3;60;18;18;14;13;12.6;2;2
127;120.1;34.84;0;6;120;24;21;10;16;33.8;3;0
128;120.1;34.67;0;3;60;22;20;15;11;32.5;2;3
129;120.0;35.37;0;3;60;22;21;13;11;10.7;2;1
130;120.1;35.76;0;4;80;22;22;14;10;43.6;2;4
131;119.6;21.13;1;8;150;19;17;13;7;84.2;4;2
132;120.1;35.38;0;2;40;22;22;7;12;26.5;2;3
133;120.1;31.89;0;1;20;17;17;11;14;42.7;2;4
134;120.0;32.47;0;3;60;22;19;12;9;110.5;4;1
135;120.1;34.62;0;9;180;24;20;14;7;34.5;4;3
136;120.1;33.84;0;6;120;20;19;12;9;22.7;4;4
137;120.0;32.08;0;2;40;20;20;4;10;12.6;2;7
138;120.1;33.58;0;2;40;20;20;9;14;54.7;2;1
139;120.2;33.97;0;3;60;22;21;8;7;46.0;2;3
140;120.1;34.20;0;0;0;22;21;12;12;-1.0;3;0
141;120.2;33.70;0;0;0;23;22;8;11;-1.0;2;3
142;120.0;33.40;0;0;0;22;21;10;14;-1.0;2;1
143;120.1;34.40;0;0;0;21;21;9;19;-1.0;2;2
144;120.0;32.98;0;2;40;21;20;5;9;77.1;3;0
145;120.0;33.48;0;2;40;20;19;12;11;40.2;3;2
146;120.1;34.67;0;3;60;21;20;12;15;18.6;3;5
147;120.1;36.27;0;3;60;24;22;11;14;30.4;3;3
148;120.0;33.09;0;1;20;20;20;13;7;104.9;2;2
149;120.1;33.57;0;3;60;21;20;6;11;17.6;2;2
150;120.1;34.59;0;1;20;22;22;5;11;23.7;3;4
151;120.1;33.09;0;1;20;20;20;10;12;29.5;2;5
152;120.0;36.00;0;0;0;22;22;7;18;-1.0;1;1
153;120.1;36.07;0;3;60;23;22;12;13;73.9;3;0
154;120.1;35.39;0;1;20;22;22;10;14;67.4;3;1
155;120.1;35.37;0;3;60;23;21;8;16;30.1;3;2
156;120.0;35.25;0;5;100;23;20;9;17;31.7;3;2
157;120.0;34.28;0;2;40;22;21;12;12;31.3;2;2
158;62.2;6.25;1;5;100;11;8;2;11;52.9;3;2
