Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups;TimeToFirstHit;MaxAlerted;DashesUsed
1;27.8;-4.05;1;5;100;3;2;1;1;18.1;3;2
2;21.8;-3.25;1;5;100;6;6;1;0;14.5;6;2
3;26.3;-4.05;1;5;100;3;3;0;1;18.0;4;2
4;24.9;-3.35;1;5;100;5;5;0;1;12.1;4;3
5;43.2;0.64;1;7;130;6;5;2;2;23.6;4;4
6;33.6;-1.35;1;5;100;6;6;0;1;16.5;4;3
7;57.0;5.04;1;7;130;12;9;1;3;16.0;5;6
8;37.1;-0.45;1;5;100;7;6;1;3;27.6;3;3
9;34.1;-2.45;1;5;100;4;3;1;1;26.2;6;2
10;37.1;0.15;1;5;100;8;7;1;2;19.8;3;3
11;28.0;-3.25;1;5;100;5;4;1;1;18.3;5;2
12;27.2;-3.95;1;5;100;3;3;0;1;13.6;3;3
13;30.3;-2.35;1;5;100;5;5;0;2;18.3;3;3
14;25.3;-4.65;1;5;100;2;2;0;1;15.7;5;2
15;21.6;-5.85;1;5;100;2;1;0;0;13.1;4;2
16;29.4;-2.25;1;5;100;5;5;0;2;15.8;2;3
17;25.2;-4.75;1;5;100;3;2;0;1;16.5;4;1
18;38.4;1.25;1;5;100;10;9;0;2;20.4;4;4
19;33.5;-2.35;1;5;100;6;4;1;0;10.8;3;4
20;37.1;-1.95;1;5;100;4;3;1;1;27.8;7;2
21;45.5;0.45;1;7;130;5;5;2;1;24.5;4;4
22;23.9;-4.45;1;5;100;5;3;0;1;9.6;4;3
23;29.8;-3.96;1;7;130;3;3;2;0;18.5;6;2
24;28.1;-5.35;1;5;100;1;1;2;1;19.7;6;1
25;29.0;-4.15;1;5;100;4;2;1;0;16.8;4;2
26;45.0;1.63;1;7;140;8;7;2;1;12.2;4;5
27;53.0;4.84;1;7;130;12;10;2;2;28.1;4;6
28;20.6;-5.05;1;5;100;3;3;0;1;12.0;4;1
29;36.1;-0.55;1;5;100;6;6;0;2;12.9;2;3
30;31.9;-1.25;1;5;100;8;7;1;0;21.1;5;4
31;34.8;-2.35;1;5;100;3;3;1;1;27.2;5;2
32;37.0;-1.25;1;5;100;4;4;1;2;26.3;6;3
33;40.4;-0.05;1;5;100;6;5;1;3;28.8;4;3
34;48.2;2.25;1;7;130;9;7;3;1;19.3;5;4
35;35.8;-2.15;1;5;100;4;3;2;1;24.5;4;3
36;44.6;1.75;1;5;100;8;8;1;1;21.5;4;4
37;31.3;-2.75;1;5;100;5;4;0;1;17.3;5;3
38;33.1;-0.25;1;5;100;8;7;0;3;14.4;3;3
39;41.2;0.25;1;5;100;7;6;1;1;34.0;4;4
40;28.9;-2.25;1;5;100;6;5;0;1;14.6;4;3
41;31.8;-2.65;1;5;100;4;4;2;0;25.0;4;1
42;32.0;-1.36;1;7;130;8;6;2;0;13.7;5;4
43;35.4;-0.65;1;5;100;5;5;1;3;14.9;4;3
44;34.9;-1.37;1;7;130;5;5;3;0;19.5;5;4
45;42.5;-0.25;1;5;100;4;4;2;2;19.4;4;4
46;32.4;-2.25;1;5;100;6;4;1;1;24.6;4;3
47;43.0;1.54;1;7;130;8;8;3;0;27.8;4;4
48;37.6;0.15;1;5;100;8;7;0;2;13.7;5;4
49;30.1;-2.95;1;5;100;4;4;0;1;17.5;5;2
50;27.2;-2.45;1;5;100;6;6;1;0;16.4;5;2
51;23.6;-4.55;1;5;100;4;3;1;0;12.9;5;2
52;21.0;-5.45;1;5;100;3;2;1;0;14.2;5;1
53;27.2;-3.35;1;5;100;5;4;0;1;22.0;5;1
54;28.2;-2.65;1;5;100;5;5;0;1;18.4;3;2
55;28.0;-3.25;1;5;100;5;4;0;1;19.6;5;2
56;29.3;-2.55;1;5;100;5;5;2;0;23.0;3;1
57;31.3;-2.65;1;5;100;6;4;1;0;19.9;4;3
58;45.9;-0.25;1;5;100;4;4;1;2;33.5;4;3
59;30.9;-3.25;1;5;100;3;3;2;0;20.4;4;2
60;44.4;1.85;1;5;100;8;8;1;2;31.6;3;5
61;48.7;2.34;1;7;130;8;7;2;1;23.9;3;5
62;27.8;-2.85;1;5;100;6;5;1;0;9.8;3;3
63;28.2;-4.75;1;5;100;1;1;0;1;15.8;5;3
64;32.6;-2.45;1;5;100;5;4;2;0;21.8;4;3
65;27.5;-2.35;1;5;100;7;6;0;1;14.4;5;3
66;39.7;-0.45;1;5;100;6;6;0;1;22.9;6;4
67;41.2;0.74;1;7;130;8;7;2;1;20.8;3;4
68;35.9;-0.95;1;5;100;8;6;1;1;21.1;3;3
69;31.9;-1.15;1;5;100;7;7;0;1;18.1;5;3
70;21.3;-5.35;1;5;100;3;2;1;0;12.1;3;3
71;40.2;0.14;1;7;130;6;6;2;1;23.8;6;3
72;35.4;-0.15;1;6;120;8;7;1;1;19.0;4;3
73;23.6;-4.95;1;5;100;3;2;1;0;16.0;6;1
74;24.0;-3.95;1;5;100;4;4;0;1;12.8;3;3
75;46.4;0.84;1;7;130;5;5;2;2;28.4;5;4
76;45.3;0.95;1;7;130;6;6;3;0;30.6;4;3
77;40.5;0.54;1;6;120;8;7;2;0;18.3;4;4
78;33.0;-2.27;1;7;130;4;3;1;1;14.1;4;3
79;47.4;1.64;1;7;130;8;7;2;1;28.7;3;5
80;92.7;17.03;1;8;150;20;19;3;5;24.6;6;9
81;39.6;1.05;1;5;100;7;7;1;3;25.4;3;4
82;37.3;0.44;1;7;130;7;7;2;1;13.3;5;5
83;38.6;0.54;1;7;130;10;7;1;2;13.0;4;3
84;40.0;0.94;1;6;120;8;7;1;2;15.2;3;3
85;32.6;-2.45;1;5;100;5;4;0;1;14.0;5;4
86;53.7;4.25;1;5;100;11;10;1;2;40.8;3;6
87;23.8;-4.45;1;5;100;3;3;0;1;16.1;5;1
88;51.2;2.04;1;7;130;8;6;4;0;32.4;5;5
89;37.7;0.24;1;7;130;8;7;2;1;22.8;3;3
90;51.8;2.94;1;7;130;8;8;1;2;16.0;5;6
91;30.8;-1.75;1;5;100;6;6;1;0;15.9;3;2
92;34.6;-1.27;1;7;130;5;5;1;1;19.2;4;3
93;40.0;-0.45;1;7;130;8;5;2;0;29.3;6;5
94;35.8;0.25;1;5;100;8;8;0;2;21.0;3;4
95;25.6;-3.75;1;5;100;4;4;0;1;12.1;4;2
96;29.2;-4.05;1;5;100;3;2;0;1;21.8;5;1
97;38.3;-1.65;1;5;100;4;3;0;3;7.9;5;3
98;26.8;-2.45;1;5;100;6;6;0;0;16.8;4;2
99;22.5;-5.65;1;5;100;4;1;1;0;13.1;4;2
100;35.5;-1.45;1;6;120;5;4;2;2;17.8;4;4
