Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups;TimeToFirstHit;MaxAlerted;DashesUsed
1;29.9;-3.56;1;7;130;3;2;3;0;18.0;6;3
2;40.1;-0.25;1;5;100;8;5;2;2;28.5;7;2
3;30.4;-2.75;1;5;100;6;4;0;2;21.0;3;3
4;45.0;1.55;1;5;100;8;8;1;1;27.3;4;2
5;44.7;1.05;1;5;100;8;7;0;2;24.6;3;4
6;33.0;-1.45;1;5;100;6;5;0;2;14.2;6;3
7;41.8;1.04;1;7;130;7;7;3;0;19.5;4;3
8;39.4;0.15;1;5;100;6;6;1;2;28.3;5;3
9;33.0;-1.65;1;5;100;7;6;0;0;15.0;5;4
10;46.1;2.75;1;5;100;9;9;0;3;19.5;4;3
11;44.3;1.94;1;7;130;8;8;1;1;13.4;3;5
12;43.8;1.94;1;7;130;8;8;4;0;25.6;5;4
13;34.7;0.34;1;7;130;8;8;1;1;16.7;5;4
14;42.9;1.53;1;8;160;8;7;4;0;16.0;4;6
15;53.9;6.74;1;7;130;14;13;2;2;16.1;3;3
16;49.6;4.05;1;5;100;11;10;3;1;26.7;3;5
17;32.0;-2.06;1;6;120;5;4;2;1;22.0;4;2
18;28.6;-2.05;1;5;100;6;6;0;1;20.3;3;1
19;38.3;0.75;1;5;100;8;8;1;0;13.5;4;4
20;59.9;7.24;1;7;130;12;12;2;3;23.8;4;6
21;44.1;1.25;1;5;100;8;7;1;0;17.6;4;3
22;35.5;-0.85;1;5;100;8;6;1;1;21.1;4;3
23;69.4;9.94;1;7;130;14;14;1;2;15.4;3;6
24;39.0;0.15;1;5;100;6;6;1;1;29.2;4;2
25;36.2;0.55;1;5;100;9;8;1;1;12.9;6;3
26;26.9;-1.75;1;5;100;8;7;1;0;13.0;4;3
27;29.6;-2.35;1;5;100;7;5;0;1;19.1;5;2
28;55.7;5.92;1;8;160;12;10;3;2;15.9;7;5
29;34.5;-1.15;1;5;100;7;5;2;1;17.3;2;4
30;30.7;-1.15;1;5;100;8;7;0;1;13.4;3;2
31;35.5;-0.45;1;5;100;7;6;1;2;26.0;4;2
32;44.9;2.14;1;7;130;8;8;1;1;18.4;6;4
33;54.3;5.45;1;5;100;12;11;0;2;11.3;4;5
34;47.2;2.25;1;5;100;8;8;0;1;20.8;3;4
35;35.0;-2.35;1;5;100;4;3;0;2;26.2;6;2
36;60.6;6.32;1;9;170;10;9;3;1;11.3;4;4
37;28.5;-2.45;1;5;100;6;5;1;1;20.9;4;1
38;55.4;4.13;1;7;140;8;8;4;0;38.7;4;4
39;39.6;1.65;1;5;100;10;9;0;2;30.3;4;4
40;60.9;6.74;1;7;130;11;11;2;2;28.3;3;4
41;40.4;0.35;1;5;100;8;6;0;2;22.6;3;2
42;29.6;-1.85;1;5;100;6;6;0;0;18.8;4;3
43;24.7;-3.15;1;5;100;7;5;1;1;15.4;4;2
44;38.1;-0.45;1;7;130;8;7;2;0;12.0;4;2
45;54.9;4.73;1;7;140;11;9;2;1;18.9;5;2
46;45.8;1.95;1;5;100;8;8;0;0;32.9;5;4
47;37.4;-0.15;1;5;100;8;7;0;0;14.7;4;3
48;41.8;1.05;1;7;130;8;7;1;1;17.1;4;4
49;44.5;1.85;1;5;100;9;8;1;1;32.3;3;1
50;39.8;-0.15;1;5;100;8;6;0;1;19.5;2;2
51;41.2;1.05;1;5;100;8;8;0;0;30.6;4;2
52;54.4;6.34;1;7;130;14;12;1;2;22.2;3;5
53;57.8;6.05;1;5;100;14;11;0;2;38.8;3;3
54;36.9;0.15;1;5;100;9;7;0;1;17.3;3;3
55;45.2;1.55;1;5;100;9;7;0;1;20.8;3;4
56;43.9;0.94;1;7;130;8;6;2;0;14.9;4;4
57;60.0;6.14;1;6;120;11;10;2;1;27.4;3;3
58;43.2;2.25;1;5;100;12;9;0;2;16.6;4;4
59;58.5;6.32;1;8;160;11;10;2;2;12.8;6;3
60;34.8;-0.06;1;7;130;8;7;2;0;21.1;4;3
61;45.6;3.55;1;5;100;12;10;1;2;25.5;4;2
62;56.1;4.13;1;8;160;11;7;2;1;36.0;6;5
63;46.8;1.94;1;7;130;8;7;2;0;20.7;5;3
64;40.3;0.85;1;5;100;9;7;0;1;33.5;4;2
65;31.1;-2.65;1;5;100;5;4;0;0;15.2;6;3
66;42.2;1.94;1;7;130;11;8;1;2;24.3;4;3
67;42.6;2.25;1;5;100;10;9;0;1;18.5;3;2
68;59.3;7.85;1;5;100;14;14;0;3;29.0;4;3
69;59.6;4.44;1;8;150;10;7;3;2;38.8;6;6
70;44.7;3.95;1;5;100;11;11;0;2;18.2;4;1
71;44.8;3.05;1;5;100;11;10;1;2;31.6;3;4
72;33.3;-0.35;1;5;100;8;7;1;1;19.8;3;2
73;61.3;7.14;1;6;120;14;11;1;3;17.1;5;5
