Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups
1;20.3;-12.84;1;4;100;0;0;0;0
2;16.6;-12.52;1;4;100;1;0;0;0
3;24.2;-2.89;1;6;130;4;3;1;0
4;21.0;0.02;1;4;100;5;4;0;1
5;25.7;3.16;1;4;100;6;5;0;0
6;24.7;-0.21;1;6;150;6;4;2;0
7;38.3;3.96;1;4;100;6;5;0;0
8;22.0;-3.49;1;5;125;6;3;1;0
9;28.1;6.54;1;4;100;10;6;0;2
10;27.0;0.24;1;4;100;6;4;1;0
11;21.6;-0.12;1;4;100;6;4;0;1
12;16.4;-6.58;1;4;100;5;2;0;0
13;12.4;-9.32;1;4;100;4;1;0;1
14;24.0;3.26;1;4;100;7;5;0;1
15;18.3;-2.93;1;6;130;5;3;1;0
16;22.4;-0.06;1;4;100;6;4;0;0
17;26.1;9.36;1;4;100;9;7;1;1
18;22.5;-3.02;1;4;100;6;3;0;0
19;24.7;0.16;1;4;100;6;4;2;0
20;26.9;0.20;1;4;100;6;4;0;0
21;32.0;-2.52;1;4;100;6;3;1;0
22;23.1;3.24;1;4;100;7;5;0;1
23;28.0;0.24;1;4;100;6;4;1;0
24;31.4;9.64;1;4;100;9;7;0;1
25;26.8;6.34;1;4;100;9;6;0;1
26;33.8;9.41;1;5;125;8;7;1;1
27;31.2;12.64;1;4;100;11;8;0;2
28;37.0;3.40;1;6;130;6;5;1;0
29;17.5;-3.32;1;4;100;5;3;0;0
30;32.0;-0.62;1;7;160;6;4;2;0
31;23.6;3.12;1;4;100;9;5;0;1
32;14.1;-6.46;1;4;100;4;2;0;0
33;24.1;6.16;1;4;100;9;6;0;1
34;23.1;0.04;1;4;100;6;4;0;0
35;38.6;16.20;1;4;100;12;9;0;2
36;27.7;6.50;1;4;100;10;6;0;2
37;17.3;-6.26;1;4;100;6;2;1;0
38;32.9;6.72;1;4;100;9;6;0;1
39;21.8;-0.10;1;4;100;6;4;0;0
40;29.7;9.48;1;4;100;9;7;0;1
41;25.9;6.38;1;4;100;9;6;0;1
42;28.1;2.90;1;4;100;6;5;0;0
43;35.2;3.99;1;6;130;9;5;1;1
44;30.0;3.48;1;4;100;6;5;0;0
45;14.3;-9.38;1;4;100;5;1;0;0
46;23.9;0.12;1;4;100;6;4;1;0
47;32.2;9.78;1;4;100;12;7;0;2
48;27.9;6.42;1;4;100;9;6;1;1
49;34.4;3.74;1;4;100;6;5;0;0
50;10.9;-9.58;1;4;100;4;1;0;0
51;23.9;0.10;1;4;100;6;4;1;0
52;30.6;6.54;1;4;100;9;6;0;1
53;26.7;-0.14;1;6;130;6;4;1;0
54;22.6;3.14;1;4;100;7;5;0;1
55;26.8;0.48;1;4;100;7;4;0;1
56;41.2;1.18;1;4;100;6;4;0;0
57;54.1;-2.12;1;7;160;6;3;2;0
58;20.0;-0.10;1;4;100;6;4;0;0
59;34.5;9.90;1;4;100;9;7;0;1
60;31.1;6.62;1;4;100;9;6;1;1
61;34.5;3.39;1;5;125;6;5;1;0
62;41.4;3.77;1;5;125;6;5;1;0
63;49.0;21.80;1;7;160;12;11;3;2
64;23.8;-3.13;1;5;125;6;3;1;0
65;25.7;0.24;1;4;100;6;4;0;0
66;35.1;6.30;1;6;130;9;6;1;1
67;31.2;3.14;1;6;130;6;5;2;0
68;29.8;0.40;1;4;100;6;4;0;0
69;23.8;0.06;1;4;100;6;4;0;0
70;31.0;0.52;1;4;100;6;4;1;0
71;21.5;-3.04;1;4;100;6;3;0;0
72;34.7;12.96;1;4;100;12;8;0;2
73;10.4;-9.60;1;4;100;4;1;0;0
74;29.4;6.62;1;4;100;7;6;0;1
75;15.2;-6.30;1;4;100;4;2;0;0
76;14.2;-9.38;1;4;100;4;1;0;0
77;29.6;0.40;1;4;100;6;4;0;0
78;26.4;0.32;1;4;100;6;4;0;0
79;26.5;6.38;1;4;100;9;6;0;1
80;41.6;10.13;1;5;125;10;7;3;2
81;22.4;-6.10;1;4;100;5;2;0;1
82;24.2;0.10;1;4;100;6;4;1;0
83;24.0;3.24;1;4;100;8;5;1;1
84;20.8;-3.58;1;6;130;6;3;1;0
85;21.4;-3.46;1;6;130;6;3;1;0
86;12.5;-9.46;1;4;100;4;1;0;1
87;30.1;9.76;1;4;100;10;7;0;2
88;22.0;-0.02;1;4;100;6;4;0;1
89;27.0;3.22;1;4;100;6;5;0;0
90;23.4;0.08;1;4;100;6;4;0;0
91;16.4;-3.28;1;4;100;5;3;1;0
92;11.2;-12.58;1;4;100;3;0;0;0
93;40.6;9.75;1;5;125;9;7;1;1
94;28.0;-3.14;1;6;130;6;3;1;0
95;26.1;0.12;1;4;100;6;4;1;0
96;33.1;9.82;1;4;100;12;7;0;2
97;40.6;10.08;1;4;100;9;7;0;1
98;51.2;7.03;1;8;190;9;6;3;1
99;42.8;6.95;1;7;160;9;6;2;1
100;28.9;3.30;1;4;100;6;5;1;0
101;20.1;-3.47;1;5;125;6;3;1;0
102;42.3;4.06;1;4;100;6;5;0;0
103;44.0;0.97;1;5;125;6;4;2;0
104;56.2;20.33;1;6;130;12;10;1;2
105;10.8;-12.60;1;4;100;3;0;0;0
106;30.8;3.23;1;5;125;6;5;1;0
107;27.3;6.34;1;4;100;8;6;0;1
108;24.2;0.16;1;4;100;8;4;0;1
109;49.7;13.43;1;5;125;13;8;2;3
110;39.1;13.14;1;4;100;12;8;0;2
111;34.1;12.96;1;4;100;10;8;0;2
112;28.6;6.46;1;4;100;9;6;0;1
113;26.4;3.22;1;4;100;6;5;0;0
114;27.1;3.34;1;4;100;8;5;2;1
115;22.5;3.06;1;4;100;7;5;1;1
116;30.3;3.34;1;4;100;6;5;0;0
117;27.2;3.10;1;4;100;6;5;0;0
118;36.1;12.76;1;4;100;9;8;0;1
119;45.7;19.82;1;4;100;13;10;0;4
120;32.3;6.16;1;4;100;9;6;1;1
121;15.1;-6.30;1;4;100;5;2;0;1
122;23.4;-2.94;1;4;100;6;3;0;0
123;16.6;-3.34;1;4;100;6;3;0;0
124;16.6;-3.32;1;4;100;6;3;0;0
125;24.0;0.14;1;4;100;6;4;0;0
