Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups;+TimeToFirstHit;MaxAlerted
1;30.8;-8.15;1;4;100;1;1;0;1;21.5;3
2;30.3;-6.75;1;4;100;2;2;1;0;24.3;4
3;29.1;-5.05;1;4;100;4;3;0;1;21.8;2
4;23.3;-7.15;1;4;100;1;0;0;1;16.5;5
5;39.0;-3.15;1;5;125;6;5;1;0;15.8;3
6;38.6;-3.25;1;4;100;4;4;1;1;34.8;5
7;33.6;-3.65;1;4;100;5;5;1;0;23.5;2
8;32.3;-4.57;1;6;130;3;3;1;1;16.7;2
9;21.7;-6.15;1;4;100;2;2;0;1;10.1;1
10;21.2;-7.15;1;4;100;2;1;0;0;12.4;4
11;40.0;-2.36;1;5;125;5;5;2;1;14.4;2
12;30.3;-4.65;1;4;100;3;3;0;2;21.7;1
13;25.4;-7.25;1;4;100;2;0;1;0;19.8;2
14;33.2;-3.07;1;6;130;6;5;1;1;18.8;3
15;37.8;-2.88;1;8;185;4;4;3;0;8.0;4
16;28.6;-4.85;1;4;100;4;4;1;0;9.9;4
17;24.6;-5.86;1;5;125;2;2;2;0;6.4;3
18;33.0;-3.95;1;4;100;5;4;0;2;14.5;2
19;36.9;-5.15;1;4;100;1;1;1;1;31.6;5
20;25.1;-6.05;1;4;100;2;2;1;1;11.2;2
21;23.2;-7.25;1;4;100;1;0;1;0;14.3;3
22;25.0;-4.86;1;5;125;4;4;1;1;14.2;3
23;32.3;-4.35;1;4;100;4;4;2;1;26.6;3
24;29.5;-4.35;1;4;100;4;4;0;1;23.2;2
25;44.7;-2.48;1;6;150;4;4;2;2;9.6;9
26;27.7;-5.56;1;5;125;2;2;2;0;20.2;5
27;35.5;-3.07;1;6;130;5;5;2;1;18.5;5
28;30.9;-5.55;1;4;100;2;2;0;0;26.6;6
29;25.1;-6.55;1;4;100;1;1;2;0;16.9;2
30;26.1;-5.65;1;4;100;4;3;1;0;16.0;3
31;38.3;-3.58;1;7;155;3;3;2;1;11.8;4
32;27.7;-5.85;1;4;100;2;2;1;0;15.1;2
33;26.5;-4.95;1;4;100;4;4;1;0;20.5;4
34;25.8;-6.55;1;4;100;1;1;0;1;16.7;3
35;38.0;-3.55;1;4;100;3;3;1;3;33.4;6
36;31.4;-5.26;1;5;125;3;2;2;1;14.0;4
37;23.8;-6.35;1;4;100;2;2;0;2;18.5;4
38;21.3;-6.65;1;4;100;3;2;0;0;9.6;2
39;43.9;-3.15;1;4;100;4;4;2;0;14.8;2
40;36.1;-3.47;1;6;130;5;5;1;0;11.9;4
41;21.0;-6.75;1;4;100;2;2;0;0;12.6;3
42;36.3;-4.25;1;4;100;3;3;1;1;30.2;5
43;23.9;-5.95;1;4;100;3;3;1;0;15.8;2
44;27.5;-5.65;1;4;100;2;2;0;1;16.6;2
45;40.0;-3.15;1;4;100;3;3;0;2;34.9;2
46;22.8;-6.95;1;4;100;1;1;0;1;18.0;4
47;40.3;-4.25;1;4;100;2;2;2;3;35.2;5
48;23.4;-6.25;1;4;100;2;2;0;1;18.2;3
49;23.4;-6.35;1;4;100;2;2;1;2;18.9;4
50;20.4;-6.75;1;4;100;2;2;1;0;16.4;2
51;46.7;-1.25;1;6;130;6;6;2;0;18.5;2
52;27.4;-5.15;1;4;100;3;3;0;2;20.9;3
53;31.6;-4.35;1;4;100;4;4;0;2;18.7;3
54;39.3;-3.16;1;5;125;3;3;1;2;9.8;2
55;44.1;-1.55;1;4;100;7;6;1;1;18.5;2
56;23.5;-5.45;1;4;100;3;3;0;1;8.2;3
57;16.1;-7.75;1;4;100;1;1;1;0;10.4;2
58;20.7;-7.15;1;4;100;2;1;1;1;15.8;3
59;26.9;-5.15;1;4;100;3;3;0;1;15.3;2
60;39.1;-2.77;1;8;185;6;4;3;1;8.2;5
61;30.6;-4.05;1;4;100;4;4;2;1;23.8;4
62;24.6;-5.75;1;4;100;3;3;0;1;14.6;2
63;16.9;-7.95;1;4;100;0;0;1;0;9.6;3
64;31.3;-3.65;1;4;100;5;5;1;1;12.3;3
65;23.1;-6.85;1;4;100;3;1;0;1;15.3;4
66;30.6;-5.35;1;4;100;2;2;2;0;21.0;2
67;22.4;-6.85;1;4;100;1;1;1;0;17.4;4
68;38.0;-3.77;1;6;130;2;2;1;3;9.4;2
69;24.3;-6.25;1;4;100;2;2;0;1;18.6;2
70;16.7;-8.25;1;4;100;0;0;0;0;10.8;2
71;32.4;-4.35;1;6;130;3;3;1;1;8.6;3
72;28.1;-6.25;1;4;100;2;1;1;0;23.4;4
73;29.9;-4.75;1;4;100;3;3;1;2;22.4;2
74;18.4;-6.95;1;4;100;2;2;1;1;12.8;2
75;26.7;-5.45;1;4;100;3;3;0;0;16.1;2
76;27.7;-5.85;1;4;100;2;2;2;0;20.1;2
77;22.8;-6.35;1;4;100;2;2;0;1;13.3;3
78;23.0;-6.85;1;4;100;1;1;1;0;19.1;3
79;31.4;-5.85;1;4;100;1;1;1;1;23.9;4
80;22.5;-6.85;1;4;100;1;1;0;1;11.8;2
81;40.4;-2.45;1;4;100;5;5;0;2;15.3;1
82;28.0;-5.25;1;4;100;3;3;1;0;21.3;3
83;28.3;-5.75;1;4;100;2;2;0;1;19.4;3
84;51.3;-0.57;1;6;130;6;6;3;0;33.9;8
85;51.2;-1.17;1;7;160;6;5;2;0;12.6;5
86;25.4;-6.95;1;4;100;1;1;1;0;19.8;3
87;23.7;-6.45;1;4;100;4;2;1;0;10.5;2
88;21.4;-7.05;1;4;100;1;1;1;1;16.9;2
89;43.4;-3.65;1;4;100;3;3;2;1;34.5;5
90;18.5;-7.35;1;4;100;1;1;1;1;15.3;3
91;43.7;-2.55;1;4;100;5;5;1;2;32.5;3
92;22.8;-7.45;1;4;100;1;0;0;1;15.8;4
93;40.8;-2.45;1;4;100;5;5;0;1;17.0;2
94;26.3;-5.05;1;4;100;4;4;1;0;15.3;3
95;21.3;-6.95;1;4;100;1;1;1;1;15.4;3
96;28.8;-5.45;1;4;100;2;2;0;1;23.4;5
97;32.8;-4.05;1;4;100;4;4;1;2;16.5;3
98;38.3;-4.15;1;4;100;3;3;0;3;30.4;4
99;25.8;-5.65;1;4;100;3;3;0;2;20.7;4
100;29.3;-6.15;1;4;100;1;1;1;0;25.0;4
