Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups;+TimeToFirstHit;MaxAlerted
1;31.7;-6.85;1;4;100;2;2;0;0;25.3;3
2;51.1;1.23;1;6;150;7;7;2;3;18.8;3
3;25.1;-3.55;1;4;100;5;5;0;1;17.1;2
4;25.1;-5.05;1;4;100;3;2;0;2;8.1;1
5;35.3;-3.56;1;5;125;4;3;2;0;25.3;4
6;24.8;-5.15;1;4;100;3;3;1;0;15.8;4
7;27.1;-3.95;1;4;100;4;4;0;2;20.5;2
8;20.3;-7.05;1;4;100;2;1;1;0;14.3;5
9;43.2;-0.55;1;4;100;5;5;1;4;39.0;6
10;28.9;-3.46;1;5;125;5;3;2;1;9.0;3
11;22.2;-5.45;1;6;130;2;2;1;0;12.3;4
12;40.6;-1.27;1;6;130;7;5;1;2;29.1;3
13;36.9;-2.05;1;4;100;4;4;1;3;24.0;3
14;24.4;-5.25;1;4;100;2;2;0;0;17.7;3
15;38.7;-0.06;1;6;130;7;6;1;2;16.6;4
16;31.9;-2.05;1;5;125;5;5;1;2;15.1;3
17;30.2;-2.95;1;4;100;4;4;1;2;23.5;4
18;36.5;-2.16;1;5;125;4;3;1;3;27.1;4
19;34.2;-0.96;1;5;125;7;6;2;1;20.0;4
20;39.0;-0.26;1;5;125;7;6;1;1;5.1;3
21;30.3;-4.45;1;4;100;4;4;0;1;17.2;3
22;33.7;-3.95;1;4;100;4;4;2;0;22.4;4
23;31.5;-3.65;1;4;100;4;4;1;2;18.3;3
24;46.1;0.93;1;6;150;8;6;3;1;26.3;5
25;25.5;-4.55;1;4;100;2;2;1;1;15.8;3
26;20.0;-5.85;1;4;100;3;2;0;0;9.3;3
27;35.2;-1.45;1;4;100;6;6;0;2;17.9;3
28;18.2;-5.35;1;5;125;4;3;1;1;7.3;2
29;18.6;-6.05;1;4;100;3;2;0;1;9.1;3
30;35.0;-3.35;1;4;100;2;2;3;1;31.4;5
31;43.5;1.34;1;8;180;8;8;3;1;13.3;6
32;30.0;-4.15;1;4;100;4;3;2;0;20.4;2
33;44.7;2.14;1;8;160;8;8;3;1;24.1;5
34;40.6;-0.65;1;4;100;7;6;0;2;16.8;3
35;36.9;-2.85;1;4;100;4;4;0;3;19.5;3
36;34.8;-1.77;1;6;130;5;5;1;3;23.6;4
37;26.4;-4.25;1;4;100;3;3;0;1;13.8;3
38;23.7;-5.55;1;4;100;1;1;0;2;19.7;3
39;27.0;-4.25;1;4;100;3;3;1;1;19.7;3
40;17.1;-7.15;1;4;100;1;0;0;0;11.6;4
41;19.8;-6.25;1;4;100;1;1;1;0;13.5;2
42;42.4;0.62;1;7;160;7;7;3;0;13.7;3
43;26.1;-3.95;1;4;100;4;4;1;1;15.0;3
44;28.1;-3.45;1;4;100;4;4;1;1;22.0;2
45;29.7;-3.55;1;4;100;4;3;1;1;23.0;3
46;21.8;-5.55;1;4;100;2;2;0;1;15.6;4
47;27.7;-4.45;1;4;100;2;2;0;3;22.5;5
48;40.7;0.14;1;6;130;7;7;2;0;12.4;2
49;37.9;-0.65;1;4;100;7;6;2;1;13.0;4
50;31.4;-3.05;1;4;100;5;4;0;0;17.5;4
51;16.3;-6.35;1;4;100;2;2;0;1;10.1;2
52;44.9;1.34;1;6;130;8;8;4;2;25.9;2
53;20.7;-5.05;1;4;100;3;3;1;0;13.7;4
54;18.2;-7.15;1;4;100;1;0;0;1;10.4;3
55;34.9;-1.45;1;4;100;6;6;1;1;29.8;3
56;48.4;2.33;1;7;175;7;7;4;2;20.9;6
57;36.9;-2.05;1;4;100;5;4;1;2;19.5;3
58;20.1;-5.95;1;4;100;3;2;0;2;13.3;4
59;30.0;-2.85;1;6;130;4;4;3;0;17.3;3
60;20.9;-4.65;1;4;100;4;4;2;0;11.5;2
61;40.4;-0.35;1;6;130;6;6;2;1;27.6;4
62;36.6;-2.26;1;5;125;4;3;2;2;15.5;3
63;20.8;-5.85;1;4;100;3;2;0;2;13.9;4
