Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups;+TimeToFirstHit;MaxAlerted
1;22.8;-5.45;1;4;100;2;2;1;0;12.9;5
2;24.7;-3.15;1;4;100;5;5;0;2;8.9;2
3;18.8;-6.35;1;4;100;2;1;0;2;12.6;2
4;28.5;-2.05;1;4;100;6;5;1;1;21.6;4
5;39.9;0.84;1;6;150;8;6;2;2;12.7;5
6;30.6;-1.45;1;6;130;6;5;1;2;23.2;5
7;31.6;-1.07;1;6;130;6;6;2;1;15.5;3
8;23.4;-3.95;1;6;130;3;3;2;1;14.7;3
9;39.2;1.25;1;4;100;7;7;0;3;32.4;3
10;36.9;0.95;1;4;100;7;7;1;3;23.0;3
11;44.6;2.95;1;4;100;8;8;3;4;39.6;4
12;28.6;-2.95;1;4;100;6;4;0;1;20.0;3
13;36.2;-1.25;1;4;100;5;5;0;2;31.1;5
14;26.5;-4.25;1;4;100;2;2;0;2;21.4;4
15;34.2;-1.45;1;4;100;6;6;2;1;19.2;3
16;52.1;5.51;1;8;190;11;10;3;2;9.5;3
17;42.1;1.14;1;5;125;8;6;1;3;20.6;5
18;21.8;-3.75;1;4;100;4;4;1;1;14.3;3
19;42.9;0.85;1;4;100;5;5;0;4;39.0;3
20;32.5;0.65;1;4;100;8;8;0;4;19.7;4
21;29.7;-2.55;1;4;100;5;4;2;1;20.3;3
22;46.2;2.54;1;7;155;8;8;4;0;16.1;3
23;46.1;2.82;1;7;160;8;8;3;1;21.6;4
24;38.8;-1.05;1;4;100;6;4;1;0;33.8;3
25;31.9;-1.15;1;4;100;8;6;0;0;8.1;3
26;60.5;8.83;1;7;160;13;13;2;3;16.8;4
27;37.3;-0.25;1;4;100;8;6;1;0;18.1;2
28;50.5;4.92;1;7;155;11;10;2;1;9.5;5
29;28.8;-2.55;1;4;100;5;4;0;2;8.1;2
30;40.0;2.14;1;5;125;9;8;1;3;12.2;3
31;35.8;1.85;1;4;100;10;9;0;3;8.0;2
32;39.1;2.25;1;4;100;10;10;1;2;28.8;3
33;43.8;2.65;1;4;100;8;8;1;5;31.0;4
34;43.2;2.55;1;4;100;9;9;0;2;28.7;3
35;42.3;2.15;1;4;100;8;8;1;3;35.1;4
36;30.1;-0.86;1;6;130;7;7;1;0;15.1;4
37;47.7;3.95;1;4;100;10;10;1;1;14.5;3
38;43.7;2.94;1;6;130;11;9;2;1;20.5;3
39;52.7;6.84;1;5;125;13;13;2;3;10.2;4
40;26.8;-3.15;1;4;100;4;4;1;1;20.6;3
41;44.2;4.14;1;5;125;11;9;1;4;10.1;3
42;29.1;-2.75;1;4;100;4;4;0;1;24.0;3
43;31.3;-2.35;1;4;100;7;4;0;0;14.5;6
44;57.8;8.91;1;8;190;14;14;3;2;14.9;2
45;57.9;7.74;1;6;130;12;12;2;3;25.1;3
46;22.1;-4.45;1;4;100;3;3;0;1;14.6;3
47;60.0;7.35;1;6;130;14;11;4;4;39.3;4
48;37.7;1.42;1;7;160;8;8;5;1;25.5;4
49;41.5;2.15;1;6;130;9;8;2;2;30.5;4
50;26.5;-2.45;1;4;100;6;6;1;2;19.7;3
51;35.2;1.04;1;6;130;9;8;2;2;16.9;3
52;67.2;12.02;1;8;190;17;17;6;3;42.2;5
53;31.6;-0.75;1;4;100;7;7;0;2;17.5;2
54;40.0;0.35;1;4;100;7;5;0;5;35.5;4
55;28.1;-5.05;1;4;100;5;4;1;0;21.6;4
56;35.5;0.05;1;4;100;8;8;3;0;29.8;4
57;42.6;1.14;1;6;130;8;7;1;1;14.8;3
58;30.7;-2.35;1;4;100;5;5;2;0;22.9;3
59;70.5;10.32;1;7;160;15;14;2;4;22.3;4
60;55.5;7.31;1;8;190;13;12;3;3;16.4;6
61;37.4;-1.35;1;4;100;5;4;2;0;33.7;5
62;39.5;1.55;1;4;100;9;9;3;1;34.8;4
63;31.8;-1.05;1;4;100;7;6;1;1;24.4;3
64;35.5;-1.75;1;4;100;4;4;3;1;28.3;4
65;41.5;0.65;1;4;100;7;7;2;1;33.3;4
66;55.9;4.74;1;6;130;13;10;1;3;31.3;6
67;56.1;8.64;1;6;130;15;15;1;7;15.3;3
68;49.8;4.24;1;6;130;12;9;2;4;14.0;5
69;46.5;3.55;1;4;100;11;10;4;4;42.4;4
70;37.0;0.55;1;4;100;7;7;1;3;28.6;2
71;34.7;-1.86;1;5;125;6;3;3;2;8.2;6
72;56.0;8.23;1;6;150;13;13;5;3;24.9;3
73;17.8;-4.85;1;4;100;5;4;1;0;11.1;3
