Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups;+TimeToFirstHit;MaxAlerted
1;30.8;-8.05;1;4;100;0;0;0;0;23.0;4
2;18.4;-8.15;1;4;100;0;0;0;0;13.3;2
3;19.3;-8.05;1;4;100;0;0;0;0;13.2;2
4;20.6;-6.65;1;4;100;2;2;0;0;10.9;2
5;19.0;-8.05;1;4;100;0;0;0;0;14.9;3
6;23.0;-6.95;1;4;100;1;1;0;0;16.7;3
7;25.5;-6.45;1;4;100;1;1;0;0;16.5;3
8;15.0;-8.25;1;4;100;0;0;0;0;10.1;2
9;26.4;-5.95;1;4;100;2;2;0;0;14.7;5
10;21.9;-7.15;1;4;100;1;1;0;0;15.0;3
11;21.8;-6.95;1;4;100;1;1;0;0;15.9;4
12;23.4;-7.45;1;4;100;0;0;0;0;17.5;6
13;23.8;-5.65;1;4;100;3;3;0;0;16.8;4
14;22.1;-6.05;1;4;100;3;3;0;0;11.6;3
15;20.6;-6.75;1;4;100;2;2;0;0;12.0;3
16;30.2;-4.75;1;4;100;4;4;0;0;20.8;6
17;26.3;-7.15;1;4;100;0;0;0;0;21.9;6
18;21.8;-6.45;1;4;100;2;2;0;0;15.9;4
19;23.9;-6.25;1;4;100;2;2;0;0;16.5;4
20;23.2;-6.05;1;4;100;3;3;0;0;15.0;2
21;22.6;-6.95;1;4;100;1;1;0;0;17.3;4
22;24.4;-5.96;1;5;125;2;2;1;0;17.5;6
23;22.5;-6.55;1;4;100;2;2;0;0;15.0;3
24;22.4;-6.55;1;4;100;2;2;0;0;15.4;3
25;21.0;-7.25;1;4;100;2;1;0;0;14.6;4
26;27.5;-4.35;1;4;100;5;5;1;0;16.9;2
27;25.8;-5.45;1;4;100;3;3;0;0;17.3;4
28;22.5;-7.05;1;4;100;2;1;0;0;18.2;5
29;22.7;-7.45;1;4;100;0;0;0;0;17.0;5
30;32.8;-4.25;1;4;100;4;4;0;0;18.9;3
31;32.1;-3.85;1;4;100;5;5;0;0;26.7;4
32;24.2;-5.35;1;4;100;5;4;0;0;18.6;2
33;22.9;-6.85;1;4;100;3;1;0;0;17.7;5
34;35.0;-2.95;1;4;100;6;6;0;0;23.3;2
35;26.1;-4.45;1;4;100;5;5;0;0;18.0;3
36;41.6;-2.25;1;4;100;6;6;0;0;35.5;4
37;32.4;-3.85;1;4;100;5;5;0;0;26.4;4
38;24.6;-6.15;1;4;100;2;2;0;0;20.6;4
39;34.8;-2.85;1;4;100;6;6;0;0;29.6;3
40;27.9;-4.55;1;4;100;5;5;0;0;15.7;3
41;31.2;-3.55;1;4;100;6;6;0;0;24.4;3
42;27.9;-4.25;1;4;100;5;5;0;0;19.2;3
43;29.8;-5.45;1;4;100;2;2;0;0;18.6;5
44;38.4;-2.55;1;4;100;6;6;0;0;14.6;3
45;30.7;-3.55;1;4;100;6;6;0;0;16.6;4
46;23.6;-5.95;1;4;100;4;3;0;0;18.0;4
47;36.8;-3.35;1;4;100;6;6;1;0;29.3;2
48;27.9;-4.55;1;4;100;5;5;0;0;20.6;4
49;19.3;-6.45;1;4;100;4;3;0;0;12.1;2
50;37.9;-2.95;1;4;100;5;5;0;0;30.1;5
51;24.4;-5.85;1;4;100;3;3;0;0;18.3;3
52;46.7;-1.15;1;4;100;6;6;0;1;26.1;7
53;25.9;-5.45;1;6;130;3;3;1;0;17.3;3
54;30.4;-4.15;1;4;100;5;5;0;0;23.9;4
55;27.6;-4.35;1;4;100;5;5;0;0;21.2;3
56;22.6;-6.05;1;4;100;3;3;0;0;14.8;3
57;33.3;-4.25;1;4;100;4;4;0;0;29.0;5
58;23.8;-5.85;1;4;100;3;3;0;0;18.9;4
59;24.1;-5.25;1;4;100;4;4;0;0;18.9;2
60;27.9;-3.77;1;6;130;6;6;1;0;11.7;3
61;32.9;-3.25;1;4;100;6;6;0;0;26.8;4
62;20.6;-6.75;1;4;100;3;2;0;0;14.6;4
63;33.6;-3.15;1;4;100;6;6;0;0;14.2;3
64;18.6;-6.95;1;4;100;2;2;0;0;14.3;2
65;29.8;-3.75;1;4;100;6;6;0;0;17.5;2
66;23.4;-5.45;1;4;100;4;4;0;0;17.9;3
67;35.0;-3.45;1;5;125;6;5;1;0;17.0;3
68;27.2;-4.95;1;4;100;5;4;0;0;18.7;3
69;26.6;-4.65;1;4;100;5;5;0;0;20.4;3
70;32.7;-3.45;1;4;100;6;5;0;1;26.5;2
71;30.1;-3.95;1;4;100;5;5;0;1;21.4;4
72;30.3;-4.15;1;4;100;6;5;0;0;21.5;2
73;28.4;-3.75;1;4;100;6;6;0;0;20.2;3
74;30.4;-3.55;1;4;100;6;6;0;0;14.3;2
75;35.9;-3.25;1;4;100;6;5;0;0;27.0;2
76;26.3;-4.65;1;4;100;5;5;0;0;17.2;2
77;33.4;-3.25;1;4;100;6;6;0;0;25.5;2
78;40.8;-2.17;1;6;130;6;6;1;0;21.7;3
79;22.3;-6.15;1;4;100;4;3;0;0;14.6;3
80;42.0;-1.95;1;4;100;7;6;0;1;15.3;3
81;30.1;-4.15;1;4;100;5;5;0;0;25.4;5
82;21.1;-6.15;1;4;100;3;3;0;0;16.0;3
83;30.9;-4.15;1;4;100;4;4;0;2;24.5;5
84;22.2;-6.45;1;4;100;3;2;0;0;17.4;5
85;23.9;-5.85;1;4;100;4;3;0;0;19.9;2
86;27.1;-4.45;1;4;100;5;5;0;0;18.3;3
