Episode,SurvivalTime,TotalReward 
25,23,4,24,80
50,16,2,14,40
75,25,3,28,00
100,15,9,17,20
125,24,5,26,40
150,20,9,23,60
175,21,8,24,00
200,20,5,23,60
225,24,4,27,60
250,22,5,27,60
275,21,0,17,20
300,20,5,25,20
325,20,0,22,40
350,21,0,25,20
375,29,9,34,80
400,19,8,24,00
425,20,0,23,20
450,21,6,23,20
475,20,0,22,40
500,23,2,26,80
525,16,2,16,40
550,24,5,27,60
575,24,6,28,00
600,20,5,22,00
625,18,8,20,00
650,25,8,28,40
675,23,3,22,40
700,22,8,14,40
725,22,1,23,60
750,27,7,32,80
775,16,9,18,00
800,21,9,17,20
825,20,8,21,20
850,26,9,30,00
875,17,8,20,40
900,20,7,23,20
925,20,2,23,60
950,21,7,23,20
975,24,2,27,20
1000,20,7,23,60
