Episode;SurvivalTime;TotalReward 
1;13.3;16.82
2;16.2;16.34
3;17.1;16.42
4;18.2;25.70
5;16.6;16.36
6;12.5;16.10
7;16.2;16.36
8;15.3;16.28
9;16.7;15.50
10;18.1;26.38
11;13.9;16.18
12;22.6;26.72
13;19.9;16.62
14;15.9;17.04
15;19.3;25.78
16;18.6;17.24
17;17.0;25.64
18;17.9;25.70
19;14.5;17.64
20;21.0;16.70
21;15.3;17.02
22;20.1;17.32
23;17.5;25.64
24;16.9;16.40
25;15.8;16.32
26;16.5;16.38
27;21.7;25.94
28;19.2;19.78
29;14.4;16.94
30;19.1;16.52
31;18.9;16.52
32;19.9;16.62
33;18.2;17.16
34;16.9;16.40
35;16.0;16.34
36;19.7;27.18
37;14.9;16.92
38;28.8;17.02
39;17.3;16.42
40;14.8;16.26
41;20.4;16.62
42;13.6;17.58
43;14.2;17.62
44;13.6;16.18
45;16.1;16.34
46;16.7;15.48
47;15.7;16.34
48;17.3;16.42
49;22.8;16.76
50;30.1;27.20
51;23.8;16.88
52;18.7;17.22
53;23.3;16.84
54;19.9;25.80
55;14.5;16.90
56;25.1;26.88
57;27.2;16.68
58;25.2;16.90
59;24.7;16.88
60;27.5;17.12
61;14.0;17.56
62;22.3;17.46
63;19.2;17.26
64;22.1;16.72
65;20.4;26.56
66;20.8;16.64
67;23.4;26.78
68;20.7;16.66
69;20.9;17.36
70;16.0;16.34
71;15.1;16.98
72;16.2;16.34
73;16.6;16.40
74;14.3;25.44
75;21.8;25.98
76;18.1;19.70
77;18.2;16.50
78;27.5;23.52
79;13.3;17.56
80;18.8;17.22
81;21.1;17.38
82;14.5;16.94
83;19.4;17.28
84;26.8;17.06
85;21.1;16.68
86;14.6;16.94
87;25.8;17.70
88;25.6;17.68
89;26.2;17.02
90;30.0;20.12
91;17.9;17.18
92;20.5;16.66
93;30.0;19.40
94;20.8;17.38
95;16.0;20.22
96;18.4;16.50
97;22.1;16.74
98;24.4;16.90
99;30.1;19.42
100;24.8;26.16
101;18.5;17.20
102;24.3;16.92
103;30.1;20.14
104;14.3;16.90
105;27.7;17.10
106;14.9;16.98
107;15.9;17.02
108;16.1;16.34
109;22.2;16.88
