Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups
1;32.0;-9.66;1;4;100;2;1;1;0
2;29.5;-9.40;1;4;100;2;1;2;0
3;28.9;-9.24;1;4;100;1;1;1;1
4;17.6;-12.54;1;4;100;0;0;0;1
5;32.9;-5.96;1;4;100;2;2;1;1
6;23.0;-9.38;1;4;100;3;1;0;1
7;23.4;-12.34;1;4;100;0;0;2;0
8;15.9;-12.72;1;4;100;1;0;0;0
9;28.5;-3.34;1;4;100;4;3;1;0
10;22.6;-12.40;1;4;100;0;0;0;2
11;33.4;-6.14;1;4;100;2;2;1;1
12;16.8;-6.60;1;4;100;3;2;0;1
13;34.4;-2.88;1;4;100;4;3;1;1
14;22.0;-12.14;1;4;100;1;0;0;2
15;50.4;0.56;1;4;100;5;4;1;1
16;35.7;-11.63;1;6;130;2;0;3;2
17;32.4;-0.04;1;4;100;4;4;1;1
18;18.6;-9.46;1;4;100;2;1;0;0
19;29.5;-8.96;1;4;100;3;1;0;1
20;48.4;-2.68;1;6;150;5;3;4;2
21;32.6;-2.84;1;4;100;4;3;2;1
22;56.7;9.63;1;5;125;7;7;5;1
23;40.5;0.13;1;7;160;6;4;4;1
24;82.3;7.08;1;6;150;7;6;3;1
25;64.4;-4.80;1;4;100;2;2;6;4
26;32.8;0.10;1;4;100;5;4;0;2
27;32.6;-9.02;1;4;100;2;1;2;0
28;44.4;0.41;1;5;125;6;4;2;3
29;32.3;-9.04;1;4;100;2;1;1;3
30;53.4;9.94;1;4;100;8;7;1;2
31;11.1;-12.70;1;4;100;1;0;1;0
32;27.5;-2.96;1;4;100;4;3;1;2
33;29.2;-3.10;1;4;100;3;3;0;1
34;19.2;-9.40;1;4;100;2;1;1;0
35;41.3;0.66;1;4;100;4;4;1;3
36;72.9;10.47;1;5;125;11;7;1;5
37;32.0;-5.90;1;4;100;3;2;1;2
38;63.1;1.12;1;4;100;4;4;5;3
39;95.4;8.20;1;7;155;7;6;7;5
40;66.3;12.64;1;6;150;8;8;5;1
41;24.4;-12.28;1;4;100;0;0;2;1
42;34.1;0.00;1;4;100;5;4;0;2
43;22.3;-9.36;1;4;100;2;1;2;0
44;17.3;-9.52;1;4;100;2;1;0;0
45;24.0;-6.32;1;4;100;3;2;0;1
46;27.0;-6.20;1;4;100;3;2;0;2
47;17.0;-6.38;1;4;100;3;2;0;1
48;16.1;-9.58;1;4;100;2;1;0;0
49;76.9;6.83;1;7;175;7;6;6;1
50;66.0;12.30;1;7;160;9;8;2;3
51;16.8;-12.52;1;4;100;3;0;0;0
52;28.2;-3.00;1;4;100;4;3;1;2
53;23.8;-3.32;1;4;100;3;3;0;0
54;26.1;-0.53;1;5;125;5;4;1;0
55;39.7;5.91;1;5;125;6;6;1;1
56;56.0;6.68;1;4;100;6;6;3;0
57;39.8;-5.29;1;6;130;4;2;1;2
58;17.0;-9.50;1;4;100;3;1;0;1
59;31.8;-3.08;1;4;100;4;3;1;1
60;43.3;0.28;1;4;100;5;4;2;0
61;82.9;11.06;1;4;100;8;7;1;6
62;27.7;-9.16;1;4;100;2;1;1;2
63;19.2;-6.48;1;4;100;4;2;0;0
64;51.8;3.08;1;7;160;6;5;2;3
65;79.8;-1.28;1;4;100;4;3;3;6
66;24.9;-3.26;1;4;100;3;3;1;1
67;32.1;-0.10;1;4;100;6;4;1;0
68;42.8;0.38;1;4;100;5;4;1;2
69;63.1;0.82;1;4;100;6;4;5;3
70;25.2;-6.24;1;4;100;4;2;1;0
71;16.7;-9.54;1;4;100;3;1;0;1
72;44.7;-3.18;1;6;150;4;3;3;1
73;80.5;23.02;1;8;190;12;11;5;2
74;46.9;3.40;1;4;100;5;5;0;2
75;65.5;3.88;1;6;150;5;5;3;3
76;27.5;-3.18;1;4;100;4;3;3;0
77;72.8;10.43;1;7;160;11;7;3;2
78;26.4;-0.26;1;4;100;4;4;1;0
79;28.6;-5.98;1;4;100;4;2;1;1
80;55.5;3.10;1;6;150;6;5;3;1
81;42.8;0.13;1;5;125;5;4;4;1
82;33.3;-3.02;1;4;100;3;3;0;1
83;28.9;-9.16;1;4;100;3;1;1;2
84;30.1;-6.12;1;4;100;2;2;1;1
85;36.2;3.22;1;4;100;6;5;0;2
86;20.8;-3.40;1;4;100;5;3;1;0
87;33.5;-9.44;1;6;130;2;1;4;0
88;44.2;-5.50;1;4;100;4;2;2;2
89;40.5;-5.84;1;4;100;2;2;2;3
90;15.7;-6.56;1;4;100;3;2;0;0
91;26.9;-6.20;1;4;100;3;2;2;0
92;40.2;0.56;1;4;100;4;4;0;6
93;45.7;0.12;1;6;130;6;4;1;2
94;34.0;0.36;1;4;100;7;4;1;2
95;25.6;-2.90;1;4;100;5;3;1;2
96;42.5;-2.74;1;4;100;4;3;1;1
97;36.0;0.06;1;4;100;5;4;1;2
98;71.3;1.50;1;4;100;6;4;0;4
99;48.7;6.62;1;4;100;7;6;1;2
100;23.0;-3.32;1;4;100;4;3;1;0
101;27.8;-3.36;1;4;100;4;3;1;0
102;45.7;0.70;1;4;100;6;4;1;2
103;24.0;-6.34;1;4;100;3;2;0;1
104;31.9;-3.04;1;4;100;3;3;1;2
105;37.3;-5.68;1;4;100;3;2;1;4
106;31.0;-3.08;1;4;100;4;3;0;2
107;66.6;25.14;1;6;130;13;12;1;4
108;47.3;3.30;1;6;130;7;5;1;3
109;55.2;6.66;1;5;125;6;6;3;2
110;30.1;-9.10;1;4;100;1;1;1;1
111;46.8;2.98;1;6;130;6;5;3;0
112;35.5;-3.18;1;6;130;5;3;2;1
113;32.9;-6.06;1;4;100;3;2;2;1
114;34.9;0.22;1;4;100;6;4;0;2
115;47.0;3.15;1;5;125;6;5;2;0
116;14.4;-9.58;1;4;100;2;1;1;0
117;16.9;-6.52;1;4;100;3;2;1;0
118;84.6;8.10;1;4;100;8;6;4;5
119;23.1;-3.32;1;4;100;4;3;0;1
120;22.0;-9.34;1;4;100;2;1;0;2
121;54.5;12.71;1;5;125;9;8;4;2
122;36.0;2.97;1;5;125;7;5;1;2
123;39.1;-8.84;1;4;100;2;1;4;0
124;54.9;0.98;1;4;100;6;4;4;3
125;54.1;6.80;1;4;100;6;6;2;3
126;29.5;-3.42;1;6;130;5;3;2;2
127;75.8;6.75;1;7;175;7;6;5;1
128;33.4;-9.04;1;4;100;1;1;1;3
129;41.9;-6.01;1;5;125;4;2;3;2
130;28.8;-2.98;1;4;100;5;3;0;2
131;45.3;3.07;1;5;125;6;5;3;0
132;26.8;-0.24;1;4;100;5;4;0;1
133;114.7;14.50;1;8;185;11;8;4;7
134;22.7;-3.10;1;4;100;3;3;0;2
135;26.9;0.00;1;4;100;4;4;1;1
136;33.4;0.38;1;4;100;5;4;1;2
137;42.1;2.88;1;6;150;7;5;5;1
138;24.7;-3.28;1;4;100;3;3;0;0
139;56.1;0.13;1;7;155;6;4;2;2
140;50.2;-5.70;1;6;130;5;2;2;3
141;18.6;-6.50;1;4;100;4;2;1;1
142;42.9;6.62;1;4;100;8;6;0;2
143;68.5;10.11;1;5;125;11;7;3;4
144;21.6;-6.40;1;4;100;3;2;0;1
145;53.0;3.56;1;4;100;6;5;1;2
146;30.0;0.08;1;4;100;5;4;0;2
147;59.4;4.14;1;4;100;6;5;2;2
148;42.2;6.70;1;4;100;7;6;1;2
149;113.1;20.41;1;7;175;14;10;6;5
150;57.3;7.14;1;4;100;9;6;1;3
151;60.2;4.30;1;4;100;8;5;1;4
152;18.5;-9.48;1;4;100;2;1;1;0
153;29.8;-12.10;1;4;100;2;0;2;2
154;41.7;0.24;1;4;100;6;4;0;3
155;48.6;3.44;1;4;100;6;5;1;1
