Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups;TimeToFirstHit;MaxAlerted;DashesUsed
1;42.6;-4.68;1;8;150;4;3;2;1;20.3;4;4
2;33.1;-3.05;1;5;100;5;5;0;0;10.7;4;2
3;17.7;-6.85;1;5;100;1;1;0;0;9.9;4;2
4;21.0;-5.85;1;5;100;2;2;0;0;11.5;3;2
5;40.2;-0.36;1;7;130;8;7;2;1;27.2;3;3
6;20.8;-6.35;1;5;100;1;1;1;0;12.7;2;1
7;22.0;-5.25;1;5;100;3;3;0;0;7.1;3;1
8;58.5;2.94;1;7;130;9;9;1;1;30.3;3;4
9;36.9;-3.55;1;5;100;5;3;0;0;21.8;2;4
10;38.7;-0.75;1;5;100;8;7;1;1;28.7;4;5
11;32.0;-3.45;1;5;100;3;3;1;1;24.2;5;2
12;45.5;0.65;1;5;100;9;7;1;2;19.7;3;5
13;27.9;-4.25;1;5;100;3;3;0;1;12.7;3;3
14;19.5;-6.45;1;5;100;1;1;0;0;11.2;3;2
15;19.9;-5.55;1;5;100;3;3;0;1;12.8;3;2
16;31.8;-2.85;1;5;100;5;5;0;1;15.6;2;3
17;32.3;-3.85;1;5;100;4;3;3;0;25.1;4;3
18;32.6;-2.35;1;5;100;4;4;1;2;14.7;2;4
19;39.9;-1.15;1;5;100;5;5;1;1;30.7;3;3
20;34.9;-2.95;1;6;120;3;3;2;1;13.7;2;4
21;44.6;0.24;1;6;120;8;7;2;0;8.8;3;5
22;28.7;-4.56;1;6;120;2;2;1;0;14.7;3;2
23;24.9;-4.75;1;5;100;3;3;1;1;15.7;4;1
24;39.7;-2.05;1;5;100;3;3;2;3;33.3;3;3
25;40.3;-1.15;1;5;100;5;5;1;3;30.7;3;3
26;24.2;-4.05;1;5;100;6;5;1;0;11.5;3;2
27;38.0;-1.05;1;5;100;6;6;1;2;21.2;5;4
28;36.9;-2.87;1;7;130;2;2;3;2;24.0;7;3
29;29.6;-3.35;1;5;100;6;4;0;1;22.9;5;2
30;40.7;-1.65;1;5;100;4;4;3;0;31.8;3;2
31;23.3;-6.05;1;5;100;2;1;0;1;16.4;5;1
32;46.6;1.54;1;7;140;9;9;2;2;13.2;5;4
33;21.8;-6.85;1;5;100;2;1;1;0;13.8;3;2
34;46.1;0.53;1;7;140;6;6;2;0;8.3;3;5
35;71.8;9.42;1;8;160;15;14;2;4;45.5;6;5
36;50.2;2.02;1;8;160;8;8;3;0;17.5;3;3
37;32.0;-3.67;1;7;130;2;2;2;1;11.8;4;3
38;49.4;0.85;1;5;100;6;5;3;3;25.0;5;3
39;27.3;-3.95;1;5;100;4;4;1;1;19.3;4;2
40;33.9;-3.35;1;5;100;3;3;3;1;25.0;3;2
41;40.6;-0.65;1;5;100;6;5;1;3;29.2;3;4
42;31.1;-3.75;1;5;100;3;3;1;1;12.0;3;1
43;37.1;-1.76;1;7;130;5;5;3;0;21.8;6;2
44;40.7;-1.05;1;5;100;7;6;3;0;29.7;4;3
45;32.0;-1.85;1;5;100;6;6;0;2;21.9;4;3
46;53.6;2.33;1;8;160;8;8;2;0;16.3;6;5
47;31.2;-4.25;1;5;100;2;2;2;1;23.3;3;3
48;49.6;0.94;1;6;120;6;6;1;4;9.6;5;4
49;22.6;-5.45;1;5;100;3;3;0;0;12.7;3;2
50;32.9;-4.35;1;5;100;1;1;2;2;26.4;5;1
51;45.3;0.95;1;5;100;7;7;0;3;38.6;3;4
52;28.7;-2.55;1;5;100;7;6;0;0;13.7;3;4
53;30.2;-2.85;1;6;120;5;5;2;0;12.4;4;2
54;24.7;-4.35;1;5;100;4;4;0;1;15.2;4;1
55;30.5;-4.55;1;5;100;2;1;0;2;16.9;3;3
56;20.3;-5.85;1;5;100;2;2;0;1;9.9;2;2
57;27.7;-3.75;1;5;100;4;3;0;3;7.6;3;3
58;25.6;-4.85;1;5;100;3;2;0;1;16.1;4;2
59;49.6;3.14;1;6;120;10;10;1;2;10.0;5;6
60;30.5;-2.95;1;5;100;5;5;1;0;15.8;2;3
61;46.9;0.83;1;8;160;7;6;3;1;11.2;3;4
62;40.5;-1.66;1;6;120;5;4;2;1;10.3;4;4
63;29.9;-4.05;1;5;100;4;3;1;0;13.5;3;2
64;31.9;-3.15;1;5;100;5;5;0;1;10.2;3;4
65;58.7;2.85;1;5;100;10;8;0;2;14.2;4;4
66;35.5;-2.25;1;5;100;5;5;3;1;23.4;2;1
67;20.2;-6.05;1;5;100;3;2;0;1;13.2;3;1
68;36.2;-1.36;1;6;120;5;5;1;2;16.9;4;4
69;27.5;-4.35;1;5;100;3;3;1;1;20.1;4;3
70;37.5;-1.85;1;5;100;4;4;2;1;31.3;4;3
71;28.0;-4.35;1;5;100;3;3;2;0;19.7;4;1
72;26.2;-4.85;1;5;100;3;2;1;1;14.7;4;1
73;34.0;-2.55;1;5;100;5;5;0;1;13.2;3;4
74;62.9;5.32;1;8;160;10;9;2;4;6.8;3;6
75;20.0;-5.45;1;5;100;3;3;0;0;11.7;3;2
76;44.8;-0.47;1;7;140;6;4;4;1;6.9;6;4
77;49.1;1.55;1;5;100;8;7;0;4;29.0;4;5
78;47.6;1.24;1;6;120;8;8;3;0;20.3;3;4
79;27.0;-3.45;1;5;100;5;5;0;1;17.5;2;3
80;27.3;-3.95;1;5;100;4;4;0;0;11.3;2;3
81;43.4;-1.55;1;5;100;5;4;5;0;33.6;5;3
82;35.1;-2.06;1;6;120;5;5;1;1;14.6;5;3
83;29.8;-3.55;1;5;100;3;3;0;3;14.3;4;3
84;37.3;-1.55;1;5;100;5;5;2;2;29.5;3;2
85;28.4;-3.25;1;5;100;6;5;0;0;12.7;3;3
86;28.0;-3.85;1;5;100;5;4;0;0;18.5;4;3
