Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups;TimeToFirstHit;MaxAlerted;DashesUsed
1;34.2;-3.25;1;5;100;5;4;1;1;16.7;3;3
2;34.0;-4.06;1;6;120;3;2;2;0;17.4;4;3
3;33.7;-3.25;1;5;100;3;3;2;2;22.9;3;3
4;29.0;-4.35;1;5;100;4;3;0;0;9.5;3;2
5;41.9;-1.75;1;5;100;6;6;0;1;19.4;3;5
6;26.6;-6.07;1;7;130;1;1;1;2;13.0;3;3
7;32.7;-3.25;1;5;100;7;6;1;0;14.4;3;4
8;42.5;-1.95;1;5;100;3;3;2;3;30.6;5;3
9;33.3;-3.75;1;5;100;2;2;2;1;24.0;3;1
10;22.3;-5.55;1;5;100;3;2;0;2;10.6;3;3
11;39.9;-1.86;1;7;130;5;4;1;0;6.6;5;4
12;41.1;-1.77;1;7;130;6;4;1;2;7.4;6;2
13;30.0;-3.55;1;5;100;5;4;2;0;17.0;2;3
14;37.1;-2.15;1;5;100;5;4;2;2;27.1;5;1
15;42.9;-1.95;1;5;100;3;3;2;3;35.2;5;3
16;26.7;-3.75;1;5;100;4;4;1;1;17.4;2;2
17;33.8;-2.66;1;6;120;5;4;1;1;8.8;3;2
18;20.6;-6.45;1;5;100;3;1;0;0;8.5;2;1
19;26.1;-4.45;1;5;100;4;4;0;0;12.1;2;3
20;29.9;-4.27;1;7;130;2;2;3;0;16.9;4;2
21;37.4;-2.25;1;5;100;4;4;0;0;14.4;2;4
22;35.9;-2.65;1;5;100;3;3;1;3;29.6;6;3
23;41.3;-0.97;1;7;130;6;5;1;1;16.5;3;4
24;39.2;-1.15;1;5;100;5;5;1;2;19.9;3;3
25;54.9;2.35;1;5;100;8;8;2;1;44.3;4;3
26;37.0;-0.35;1;5;100;7;7;0;2;21.2;3;2
27;23.4;-5.55;1;5;100;2;2;1;2;13.7;5;1
28;67.7;6.71;1;10;190;11;11;3;1;10.2;6;7
29;28.3;-4.16;1;6;120;2;2;2;1;17.7;4;1
30;40.9;-1.45;1;5;100;5;5;0;2;10.7;6;3
31;46.8;1.25;1;5;100;7;7;1;3;17.5;5;4
32;39.2;-1.96;1;6;120;4;3;1;2;15.0;6;2
33;49.9;0.15;1;5;100;6;4;3;3;42.4;6;3
34;35.6;-1.36;1;7;130;7;6;1;0;19.5;3;3
35;42.7;0.05;1;7;130;6;6;2;1;11.6;3;3
36;51.6;1.95;1;5;100;7;7;1;4;28.3;3;5
37;39.3;-1.25;1;5;100;4;4;0;4;19.9;3;3
38;51.8;2.65;1;5;100;10;9;0;3;41.8;4;5
39;28.1;-3.55;1;5;100;4;4;1;1;18.3;4;2
40;37.6;-1.76;1;7;130;6;5;2;0;21.1;2;4
41;54.4;4.64;1;6;120;12;12;1;3;27.0;4;4
42;36.0;-1.95;1;5;100;5;5;1;2;23.9;3;3
43;37.6;-2.05;1;5;100;4;3;1;3;29.7;5;3
44;27.1;-4.55;1;5;100;2;2;1;2;10.5;2;2
45;36.7;-3.25;1;5;100;3;3;2;0;27.8;6;2
46;32.4;-5.15;1;5;100;3;1;1;1;26.2;5;2
47;38.9;-3.05;1;5;100;5;3;1;1;30.9;5;3
48;48.9;-0.25;1;5;100;7;5;0;2;10.9;5;3
49;56.2;1.64;1;7;130;8;7;2;2;21.5;6;6
50;32.7;-4.15;1;5;100;4;3;1;1;25.3;4;2
51;22.8;-6.45;1;5;100;1;1;0;0;14.9;4;3
52;35.1;-3.15;1;5;100;3;3;1;1;29.8;5;2
53;25.4;-4.55;1;5;100;4;4;0;0;13.8;3;2
54;17.5;-7.25;1;5;100;2;1;1;0;8.7;3;2
55;35.0;-1.35;1;5;100;7;7;1;2;18.0;3;4
56;40.9;-1.45;1;5;100;7;6;1;0;18.9;3;3
57;28.8;-3.35;1;5;100;5;5;2;1;20.2;3;3
58;25.6;-4.85;1;5;100;4;3;1;1;13.8;2;2
59;33.8;-3.55;1;5;100;4;3;1;0;22.7;3;2
60;27.5;-3.95;1;5;100;4;4;1;0;18.5;4;2
61;34.3;-1.25;1;5;100;7;7;0;2;14.6;4;2
62;33.6;-3.65;1;5;100;3;3;1;1;20.5;2;2
63;30.1;-4.25;1;5;100;3;3;0;2;19.1;4;2
64;22.6;-4.95;1;5;100;3;3;0;1;16.2;3;2
65;44.5;1.25;1;6;120;8;8;4;1;31.9;3;2
66;38.5;-0.85;1;5;100;7;5;2;3;20.5;5;4
67;44.8;0.75;1;5;100;7;7;2;2;28.0;4;6
68;48.6;1.15;1;7;130;6;6;3;2;29.6;5;4
69;36.6;-2.48;1;8;150;4;3;3;1;16.6;4;4
70;42.0;0.23;1;8;150;7;6;2;1;13.8;3;4
71;35.7;-2.25;1;5;100;4;4;0;2;26.9;5;2
72;31.3;-3.75;1;5;100;3;3;1;1;17.0;3;3
73;42.1;-1.16;1;6;120;4;4;3;2;11.2;3;4
74;54.0;2.44;1;7;130;8;7;3;2;22.1;4;4
75;34.1;-3.35;1;5;100;3;3;1;1;22.7;3;2
76;43.6;-0.86;1;7;130;4;4;4;1;27.1;6;3
77;17.5;-6.45;1;5;100;2;2;1;0;9.6;3;2
78;36.9;-2.05;1;5;100;4;4;1;2;16.3;5;2
79;30.1;-2.25;1;5;100;6;6;1;1;20.2;4;2
80;49.9;3.25;1;5;100;10;10;1;3;33.9;3;5
81;25.8;-4.55;1;5;100;4;3;0;0;14.6;3;2
82;21.6;-6.15;1;5;100;1;1;1;0;16.0;3;0
83;43.4;0.63;1;7;140;8;7;3;0;7.7;3;3
84;38.9;-1.55;1;5;100;4;4;2;1;27.8;3;4
85;33.8;-2.55;1;5;100;4;4;1;1;10.1;3;3
86;49.6;1.24;1;7;130;6;6;3;1;26.6;2;5
87;50.2;2.22;1;8;160;8;8;3;1;17.9;4;5
88;37.9;-1.25;1;5;100;6;4;1;3;31.4;5;1
89;39.0;-3.05;1;5;100;3;2;0;3;29.2;6;2
90;48.4;1.75;1;5;100;8;8;1;2;38.8;5;4
91;29.6;-4.45;1;5;100;3;2;1;0;22.6;5;2
92;30.3;-3.85;1;5;100;4;3;0;2;18.0;3;3
93;24.0;-5.55;1;5;100;2;2;1;1;7.4;4;2
94;33.3;-4.05;1;5;100;4;3;0;2;25.9;4;1
95;35.7;-2.66;1;6;120;5;4;3;1;25.2;6;3
96;46.8;-0.05;1;5;100;8;6;1;1;32.2;5;2
97;43.1;0.25;1;7;130;6;6;1;3;22.0;4;5
98;47.9;1.34;1;6;120;7;7;1;1;14.9;2;4
99;35.9;-1.75;1;5;100;5;5;0;1;19.1;3;4
100;35.3;-2.55;1;5;100;4;4;1;1;27.9;5;2
