Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups;TimeToFirstHit;MaxAlerted;DashesUsed
1;43.6;-5.27;1;6;130;4;2;3;0;22.7;2;3
2;22.7;-6.65;1;4;100;1;1;0;1;15.0;1;0
3;22.9;-5.65;1;4;100;3;2;0;2;16.5;3;0
4;15.7;-7.05;1;4;100;1;1;0;1;9.8;3;1
5;39.0;-1.25;1;4;100;6;6;1;1;31.1;4;5
6;40.7;-2.15;1;4;100;5;4;2;1;36.5;5;2
7;30.7;-5.15;1;4;100;1;1;1;0;27.1;3;2
8;49.0;1.45;1;4;100;8;8;2;0;31.4;3;4
9;32.6;-1.35;1;4;100;8;8;1;0;13.8;2;3
10;28.0;-4.15;1;4;100;4;3;0;1;23.5;4;2
11;19.5;-6.15;1;4;100;2;2;0;0;12.4;3;1
12;25.5;-5.35;1;4;100;3;2;0;1;11.8;3;3
13;42.3;0.55;1;4;100;9;8;1;2;25.5;3;2
14;24.5;-6.05;1;4;100;2;1;1;0;18.2;4;2
15;43.9;-0.05;1;4;100;8;7;0;0;11.6;3;6
16;33.1;-1.95;1;4;100;5;5;0;2;13.2;2;1
17;44.5;0.13;1;6;130;7;6;2;1;20.0;6;3
18;34.0;-2.06;1;5;125;6;5;2;0;20.0;3;3
19;30.6;-3.35;1;4;100;6;4;1;1;12.8;2;3
20;44.5;0.44;1;5;125;8;7;2;1;17.4;3;2
21;43.2;0.04;1;6;130;8;7;1;1;15.3;3;2
22;18.5;-6.35;1;4;100;3;2;1;0;12.6;3;1
23;34.6;-3.45;1;4;100;3;3;3;0;28.8;2;1
24;36.7;-1.65;1;4;100;6;5;1;2;31.8;4;3
25;60.5;7.05;1;4;100;14;14;0;3;11.9;2;6
26;29.4;-3.05;1;4;100;6;5;0;2;15.9;2;3
27;18.0;-5.85;1;4;100;3;3;1;0;10.6;3;2
28;39.9;0.14;1;5;125;8;8;3;0;24.7;4;3
29;44.3;0.14;1;6;130;8;7;2;0;19.2;4;3
30;25.3;-4.85;1;4;100;2;2;0;2;20.6;4;0
31;52.3;3.05;1;4;100;10;10;0;3;11.6;2;5
32;38.4;-2.25;1;4;100;7;6;1;1;29.8;4;2
33;31.7;-3.25;1;4;100;4;4;0;0;25.6;5;3
34;49.9;1.52;1;7;160;7;7;2;1;23.2;3;3
35;38.1;-1.55;1;4;100;5;5;1;0;31.9;3;3
36;26.9;-2.95;1;4;100;6;6;0;1;7.7;2;2
37;38.8;-0.85;1;4;100;8;7;0;0;19.6;3;2
38;56.4;4.24;1;6;130;10;10;3;2;25.5;4;5
39;54.9;2.54;1;5;125;9;8;1;1;34.0;6;5
40;63.8;6.94;1;6;130;13;13;1;3;14.2;3;7
41;16.7;-6.05;1;4;100;4;3;0;0;8.9;3;1
42;22.1;-4.65;1;4;100;4;4;0;0;14.2;3;1
43;41.7;0.95;1;4;100;8;8;0;2;36.0;4;3
44;29.4;-2.95;1;4;100;5;5;0;3;14.6;4;1
45;24.3;-4.85;1;4;100;4;3;0;0;18.2;3;0
46;28.5;-4.15;1;4;100;3;3;0;3;18.1;3;2
47;43.9;0.85;1;6;130;8;8;1;0;33.1;4;5
48;28.5;-3.45;1;4;100;5;4;1;2;24.7;4;2
49;27.4;-4.05;1;4;100;4;4;0;0;23.5;2;3
50;22.3;-5.15;1;4;100;3;3;1;0;15.3;3;2
51;41.2;1.65;1;4;100;10;10;0;3;33.4;5;3
52;22.4;-4.65;1;4;100;4;4;1;1;16.3;3;1
53;32.5;-3.05;1;4;100;4;4;0;4;27.3;3;2
54;28.5;-4.05;1;4;100;4;3;0;2;16.9;5;2
55;43.9;-0.05;1;4;100;7;7;0;0;12.8;3;2
56;19.7;-5.75;1;4;100;4;4;0;0;13.8;2;1
57;21.6;-5.55;1;4;100;3;3;0;0;11.5;3;2
58;31.7;-2.85;1;4;100;6;6;0;0;15.1;3;3
59;25.7;-4.05;1;4;100;4;4;0;0;21.7;3;1
60;49.9;4.34;1;6;130;14;10;1;2;14.3;2;6
61;47.2;2.52;1;7;155;8;8;2;0;13.4;3;4
62;42.5;1.51;1;8;190;8;7;4;0;13.7;4;4
63;32.3;-1.77;1;6;130;7;5;1;1;16.5;5;3
64;48.1;4.44;1;7;155;11;11;2;2;15.1;4;5
65;47.3;3.04;1;6;130;9;9;2;1;12.4;4;2
66;50.5;3.54;1;5;125;10;10;3;1;11.7;2;4
67;57.4;4.35;1;4;100;9;9;1;1;52.4;6;4
68;41.5;1.15;1;4;100;8;8;1;0;30.3;3;3
69;33.2;-0.85;1;4;100;7;7;1;0;23.0;3;2
70;40.3;0.25;1;4;100;8;7;0;0;32.2;2;2
71;47.5;1.85;1;4;100;7;7;2;1;41.8;5;2
72;55.2;6.25;1;4;100;13;12;0;3;10.6;3;5
73;15.8;-6.25;1;4;100;4;2;0;0;7.4;2;1
74;59.0;7.12;1;7;155;12;12;3;2;28.5;4;3
75;34.7;-0.57;1;6;130;7;6;1;1;23.3;5;2
76;27.2;-2.95;1;4;100;5;5;0;0;18.7;4;2
77;30.9;-1.45;1;4;100;7;6;0;2;21.9;2;2
78;46.3;1.75;1;4;100;8;8;2;0;34.8;3;2
79;33.0;-0.56;1;6;130;8;7;1;0;16.7;3;4
80;41.0;1.15;1;4;100;8;8;2;1;33.2;3;2
81;53.9;6.02;1;7;155;12;11;2;4;10.1;3;4
82;36.4;-0.35;1;4;100;8;7;0;0;19.2;4;3
83;32.2;-1.65;1;4;100;7;6;0;0;22.4;3;2
84;46.9;3.95;1;4;100;11;11;0;2;44.2;4;3
85;60.1;7.41;1;8;190;12;12;3;2;25.9;5;5
86;58.4;8.23;1;6;150;13;13;2;4;14.6;3;3
87;72.2;9.51;1;8;190;12;12;7;2;38.0;4;7
88;35.3;-0.16;1;5;125;8;7;2;0;17.1;4;3
89;47.1;1.95;1;4;100;8;8;2;0;29.4;4;3
90;33.1;-0.65;1;4;100;7;7;0;1;17.0;3;1
91;52.9;5.33;1;6;150;11;11;2;2;11.8;4;4
92;40.9;1.54;1;5;125;8;8;4;1;20.1;4;2
93;30.4;-1.25;1;4;100;7;7;0;0;21.4;3;2
94;44.4;1.85;1;6;130;8;8;1;0;29.1;2;3
95;35.3;-0.66;1;5;125;7;6;1;0;23.7;4;0
