Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills
1;14.8;-1.30;1;6;100;0;0
2;23.4;10.62;1;6;100;6;4
3;20.3;12.94;1;4;100;6;5
4;13.1;6.76;1;4;100;3;3
5;17.4;7.54;1;4;100;3;3
6;15.3;7.50;1;4;100;5;3
7;13.8;6.76;1;4;100;4;3
8;14.9;7.48;1;5;100;4;3
9;15.0;0.56;1;7;130;2;1
10;14.1;4.44;1;4;100;3;2
11;17.0;9.92;1;4;100;5;4
12;8.9;0.56;1;4;100;2;1
13;12.9;7.02;1;4;100;5;3
14;12.2;4.44;1;4;100;2;2
15;25.3;9.36;1;7;130;5;4
16;11.1;0.70;1;4;100;1;1
17;16.5;9.96;1;4;100;5;4
18;22.1;13.22;1;4;100;6;5
19;14.1;6.80;1;4;100;4;3
20;18.1;13.08;1;4;100;5;5
21;12.9;4.50;1;5;100;3;2
22;19.0;9.90;1;6;125;5;4
23;19.6;16.30;1;4;100;7;6
24;12.5;6.70;1;4;100;4;3
25;15.7;9.90;1;4;100;5;4
26;14.7;6.88;1;4;100;3;3
27;18.5;13.06;1;5;100;6;5
28;11.6;4.36;1;6;100;3;2
29;9.5;1.34;1;4;100;2;1
30;13.3;3.84;1;6;100;2;2
31;16.2;10.90;1;4;100;4;4
32;13.3;6.84;1;4;100;4;3
33;16.9;13.04;1;4;100;6;5
34;13.7;4.40;1;4;100;3;2
35;13.2;4.44;1;4;100;3;2
36;13.4;7.46;1;4;100;4;3
37;11.6;3.74;1;4;100;3;2
38;21.6;16.42;1;4;100;7;6
39;10.9;2.18;1;4;100;1;1
40;9.0;-1.68;1;4;100;1;0
41;15.2;7.40;1;6;100;4;3
42;10.3;-1.78;1;4;100;1;0
43;24.8;16.34;1;4;100;6;6
44;12.5;1.84;1;6;130;1;1
45;17.2;13.32;1;5;100;6;5
46;25.3;20.00;1;5;125;7;7
47;12.7;7.06;1;4;100;4;3
48;11.6;7.22;1;4;100;4;3
49;20.1;13.52;1;5;100;6;5
50;11.2;7.64;1;4;100;3;3
51;15.2;7.26;1;4;100;4;3
52;12.5;6.92;1;4;100;5;3
53;13.8;10.20;1;4;100;5;4
54;17.6;13.26;1;5;125;6;5
55;16.2;10.34;1;4;100;6;4
56;14.2;7.40;1;4;100;4;3
57;14.9;13.18;1;4;100;6;5
58;15.9;10.32;1;4;100;5;4
59;11.1;0.94;1;4;100;3;1
60;18.5;10.28;1;5;125;6;4
61;16.7;13.32;1;4;100;6;5
62;12.8;7.12;1;4;100;4;3
63;16.4;6.46;1;7;130;4;3
64;15.3;10.26;1;4;100;6;4
65;13.3;10.12;1;4;100;5;4
66;13.5;7.36;1;4;100;5;3
67;17.0;13.40;1;4;100;6;5
68;13.9;10.18;1;4;100;5;4
69;15.3;10.32;1;4;100;4;4
70;14.7;6.92;1;6;100;4;3
71;12.2;7.00;1;5;100;4;3
72;15.5;13.30;1;4;100;6;5
73;9.0;2.20;1;4;100;2;1
74;11.6;7.06;1;4;100;4;3
75;15.3;10.08;1;6;125;4;4
76;15.2;13.24;1;4;100;6;5
77;8.2;1.00;1;4;100;2;1
78;13.2;6.26;1;6;130;4;3
79;14.4;10.90;1;5;100;5;4
80;12.2;7.72;1;4;100;4;3
81;8.2;0.80;1;4;100;2;1
82;12.0;7.26;1;4;100;4;3
83;18.3;13.46;1;4;100;6;5
