Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups
1;47.8;-0.02;1;4;100;4;4;0;2
2;53.9;4.76;1;4;100;7;5;0;2
3;66.4;19.88;1;7;160;13;10;2;4
4;53.0;4.70;1;4;100;6;5;2;2
5;60.5;14.06;1;4;100;10;8;0;2
6;16.8;-6.26;1;4;100;3;2;0;0
7;29.7;-5.38;1;4;100;2;2;0;3
8;26.1;-5.72;1;4;100;3;2;0;2
9;25.5;-2.78;1;4;100;5;3;0;0
10;35.8;-2.24;1;4;100;3;3;2;1
11;47.1;-1.50;1;4;100;5;3;3;1
12;36.8;-2.02;1;4;100;3;3;1;3
13;57.0;2.08;1;4;100;5;4;1;2
14;24.9;-11.72;1;4;100;2;0;0;3
15;59.4;-1.13;1;5;125;5;3;4;3
16;44.6;4.04;1;4;100;6;5;1;1
17;76.7;3.57;1;5;125;5;4;5;3
18;33.4;-5.12;1;4;100;4;2;2;0
19;53.7;7.82;1;4;100;7;6;1;1
20;38.2;-7.88;1;4;100;2;1;0;4
21;27.2;-2.68;1;4;100;5;3;0;1
22;24.2;-8.88;1;4;100;2;1;0;1
23;18.9;-6.14;1;4;100;2;2;0;0
24;35.5;-8.08;1;4;100;4;1;1;3
25;28.5;-8.68;1;4;100;1;1;0;2
26;31.2;-2.17;1;6;130;4;3;2;0
27;35.1;-5.49;1;5;125;4;2;1;1
28;40.2;-8.06;1;4;100;2;1;2;0
29;21.9;-12.38;1;4;100;2;0;0;1
30;46.7;1.46;1;4;100;6;4;1;1
31;51.1;7.73;1;5;125;7;6;2;2
32;15.5;-12.10;1;4;100;2;0;0;0
33;30.9;1.00;1;4;100;4;4;0;0
34;53.7;1.90;1;4;100;5;4;1;5
35;28.4;-5.40;1;4;100;2;2;2;2
36;67.8;20.72;1;4;100;11;10;0;3
37;47.8;3.80;1;7;160;7;5;2;3
38;42.7;-2.05;1;5;125;5;3;1;3
39;35.9;-5.20;1;4;100;2;2;0;1
40;49.2;1.25;1;5;125;6;4;2;1
41;24.1;-8.80;1;4;100;1;1;1;1
42;40.0;1.22;1;4;100;5;4;1;2
43;43.0;4.44;1;4;100;6;5;2;2
44;27.0;-5.70;1;4;100;3;2;1;1
45;27.1;-5.44;1;4;100;4;2;1;2
46;34.2;0.68;1;4;100;5;4;3;0
47;39.2;-3.02;1;7;160;5;3;2;0
48;21.7;-11.88;1;4;100;1;0;2;0
49;37.6;-5.48;1;6;130;3;2;1;1
50;32.6;3.72;1;4;100;5;5;2;0
51;19.6;-9.16;1;4;100;2;1;1;1
52;51.3;10.10;1;6;130;8;7;2;2
53;30.7;-5.36;1;4;100;4;2;1;2
54;43.2;-4.76;1;4;100;3;2;1;2
55;80.8;17.61;1;7;155;10;9;4;4
56;10.7;-12.54;1;4;100;2;0;0;0
57;20.4;-9.04;1;4;100;2;1;1;0
58;24.7;-11.76;1;4;100;2;0;1;1
59;30.5;-8.50;1;4;100;2;1;1;1
60;21.1;-9.04;1;4;100;2;1;1;1
61;24.2;-5.80;1;4;100;3;2;1;1
62;46.8;6.96;1;6;130;8;6;2;2
63;24.1;-5.86;1;5;125;3;2;1;1
64;35.1;3.98;1;4;100;5;5;0;1
65;34.2;-5.00;1;4;100;3;2;1;2
66;38.4;-1.78;1;4;100;4;3;0;2
67;35.9;0.92;1;4;100;4;4;2;2
68;23.6;-9.12;1;4;100;2;1;0;0
69;36.1;3.78;1;4;100;6;5;0;0
70;30.5;-5.50;1;4;100;4;2;1;0
71;28.6;-2.73;1;5;125;5;3;2;1
72;48.9;-1.06;1;4;100;5;3;3;2
73;35.9;-8.02;1;4;100;1;1;1;2
74;54.7;5.10;1;4;100;5;5;2;1
75;87.5;0.77;1;5;125;6;3;7;2
76;46.8;1.38;1;4;100;5;4;2;2
77;53.3;4.09;1;8;180;9;5;4;2
78;99.0;25.35;1;7;160;12;11;4;6
79;27.0;-2.62;1;4;100;3;3;2;0
80;29.4;-8.28;1;4;100;4;1;0;2
81;39.6;1.30;1;4;100;4;4;0;3
82;18.3;-6.70;1;6;130;4;2;1;0
83;30.7;-5.24;1;5;125;3;2;2;1
84;68.1;11.17;1;5;125;9;7;4;4
85;42.9;1.58;1;4;100;4;4;1;1
86;24.6;-8.48;1;4;100;2;1;1;1
87;27.7;4.03;1;6;130;6;5;2;0
88;12.8;-9.02;1;4;100;2;1;0;1
89;9.3;-9.40;1;4;100;2;1;0;0
90;21.7;-0.54;1;7;160;6;4;2;0
91;53.8;5.40;1;6;130;7;5;4;2
92;34.3;-2.15;1;6;130;5;3;2;0
93;28.2;-5.61;1;6;130;2;2;1;1
94;40.5;-1.99;1;5;125;3;3;1;2
95;54.5;8.22;1;4;100;6;6;3;3
96;50.4;7.51;1;7;160;9;6;2;2
97;47.0;7.17;1;5;125;8;6;3;1
98;21.2;-9.04;1;4;100;2;1;0;1
99;10.1;-9.56;1;4;100;2;1;0;0
100;34.5;-2.12;1;4;100;3;3;1;0
