Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups;+TimeToFirstHit;MaxAlerted
1;23.0;-8.85;1;4;100;0;0;1;0;14.4;2
2;46.3;-1.16;1;5;125;5;5;3;0;19.8;2
3;33.8;-3.58;1;6;150;2;2;2;1;8.5;2
4;13.7;-7.95;1;4;100;0;0;0;0;10.5;2
5;19.9;-6.45;1;4;100;2;1;1;1;16.2;4
6;17.9;-6.45;1;4;100;1;1;0;2;8.5;4
7;42.2;-3.05;1;4;100;1;1;3;0;36.6;2
8;40.0;-2.55;1;4;100;4;3;2;0;24.5;3
9;36.6;-3.45;1;6;130;4;3;3;1;26.4;4
10;40.0;-2.25;1;6;130;6;4;1;0;9.7;3
11;24.0;-5.55;1;4;100;2;2;0;0;12.8;3
12;17.6;-7.75;1;4;100;1;0;1;1;12.4;2
13;21.4;-6.25;1;4;100;3;2;1;1;17.1;3
14;21.8;-6.65;1;4;100;2;1;1;0;14.8;2
15;17.2;-7.75;1;4;100;1;0;0;1;14.1;1
16;20.5;-6.25;1;4;100;2;2;0;1;6.8;1
17;19.0;-6.75;1;4;100;3;2;0;0;10.5;2
18;23.9;-6.85;1;4;100;2;1;1;0;17.6;3
19;23.0;-6.75;1;4;100;1;1;1;1;16.3;3
20;30.8;-5.25;1;4;100;2;1;1;1;20.5;4
21;27.3;-4.75;1;4;100;3;3;0;2;21.9;3
22;33.4;-2.85;1;6;130;5;5;1;0;13.4;2
23;32.4;-4.05;1;4;100;3;3;1;1;22.9;4
24;20.6;-6.65;1;4;100;2;1;0;0;17.9;2
25;21.3;-6.25;1;4;100;1;1;1;2;16.6;1
26;33.2;-3.76;1;5;125;4;3;3;0;13.4;2
27;79.1;6.72;1;7;160;10;10;3;2;12.9;1
28;38.5;-3.55;1;4;100;2;2;0;3;34.5;5
29;27.3;-5.65;1;4;100;1;1;0;0;20.6;2
30;15.2;-7.55;1;4;100;1;1;1;0;8.9;2
31;28.2;-4.35;1;5;125;4;3;1;3;18.6;3
32;16.4;-7.85;1;4;100;3;0;0;0;9.2;1
33;21.2;-7.15;1;4;100;1;0;0;2;16.8;1
34;27.5;-5.55;1;4;100;2;1;0;3;20.5;1
35;54.4;0.45;1;4;100;5;5;0;4;49.1;2
36;26.1;-5.45;1;4;100;2;2;1;0;21.2;2
37;27.1;-4.95;1;4;100;2;2;0;1;19.3;2
38;34.2;-3.46;1;5;125;3;3;3;0;19.8;3
39;20.8;-7.25;1;4;100;2;0;0;1;11.0;3
40;26.9;-5.35;1;4;100;2;2;2;0;20.8;3
41;70.4;4.53;1;6;150;7;7;3;3;17.9;6
42;27.8;-5.55;1;4;100;2;1;1;2;22.0;2
43;24.0;-6.45;1;4;100;3;1;1;0;18.1;2
44;26.9;-6.55;1;4;100;2;1;1;0;18.0;2
45;25.7;-6.65;1;4;100;2;0;2;0;18.8;1
