Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups
1;22.2;-12.84;1;4;100;0;0;0;0
2;18.5;-9.64;1;4;100;2;1;0;0
3;25.8;-0.20;1;4;100;5;4;0;0
4;20.0;-3.08;1;4;100;5;3;0;1
5;19.5;-3.28;1;4;100;6;3;1;0
6;26.8;3.18;1;4;100;6;5;0;0
7;24.1;3.14;1;4;100;6;5;0;0
8;32.1;6.54;1;4;100;9;6;0;1
9;27.8;0.30;1;4;100;6;4;0;0
10;30.9;-0.04;1;6;130;6;4;2;0
11;23.5;3.22;1;4;100;8;5;0;1
12;21.5;-0.37;1;5;125;6;4;1;0
13;24.5;0.04;1;4;100;6;4;0;0
14;10.3;-9.60;1;4;100;3;1;0;0
15;21.8;-0.08;1;4;100;6;4;0;0
16;14.9;-3.38;1;4;100;5;3;0;0
17;26.4;0.16;1;4;100;6;4;1;0
18;23.2;3.22;1;4;100;8;5;0;1
19;21.3;-0.12;1;4;100;6;4;0;0
20;25.7;3.10;1;4;100;6;5;0;0
21;38.6;16.04;1;4;100;12;9;0;2
22;23.9;-0.29;1;5;125;6;4;1;0
23;22.1;-3.00;1;4;100;6;3;0;0
24;36.2;9.53;1;5;125;9;7;1;1
25;37.1;6.84;1;4;100;9;6;1;1
26;20.3;-2.98;1;4;100;7;3;0;1
27;22.7;-3.02;1;4;100;6;3;1;0
28;24.0;3.12;1;4;100;9;5;0;1
29;34.9;9.96;1;4;100;10;7;0;2
30;13.6;-6.36;1;4;100;4;2;0;0
31;12.3;-9.56;1;4;100;4;1;0;0
32;32.0;-0.08;1;6;150;6;4;3;0
33;21.7;-0.04;1;4;100;6;4;0;0
34;22.7;-0.37;1;5;125;6;4;1;0
35;28.1;3.50;1;4;100;8;5;0;1
36;32.9;6.66;1;4;100;9;6;1;1
37;17.5;-3.22;1;4;100;6;3;0;0
38;16.4;-3.34;1;4;100;6;3;0;0
39;49.6;28.82;1;4;100;15;13;1;3
40;29.6;0.40;1;4;100;6;4;1;0
41;20.8;0.28;1;4;100;7;4;0;2
42;36.4;9.55;1;5;125;9;7;1;1
43;42.5;12.98;1;4;100;10;8;0;2
44;29.3;0.32;1;4;100;6;4;1;0
45;15.4;-3.38;1;4;100;5;3;0;0
46;22.2;3.18;1;4;100;7;5;0;1
47;40.1;0.94;1;4;100;6;4;0;0
48;21.3;0.08;1;4;100;8;4;0;1
49;14.6;-9.22;1;4;100;5;1;0;1
50;25.4;0.14;1;4;100;6;4;0;0
51;12.9;-6.42;1;4;100;4;2;0;0
52;39.0;4.35;1;6;130;7;5;1;1
53;31.3;0.44;1;4;100;6;4;1;0
54;28.9;3.32;1;4;100;6;5;0;0
55;35.8;6.92;1;4;100;8;6;3;1
56;22.0;-2.64;1;4;100;7;3;0;2
57;26.8;0.24;1;4;100;6;4;0;0
58;38.8;16.08;1;4;100;12;9;0;2
59;23.7;0.12;1;4;100;6;4;0;0
60;20.1;0.04;1;4;100;7;4;0;1
61;29.7;0.42;1;4;100;6;4;0;0
62;23.5;3.24;1;4;100;9;5;0;1
63;30.0;6.25;1;5;125;8;6;1;1
64;30.3;6.68;1;4;100;9;6;0;1
65;50.7;10.09;1;7;155;11;7;3;2
66;25.3;3.34;1;4;100;9;5;0;1
67;17.1;-3.14;1;4;100;7;3;0;1
68;28.0;0.36;1;4;100;6;4;1;0
69;39.5;7.06;1;4;100;9;6;1;1
70;21.7;-0.02;1;4;100;6;4;0;0
71;33.2;9.80;1;4;100;9;7;0;1
72;33.7;6.74;1;4;100;9;6;1;1
73;33.7;0.74;1;4;100;6;4;0;0
74;14.3;-6.40;1;4;100;5;2;0;0
75;19.0;-3.18;1;4;100;6;3;0;0
76;20.2;-3.16;1;4;100;6;3;0;0
77;19.5;-3.16;1;4;100;6;3;0;0
78;27.0;-0.03;1;5;125;6;4;1;0
79;18.0;-0.24;1;4;100;6;4;0;0
80;31.3;0.02;1;6;130;6;4;1;0
81;39.7;16.28;1;4;100;14;9;0;3
82;39.7;12.96;1;4;100;9;8;1;1
83;36.4;0.05;1;5;125;6;4;1;0
84;18.1;-3.30;1;4;100;6;3;0;0
85;23.4;0.10;1;4;100;8;4;0;1
86;24.4;3.08;1;4;100;6;5;0;0
87;19.5;0.10;1;4;100;7;4;0;1
88;32.8;0.52;1;4;100;6;4;0;1
89;16.5;-6.36;1;4;100;5;2;0;0
90;31.7;9.60;1;4;100;8;7;0;1
91;24.5;0.04;1;4;100;6;4;0;0
92;15.6;-3.36;1;5;125;5;3;1;0
93;25.7;0.18;1;4;100;6;4;0;0
94;18.5;-3.00;1;4;100;6;3;0;1
95;21.4;0.20;1;4;100;7;4;1;1
96;39.1;10.10;1;4;100;10;7;1;2
97;27.6;-0.20;1;6;130;6;4;1;1
98;39.7;16.32;1;4;100;13;9;0;3
99;23.3;0.04;1;4;100;6;4;1;0
100;34.3;12.80;1;4;100;9;8;0;1
