Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups
1;30.6;-9.24;1;4;100;1;1;1;0
2;47.9;-6.10;1;4;100;2;2;2;0
3;33.7;-6.10;1;4;100;2;2;0;0
4;37.3;-0.06;1;4;100;5;4;1;0
5;32.5;0.00;1;4;100;5;4;2;1
6;18.7;-9.44;1;4;100;2;1;0;1
7;25.6;-6.24;1;4;100;3;2;1;1
8;33.6;0.22;1;5;125;6;4;4;1
9;25.7;-6.06;1;4;100;3;2;0;1
10;64.2;7.47;1;5;125;9;6;2;8
11;77.3;10.60;1;7;155;9;7;8;1
12;23.0;-6.30;1;4;100;3;2;1;1
13;29.8;-0.37;1;5;125;4;4;2;1
14;43.1;0.50;1;4;100;4;4;1;1
15;56.3;3.75;1;6;130;6;5;2;1
16;21.5;-6.34;1;4;100;4;2;1;1
17;73.1;1.22;1;4;100;6;4;5;3
18;39.1;-2.72;1;4;100;4;3;4;2
19;68.5;28.54;1;6;150;14;13;4;6
20;40.3;-5.44;1;4;100;4;2;1;4
21;35.7;-5.94;1;4;100;3;2;0;0
22;49.7;0.68;1;4;100;6;4;4;4
23;44.4;3.26;1;6;130;7;5;1;2
24;27.6;-0.16;1;4;100;6;4;1;1
25;35.3;-3.19;1;5;125;5;3;3;0
26;48.1;2.96;1;6;150;6;5;5;1
27;35.1;3.24;1;4;100;7;5;1;1
28;76.6;7.72;1;4;100;8;6;4;4
29;30.3;-0.49;1;5;125;6;4;1;0
30;46.8;5.82;1;7;160;9;6;2;1
31;42.3;0.48;1;4;100;6;4;0;1
32;49.9;-5.54;1;4;100;3;2;1;0
33;48.3;3.68;1;4;100;6;5;0;1
34;17.8;-3.80;1;6;130;5;3;1;1
35;31.2;-5.94;1;4;100;5;2;2;2
36;53.8;6.84;1;4;100;8;6;2;2
37;51.6;2.26;1;8;190;6;5;3;0
38;70.3;-4.60;1;4;100;5;2;1;2
39;15.5;-6.54;1;4;100;3;2;0;0
40;40.7;3.61;1;6;130;6;5;2;0
41;34.3;-0.19;1;5;125;6;4;1;1
42;33.9;-5.76;1;4;100;4;2;4;2
43;40.2;0.82;1;4;100;8;4;2;4
44;38.1;0.62;1;4;100;5;4;2;4
45;59.1;6.38;1;7;160;9;6;2;4
46;66.6;16.24;1;7;155;12;9;3;3
47;53.5;16.02;1;6;150;13;9;4;4
48;45.6;0.42;1;4;100;6;4;2;4
49;61.3;1.36;1;4;100;6;4;3;3
50;57.5;-4.94;1;4;100;4;2;5;3
51;15.7;-12.56;1;4;100;4;0;0;0
52;50.6;0.85;1;6;150;6;4;2;1
53;46.7;4.04;1;4;100;7;5;3;5
54;53.2;6.90;1;4;100;6;6;5;2
55;56.3;1.36;1;4;100;5;4;5;5
56;47.0;6.32;1;6;150;8;6;2;4
57;40.0;5.87;1;5;125;6;6;3;0
58;37.2;6.58;1;4;100;6;6;1;4
59;37.9;-2.78;1;4;100;4;3;0;0
60;49.7;15.69;1;6;150;12;9;2;4
61;25.9;-3.00;1;4;100;7;3;0;2
62;50.6;9.68;1;6;150;10;7;2;4
63;64.8;28.60;1;6;130;15;13;1;7
64;36.5;-0.10;1;6;130;7;4;2;2
65;64.6;10.42;1;4;100;10;7;2;7
66;19.9;-3.38;1;4;100;5;3;1;0
67;27.6;-9.12;1;4;100;2;1;1;1
68;48.9;-2.73;1;5;125;6;3;5;2
69;60.8;2.83;1;7;175;7;5;8;2
70;28.1;-5.94;1;4;100;4;2;0;1
71;51.4;3.35;1;8;190;8;5;4;4
72;30.4;6.51;1;6;130;7;6;3;1
73;30.3;-3.08;1;4;100;5;3;2;1
74;43.0;-2.04;1;4;100;5;3;3;4
75;34.1;-6.05;1;5;125;4;2;2;3
76;28.7;0.08;1;4;100;5;4;1;2
77;57.2;9.50;1;6;150;9;7;6;1
78;51.0;7.22;1;5;125;11;6;3;4
79;31.8;-5.82;1;4;100;3;2;0;2
80;29.3;-6.35;1;5;125;5;2;2;0
81;20.8;-9.34;1;4;100;3;1;2;1
82;101.1;29.90;1;6;150;16;13;9;8
83;42.2;9.92;1;4;100;9;7;0;6
84;17.4;-6.48;1;4;100;3;2;2;0
85;34.5;-5.72;1;4;100;4;2;1;3
86;43.0;6.30;1;6;130;8;6;1;3
87;49.5;3.36;1;4;100;6;5;0;0
88;44.7;0.36;1;4;100;6;4;0;0
89;39.0;-0.01;1;5;125;6;4;2;0
90;22.0;0.06;1;4;100;5;4;1;2
91;23.3;-12.30;1;4;100;2;0;2;1
92;40.1;6.84;1;4;100;7;6;1;4
93;39.0;0.22;1;4;100;4;4;3;3
94;22.7;-6.12;1;4;100;4;2;0;1
95;39.0;-2.80;1;4;100;6;3;0;1
96;53.5;3.26;1;7;160;8;5;2;3
97;26.8;-3.00;1;4;100;4;3;1;3
98;58.4;16.42;1;4;100;10;9;4;5
99;30.9;-6.06;1;4;100;5;2;0;3
100;20.9;-3.38;1;4;100;5;3;0;2
101;104.1;35.72;1;6;150;19;15;3;6
102;40.4;-2.76;1;4;100;4;3;0;0
103;41.8;0.28;1;4;100;5;4;0;0
104;50.8;13.34;1;4;100;11;8;1;6
105;23.6;-9.28;1;4;100;1;1;2;2
106;54.7;12.61;1;7;155;12;8;2;6
107;58.0;0.95;1;5;125;9;4;5;4
108;67.8;24.87;1;7;175;15;12;5;4
109;30.1;-3.46;1;6;130;6;3;2;0
110;38.6;-2.18;1;4;100;6;3;1;4
111;75.6;14.33;1;6;130;9;8;4;9
112;93.2;22.80;1;8;200;14;11;7;5
113;101.5;25.88;1;8;200;15;12;10;8
114;32.2;2.78;1;4;100;6;5;0;1
115;17.3;-6.48;1;4;100;3;2;0;0
116;90.0;25.43;1;7;175;12;12;3;2
117;26.5;-3.43;1;5;125;4;3;1;0
